State,2020-03-29,2020-03-28,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-03-01,2020-02-29,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-23,2020-02-22,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-17,2020-02-16
Alabama,-13,-3,-2,-3,-4,-5,-6,-7,3,9,14,14,16,22,19,24,30,26,14,8,8,8,8,6,5,4,6,11,6,10,9,6,5,4,2,-2,2,3,-1,-5,1,-3,0
Alaska,-27,-15,-15,-13,-14,-12,-11,-5,-1,2,4,7,8,16,16,17,19,19,13,7,5,6,9,7,5,8,9,8,9,12,8,5,6,4,-1,2,4,2,-1,2,-2,-2,-2
Arizona,-17,-15,-14,-12,-11,-9,-10,-10,-3,5,7,7,16,21,18,18,20,17,10,4,4,4,5,5,6,7,8,6,5,7,6,5,4,4,2,1,0,-4,1,2,2,2,1
Arkansas,-7,-14,-7,-4,-5,-8,-7,-10,0,10,11,9,9,12,14,12,20,30,22,12,7,8,11,9,10,11,12,12,9,12,10,9,7,4,1,-1,-1,2,0,0,1,-4,-2
California,-24,-20,-17,-18,-18,-18,-18,-22,-15,-5,2,4,9,18,14,19,28,20,11,6,5,5,4,5,6,7,8,8,5,4,4,4,3,3,1,0,1,0,0,0,0,0,1
Colorado,-27,-28,-26,-24,-9,-8,-4,-9,-6,-4,-10,4,12,20,15,16,24,27,20,13,11,12,13,11,10,9,10,9,6,9,7,7,6,3,-3,0,-1,6,3,1,-4,-4,2
Connecticut,-32,-20,-16,-14,-19,-16,-23,-16,-2,9,4,5,8,21,11,12,25,33,21,10,8,6,4,3,4,8,9,9,7,4,0,0,1,1,-1,2,0,-2,-5,-1,-2,-5,1
Delaware,-28,-32,-22,-19,-28,-22,-11,-13,-8,-1,0,0,3,12,9,9,16,18,12,6,5,7,7,2,1,5,5,5,5,6,4,3,3,1,-2,2,5,3,-2,1,0,0,2
Florida,-26,-23,-18,-14,-13,-12,-12,-12,-5,4,6,7,12,14,11,14,19,19,11,7,5,4,3,3,4,6,7,9,7,6,4,5,4,1,1,2,2,0,-1,1,0,2,1
Georgia,-17,-10,-9,-8,-8,-6,-6,-10,1,7,9,8,11,17,11,14,27,27,14,7,8,6,5,4,2,0,4,8,5,7,6,4,4,3,1,-3,1,0,-2,-7,0,-5,1
Hawaii,-36,-36,-32,-32,-31,-23,-16,-16,-14,-7,-2,-1,0,5,6,6,8,7,3,0,1,2,3,2,3,4,3,3,1,2,1,2,3,2,0,-1,0,1,-1,0,-2,-2,-4
Idaho,-18,-17,-14,-10,6,1,1,1,4,10,12,16,21,29,27,26,31,27,17,14,12,12,11,9,11,14,14,13,12,13,8,7,8,7,5,5,7,6,2,3,3,3,4
Illinois,-24,-17,-14,-15,-13,-16,-21,-32,-4,21,18,10,15,27,27,29,38,36,21,11,6,9,14,10,6,9,10,9,10,13,9,4,3,-1,0,6,9,8,0,0,-1,-1,-3
Indiana,-25,-21,-20,-18,-20,-4,2,-13,-1,8,13,9,14,23,17,14,23,25,15,8,6,9,13,7,4,8,9,8,7,12,8,2,1,-2,1,0,6,6,-2,0,0,-1,-3
Iowa,-10,-8,-5,-9,-4,-4,-3,-6,4,9,5,14,30,44,36,22,28,26,22,18,12,19,25,19,11,10,16,14,18,25,16,9,5,8,5,13,21,13,6,5,6,6,5
Kansas,-14,-12,-13,-14,-5,-6,2,0,5,13,15,22,22,21,14,14,22,24,18,10,4,6,8,5,3,7,10,8,8,12,7,2,2,4,-4,-1,2,0,-5,-6,2,-1,0
Kentucky,-11,-6,-9,-6,-5,-11,-4,-8,0,6,11,13,16,22,16,15,23,24,19,13,11,12,15,11,8,12,14,12,9,15,12,8,7,6,4,0,5,8,2,-1,0,-3,-2
Louisiana,-16,-16,-13,-12,-13,-14,-6,-2,-2,6,13,13,17,22,19,19,30,29,19,13,9,10,11,7,9,8,8,12,9,11,8,8,8,9,7,9,11,8,5,-1,0,2,0
Maine,-22,-17,-16,-10,-10,-16,-10,-8,-8,-5,-1,6,8,19,26,22,18,24,18,7,6,9,5,-1,3,5,6,8,7,8,0,-2,-6,7,1,5,8,-3,-3,1,-2,-7,5
Maryland,-25,-26,-19,-16,-24,-18,-15,-15,-6,0,1,1,3,13,6,7,16,19,12,5,5,6,6,3,2,5,5,4,3,5,2,0,0,0,-2,0,4,2,-3,0,0,0,-1
Massachusetts,-36,-23,-19,-17,-24,-21,-13,-18,-7,8,0,0,0,11,9,13,25,31,21,10,7,6,4,2,4,5,4,6,4,3,1,1,0,-1,-2,0,1,-3,-5,-2,-4,-9,-2
Michigan,-28,-29,-26,-25,-22,-28,6,-11,-7,0,7,6,9,20,14,12,23,28,20,9,4,7,9,2,-1,5,6,6,6,9,4,-2,-5,-6,2,2,6,2,-4,-1,0,-4,-2
Minnesota,-35,-38,-9,-6,-8,-14,-12,-17,-11,1,-4,0,11,19,19,16,18,16,10,5,4,7,10,7,3,2,6,6,6,9,5,3,2,2,2,4,7,4,2,-2,-2,-1,-1
Mississippi,-7,-9,-9,-6,-5,-4,-1,-6,5,10,16,17,20,24,20,20,21,23,16,10,9,9,10,8,7,7,9,13,11,13,11,8,7,7,3,1,2,4,-1,-4,1,0,2
