State,2020-03-29,2020-03-28,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-03-01,2020-02-29,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-23,2020-02-22,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-17,2020-02-16
Alabama,19,22,29,31,35,7,-9,0,9,8,22,36,29,22,18,41,36,36,33,23,34,50,59,47,16,-4,8,20,17,53,44,19,12,12,19,-6,28,41,7,-22,5,-10,16
Alaska,18,12,2,29,8,16,23,58,13,19,17,8,10,24,48,44,24,19,18,13,12,24,26,14,9,6,1,0,5,7,10,13,11,5,2,9,16,11,1,5,1,2,10
Arizona,-7,-24,-22,-10,-7,0,-3,0,-11,-7,-8,-31,-4,12,14,1,-12,-15,-15,-4,19,27,20,19,21,20,15,9,10,18,13,12,15,10,11,13,-2,-34,11,21,14,15,34
Arkansas,81,1,84,130,111,59,22,-19,14,28,20,42,31,-6,-9,-15,2,48,64,74,36,38,79,77,77,61,44,46,24,37,63,42,23,10,9,-13,-24,18,18,6,22,-2,8
California,-38,-48,-30,-29,-30,-31,-28,-24,-22,-22,-20,-20,-14,-23,-25,-33,-27,-17,1,0,2,12,6,4,9,13,21,22,4,2,14,11,14,17,18,12,13,-1,9,12,13,17,44
Colorado,-12,-38,-42,1,30,36,21,12,-19,-40,-50,24,24,35,25,-6,-20,5,37,39,39,41,43,44,37,30,22,11,-5,-8,11,21,11,-5,-21,-13,-30,4,3,-6,-21,-16,4
Connecticut,-52,27,54,55,-14,13,-37,15,87,30,-7,32,6,9,43,82,39,8,22,26,62,74,52,27,14,26,21,23,19,9,19,2,4,3,13,49,66,63,-2,4,10,-12,31
Delaware,-6,-44,25,50,-36,16,-37,-11,45,71,27,33,37,17,29,68,52,24,21,26,58,77,55,12,2,32,29,24,23,8,5,-3,-2,-2,-4,27,60,50,-10,-1,9,32,35
Florida,-48,-48,-38,-34,-33,-33,-33,-33,-33,-19,-9,-2,0,0,8,9,12,16,19,15,8,2,6,11,9,11,13,9,8,9,7,4,-1,-6,7,13,18,5,-10,10,15,13,23
Georgia,-2,14,32,5,18,-18,-37,-21,24,44,32,24,15,0,0,34,43,29,32,27,37,55,68,62,11,-25,-11,-4,11,46,37,23,6,6,3,-13,25,44,16,-32,0,-21,23
Hawaii,-65,-65,-69,-69,-66,-62,-59,-45,-38,-31,-31,-25,-37,-36,-16,-1,-5,-11,-3,2,-3,-1,4,-2,-5,2,4,-3,-7,-5,0,0,4,8,5,7,16,18,7,6,1,1,14
Idaho,25,14,11,23,11,36,46,125,88,70,88,59,54,63,40,2,17,46,58,63,50,53,35,20,48,46,37,35,33,40,24,46,41,26,27,23,43,37,21,16,13,21,43
Illinois,-29,-35,-28,-28,24,-7,-27,-37,-24,-26,-30,-33,23,0,11,0,7,19,16,18,7,82,121,48,19,24,25,20,55,88,19,4,2,-3,-3,18,96,49,5,1,3,4,-13
Indiana,24,28,14,36,59,17,7,-3,7,17,1,-9,35,19,26,13,24,34,26,18,20,94,124,50,24,42,39,24,35,68,21,5,-2,-7,-5,9,81,61,10,2,8,3,-3
Iowa,41,9,25,52,48,53,25,-8,16,0,-7,-1,47,30,17,-4,18,34,42,42,14,70,112,66,31,29,46,29,50,89,38,14,11,6,7,22,78,46,11,0,-2,4,-7
Kansas,72,50,62,80,113,54,32,-23,22,23,77,70,36,4,-20,-22,7,48,93,78,18,20,73,94,72,58,72,63,54,99,99,50,17,9,-1,-2,25,51,18,-2,9,20,55
Kentucky,68,100,66,83,70,8,18,18,17,44,13,-3,23,9,6,0,23,23,30,26,28,88,110,51,29,49,43,19,31,80,29,8,-3,-3,-1,-8,48,60,10,-2,13,-5,24
Louisiana,-18,-37,-20,-15,-7,-18,-21,-20,-35,-21,-5,8,1,5,18,14,17,30,47,35,24,45,47,31,23,8,7,19,24,31,29,21,19,30,44,38,40,25,8,-20,16,13,14
Maine,-24,40,19,44,16,0,-6,43,39,7,-7,30,-2,4,31,25,-5,3,21,22,37,54,29,2,15,15,22,36,11,13,1,-3,-10,9,14,28,49,19,-1,5,4,-7,32
Maryland,29,-27,38,52,-35,22,-35,21,34,50,45,40,49,24,18,51,49,35,30,33,62,92,67,19,14,37,39,22,25,20,-1,1,-3,-3,-2,23,71,44,-4,-4,8,22,39
