State,2020-03-29,2020-03-28,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-03-01,2020-02-29,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-23,2020-02-22,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-17,2020-02-16
Alabama,-41,-36,-31,-30,-28,-31,-33,-39,-36,-29,-22,-15,-11,-5,-6,-2,5,9,10,9,9,11,12,11,8,7,12,16,11,16,14,12,13,13,5,-1,4,5,2,-6,3,-4,3
Alaska,-48,-47,-42,-40,-40,-37,-36,-31,-36,-30,-27,-21,-16,-3,4,2,4,10,12,12,10,10,13,11,9,10,11,9,10,16,13,11,10,10,6,5,11,4,0,3,-1,-2,4
Arizona,-40,-41,-38,-34,-33,-32,-31,-36,-36,-29,-24,-23,-12,-3,-1,-4,-2,4,6,6,7,9,7,5,7,9,9,9,10,10,6,7,9,8,5,5,4,-1,3,5,4,2,9
Arkansas,-29,-39,-28,-24,-25,-29,-29,-39,-35,-25,-19,-14,-11,-7,-5,-7,0,10,13,13,9,11,14,13,15,16,18,19,16,18,17,17,16,14,6,3,0,3,4,2,4,-3,1
California,-50,-50,-44,-42,-42,-42,-41,-48,-48,-41,-33,-30,-25,-15,-15,-14,-7,-3,0,1,1,3,1,1,3,5,6,7,6,4,4,4,5,4,3,2,4,0,1,2,0,0,9
Colorado,-51,-55,-53,-50,-37,-35,-32,-39,-43,-42,-45,-31,-25,-12,-12,-14,-9,2,7,6,6,7,7,6,7,8,8,7,5,7,6,7,7,4,-2,-1,-3,3,3,1,-5,-4,6
Connecticut,-56,-49,-42,-41,-46,-43,-47,-44,-39,-33,-33,-28,-27,-13,-11,-9,-5,2,5,4,6,8,9,6,4,7,6,7,8,10,7,3,4,4,2,5,9,8,1,2,2,0,11
Delaware,-47,-51,-40,-38,-47,-43,-32,-37,-35,-27,-26,-23,-19,-5,-5,-3,3,8,8,8,10,10,11,7,5,10,11,10,10,12,10,7,6,5,1,3,6,7,1,3,2,4,12
Florida,-50,-49,-44,-40,-38,-38,-37,-42,-40,-31,-25,-20,-13,-8,-8,-7,-1,4,5,5,5,4,4,3,4,6,7,7,7,8,6,6,7,4,3,3,5,2,0,2,3,3,5
Georgia,-42,-39,-35,-34,-33,-35,-35,-39,-33,-26,-21,-19,-15,-10,-11,-7,0,6,7,6,6,7,9,9,4,2,6,8,7,13,11,9,9,8,3,-4,3,4,1,-6,1,-4,3
