State,2020-03-29,2020-03-28,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-03-01,2020-02-29,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-23,2020-02-22,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-17,2020-02-16
Alabama,-30,-25,-24,-20,-16,-18,-21,-22,-15,-14,-9,-4,-2,1,5,10,9,8,7,5,7,15,19,14,7,3,3,5,10,21,17,10,9,10,6,4,16,13,8,0,4,-1,7
Alaska,-55,-50,-50,-43,-42,-39,-37,-31,-26,-25,-22,-15,-12,-8,3,3,0,0,1,2,3,7,9,9,6,5,6,4,10,15,11,8,8,2,0,3,1,4,5,1,4,3,-5
Arizona,-41,-37,-39,-36,-32,-31,-33,-33,-27,-25,-24,-22,-12,-9,-5,-2,-5,-6,-4,0,3,6,8,9,6,5,7,5,5,7,7,7,7,8,7,5,4,-4,4,5,7,6,1
Arkansas,-22,-26,-22,-18,-18,-17,-18,-21,-14,-12,-11,-9,-7,-6,-1,-1,1,3,3,4,4,7,11,8,6,5,3,4,6,10,7,6,6,5,2,0,1,2,2,1,0,-2,-1
California,-54,-53,-54,-53,-53,-52,-52,-52,-48,-46,-44,-40,-36,-32,-25,-23,-22,-19,-13,-12,-10,-5,-5,-5,-3,-1,0,1,0,0,1,3,3,3,3,2,2,-3,0,1,1,2,-12
Colorado,-60,-59,-60,-57,-50,-47,-47,-47,-44,-47,-55,-38,-30,-25,-20,-16,-16,-12,-4,-2,0,1,2,2,1,1,2,2,1,2,4,4,3,2,-1,2,-1,5,2,0,-1,1,-4
Connecticut,-64,-55,-51,-48,-50,-47,-52,-49,-40,-40,-40,-33,-30,-26,-21,-14,-15,-12,-5,-1,1,6,8,5,3,4,4,4,5,9,5,3,3,2,1,5,13,9,2,3,3,0,-1
Delaware,-57,-55,-49,-41,-49,-47,-49,-52,-40,-37,-39,-28,-22,-17,-16,-8,-7,-3,1,2,3,9,15,7,3,8,6,4,3,4,7,1,2,2,-2,4,12,14,2,6,6,7,6
Florida,-63,-60,-55,-51,-49,-46,-46,-49,-44,-39,-34,-28,-20,-17,-14,-11,-9,-5,-2,0,0,0,2,1,0,2,2,3,5,7,5,5,6,4,4,3,4,2,1,4,5,6,0
Georgia,-52,-43,-44,-43,-40,-40,-43,-42,-30,-30,-29,-25,-22,-20,-15,-7,-4,-3,-1,-2,-1,2,6,7,2,-1,-1,0,3,10,11,7,6,3,0,-1,4,4,4,0,3,1,0
Hawaii,-72,-70,-66,-66,-57,-51,-45,-43,-41,-35,-32,-28,-23,-17,-13,-10,-8,-8,-7,-5,-4,-3,-3,-4,-4,-5,-5,-3,-1,-1,-1,-1,-1,0,2,4,2,0,2,2,2,6,-1
Idaho,-34,-29,-33,-27,-20,-15,-19,-13,-11,-15,-11,-7,-3,-2,1,-1,1,5,6,9,8,9,12,9,10,10,7,6,8,14,11,10,9,8,8,5,9,8,7,7,7,8,0
Illinois,-55,-50,-53,-55,-50,-52,-55,-54,-42,-41,-42,-40,-33,-28,-17,-9,-7,-5,-3,-2,-4,3,12,9,3,3,3,1,4,11,9,6,2,-1,-2,1,8,9,4,1,2,2,-12
Indiana,-34,-31,-32,-27,-23,-20,-21,-26,-16,-14,-13,-10,-4,-3,-1,1,3,5,6,6,5,11,18,14,8,8,8,7,8,15,13,8,5,2,2,2,8,11,5,5,5,4,2
Iowa,-28,-27,-21,-20,-15,-17,-19,-23,-15,-15,-15,-7,-2,-4,-1,-1,6,7,7,7,3,9,17,16,9,4,2,-2,1,8,8,4,1,3,-4,-2,3,3,3,-2,0,-1,-7
Kansas,-20,-26,-21,-19,-13,-15,-16,-17,-10,-9,-8,-2,-2,-3,2,4,8,11,14,10,2,9,18,17,13,10,11,7,7,15,13,12,5,3,-5,-3,2,5,3,-1,4,0,2
Kentucky,-34,-28,-32,-27,-24,-25,-25,-27,-18,-19,-17,-12,-7,-8,-5,-2,-1,-1,1,2,2,7,13,9,3,5,6,4,4,13,10,3,2,3,2,-1,7,9,3,2,3,0,3
Louisiana,-49,-46,-44,-39,-35,-36,-38,-40,-36,-33,-26,-19,-17,-10,-2,-1,0,3,8,7,7,12,15,11,9,7,5,7,11,14,12,11,14,20,22,17,34,38,14,2,11,3,4
Maine,-56,-49,-51,-42,-42,-40,-38,-35,-36,-36,-31,-21,-18,-13,-3,-4,-8,-1,5,6,7,20,21,7,6,8,9,11,15,23,13,4,-4,11,7,13,29,9,5,9,12,5,12
Maryland,-51,-53,-51,-52,-57,-52,-56,-47,-39,-41,-42,-38,-34,-29,-22,-14,-12,-9,-4,-2,-1,2,5,1,-1,2,2,1,0,1,0,1,0,0,-1,1,6,5,-1,0,1,3,-18
Massachusetts,-73,-63,-67,-68,-70,-68,-66,-60,-52,-55,-59,-53,-50,-44,-31,-21,-23,-21,-13,-8,-5,-1,0,0,0,0,1,3,5,11,10,6,5,4,2,2,6,4,-3,-2,-2,-5,-25
Michigan,-55,-56,-52,-51,-47,-50,-41,-40,-34,-32,-31,-25,-20,-17,-11,-6,-4,0,3,4,4,9,14,10,8,9,8,7,11,24,24,12,5,2,5,8,18,16,8,5,4,2,-2
Minnesota,-64,-64,-51,-51,-53,-50,-52,-51,-44,-43,-45,-38,-29,-27,-19,-12,-8,-8,-4,-2,-3,2,7,5,1,1,4,3,3,6,6,7,4,6,6,5,6,5,7,1,3,5,-6
Mississippi,-29,-25,-24,-17,-14,-13,-18,-21,-16,-13,-5,-1,1,3,8,10,9,11,12,10,8,15,22,17,11,8,6,7,11,22,15,11,13,14,8,4,12,12,8,0,2,0,1
Missouri,-34,-32,-30,-30,-25,-32,-31,-30,-19,-18,-19,-13,-11,-12,-7,-4,3,3,7,5,-2,5,14,13,10,8,8,3,4,11,11,10,6,6,-1,-1,7,8,8,3,7,2,-2
Montana,-37,-37,-30,-26,-25,-22,-24,-20,-14,-15,-14,-12,-3,1,0,-3,-1,5,7,6,7,10,11,10,8,8,8,9,9,13,11,8,7,5,5,4,8,5,4,5,3,1,-1
Nebraska,-18,-24,-19,-15,-13,-14,-17,-21,-11,-16,-21,-11,-3,-3,-5,-8,-3,5,8,6,1,7,14,14,11,8,5,2,5,10,10,10,7,5,1,4,7,8,6,3,-2,5,1
Nevada,-62,-54,-57,-56,-51,-51,-54,-56,-50,-49,-46,-33,-24,-20,-18,-12,-10,-9,-4,-4,-3,0,0,-1,-1,2,2,-1,-1,2,4,3,5,5,2,4,4,-1,2,4,7,4,-2
