January 2020 Alabama County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",7.55,112,2.45,5.1
AL-003,"Baldwin County",5.09,83,0.3,4.79
AL-005,"Barbour County",8.92,120,4.21,4.71
AL-007,"Bibb County",7.32,100,1.84,5.48
AL-009,"Blount County",7.3,99,1.8,5.5
AL-011,"Bullock County",7.89,118,3.15,4.74
AL-013,"Butler County",7.62,113,2.59,5.03
AL-015,"Calhoun County",8.09,115,2.86,5.23
AL-017,"Chambers County",8.86,120,3.91,4.95
AL-019,"Cherokee County",6.87,105,1.58,5.29
AL-021,"Chilton County",7.35,108,2.06,5.29
AL-023,"Choctaw County",6.57,94,1.01,5.56
AL-025,"Clarke County",5.02,73,-0.3,5.32
AL-027,"Clay County",9.45,118,4.02,5.43
AL-029,"Cleburne County",8.26,116,2.97,5.29
AL-031,"Coffee County",6.12,98,1.16,4.96
AL-033,"Colbert County",10.0,120,4.76,5.24
AL-035,"Conecuh County",8.44,116,3.3,5.14
AL-037,"Coosa County",8.58,117,3.31,5.27
AL-039,"Covington County",6.47,100,1.38,5.09
AL-041,"Crenshaw County",7.76,114,2.73,5.03
AL-043,"Cullman County",7.5,100,1.95,5.55
AL-045,"Dale County",6.75,104,1.98,4.77
AL-047,"Dallas County",5.06,74,0.09,4.97
AL-049,"DeKalb County",7.18,104,1.72,5.46
AL-051,"Elmore County",7.8,112,2.75,5.05
AL-053,"Escambia County",8.41,117,3.31,5.1
AL-055,"Etowah County",7.19,104,1.77,5.42
AL-057,"Fayette County",9.18,113,3.55,5.63
AL-059,"Franklin County",10.23,120,4.89,5.34
AL-061,"Geneva County",4.19,53,-0.77,4.96
AL-063,"Greene County",7.77,110,2.45,5.32
AL-065,"Hale County",7.61,107,2.31,5.3
AL-067,"Henry County",7.98,113,3.17,4.81
AL-069,"Houston County",4.01,58,-0.74,4.75
AL-071,"Jackson County",8.69,112,3.45,5.24
AL-073,"Jefferson County",7.78,110,2.32,5.46
AL-075,"Lamar County",8.91,111,3.5,5.41
AL-077,"Lauderdale County",9.49,118,4.2,5.29
AL-079,"Lawrence County",8.42,116,3.33,5.09
AL-081,"Lee County",8.47,120,3.76,4.71
AL-083,"Limestone County",8.07,112,2.94,5.13
AL-085,"Lowndes County",6.64,103,1.81,4.83
AL-087,"Macon County",7.51,114,2.79,4.72
AL-089,"Madison County",8.5,115,3.28,5.22
AL-091,"Marengo County",5.14,75,-0.13,5.27
AL-093,"Marion County",9.84,119,4.36,5.48
AL-095,"Marshall County",7.86,109,2.45,5.41
AL-097,"Mobile County",4.83,75,-0.13,4.96
AL-099,"Monroe County",7.08,101,1.93,5.15
AL-101,"Montgomery County",7.57,116,2.8,4.77
AL-103,"Morgan County",7.65,108,2.44,5.21
AL-105,"Perry County",5.78,86,0.55,5.23
AL-107,"Pickens County",7.68,107,2.34,5.34
AL-109,"Pike County",7.83,115,2.93,4.9
AL-111,"Randolph County",8.32,116,3.07,5.25
AL-113,"Russell County",8.48,119,3.9,4.58
AL-115,"St. Clair County",7.83,109,2.39,5.44
AL-117,"Shelby County",7.98,113,2.69,5.29
AL-119,"Sumter County",7.42,102,2.04,5.38
AL-121,"Talladega County",8.79,117,3.62,5.17
AL-123,"Tallapoosa County",8.24,116,3.08,5.16
AL-125,"Tuscaloosa County",7.39,104,1.89,5.5
AL-127,"Walker County",8.1,106,2.41,5.69
AL-129,"Washington County",5.28,75,-0.08,5.36
AL-131,"Wilcox County",4.88,75,-0.15,5.03
AL-133,"Winston County",9.73,117,4.19,5.54
