January 2020 Illinois County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IL-001,"Adams County",2.73,101,1.05,1.68
IL-003,"Alexander County",5.99,112,2.21,3.78
IL-005,"Bond County",6.81,122,4.45,2.36
IL-007,"Boone County",2.27,96,0.73,1.54
IL-009,"Brown County",3.23,110,1.5,1.73
IL-011,"Bureau County",2.79,107,1.11,1.68
IL-013,"Calhoun County",5.15,121,3.22,1.93
IL-015,"Carroll County",1.92,94,0.49,1.43
IL-017,"Cass County",4.43,118,2.66,1.77
IL-019,"Champaign County",4.21,116,2.15,2.06
IL-021,"Christian County",5.78,122,3.79,1.99
IL-023,"Clark County",5.97,117,3.48,2.49
IL-025,"Clay County",6.34,116,3.62,2.72
IL-027,"Clinton County",6.72,120,4.25,2.47
IL-029,"Coles County",6.26,122,4.03,2.23
IL-031,"Cook County",2.94,108,1.16,1.78
IL-033,"Crawford County",6.06,116,3.31,2.75
IL-035,"Cumberland County",6.51,121,4.12,2.39
IL-037,"DeKalb County",2.58,103,0.97,1.61
IL-039,"De Witt County",4.69,118,2.7,1.99
IL-041,"Douglas County",5.41,118,3.25,2.16
IL-043,"DuPage County",2.84,107,1.08,1.76
IL-045,"Edgar County",5.16,117,2.8,2.36
IL-047,"Edwards County",6.11,114,2.83,3.28
IL-049,"Effingham County",6.97,122,4.52,2.45
IL-051,"Fayette County",7.15,122,4.81,2.34
IL-053,"Ford County",3.56,111,1.59,1.97
IL-055,"Franklin County",6.66,116,3.44,3.22
IL-057,"Fulton County",2.88,105,1.17,1.71
IL-059,"Gallatin County",5.89,108,2.14,3.75
IL-061,"Greene County",5.71,122,3.74,1.97
IL-063,"Grundy County",3.61,117,1.95,1.66
IL-065,"Hamilton County",6.51,116,3.14,3.37
IL-067,"Hancock County",2.48,98,0.85,1.63
IL-069,"Hardin County",5.5,104,1.55,3.95
IL-071,"Henderson County",2.5,102,0.88,1.62
IL-073,"Henry County",2.58,106,1.02,1.56
IL-075,"Iroquois County",3.79,114,1.81,1.98
IL-077,"Jackson County",6.41,118,3.29,3.12
IL-079,"Jasper County",5.96,116,3.26,2.7
IL-081,"Jefferson County",6.28,116,3.16,3.12
IL-083,"Jersey County",6.38,123,4.4,1.98
IL-085,"Jo Daviess County",1.78,93,0.43,1.35
IL-087,"Johnson County",5.85,111,2.01,3.84
IL-089,"Kane County",2.63,102,0.97,1.66
IL-091,"Kankakee County",4.05,119,2.26,1.79
IL-093,"Kendall County",3.09,113,1.41,1.68
IL-095,"Knox County",2.6,100,0.93,1.67
IL-097,"Lake County",2.98,111,1.31,1.67
IL-099,"LaSalle County",3.37,118,1.71,1.66
IL-101,"Lawrence County",6.74,117,3.62,3.12
IL-103,"Lee County",2.73,107,1.11,1.62
IL-105,"Livingston County",3.74,115,1.98,1.76
IL-107,"Logan County",4.42,118,2.53,1.89
IL-109,"McDonough County",2.7,101,1.05,1.65
IL-111,"McHenry County",2.28,93,0.58,1.7
IL-113,"McLean County",3.69,110,1.65,2.04
IL-115,"Macon County",4.82,120,2.83,1.99
IL-117,"Macoupin County",5.92,122,3.85,2.07
IL-119,"Madison County",6.25,122,4.06,2.19
IL-121,"Marion County",6.24,116,3.58,2.66
IL-123,"Marshall County",2.81,109,1.13,1.68
IL-125,"Mason County",3.66,116,1.94,1.72
IL-127,"Massac County",5.38,98,1.21,4.17
IL-129,"Menard County",4.5,120,2.7,1.8
IL-131,"Mercer County",2.29,102,0.82,1.47
IL-133,"Monroe County",6.11,119,3.68,2.43
IL-135,"Montgomery County",5.91,122,3.77,2.14
IL-137,"Morgan County",4.97,120,3.08,1.89
IL-139,"Moultrie County",5.47,120,3.37,2.1
IL-141,"Ogle County",2.21,99,0.7,1.51
IL-143,"Peoria County",2.92,109,1.22,1.7
IL-145,"Perry County",5.7,117,2.86,2.84
IL-147,"Piatt County",4.54,118,2.51,2.03
IL-149,"Pike County",3.4,111,1.58,1.82
IL-151,"Pope County",5.65,104,1.62,4.03
IL-153,"Pulaski County",5.48,104,1.59,3.89
IL-155,"Putnam County",2.72,106,1.04,1.68
IL-157,"Randolph County",5.71,118,3.08,2.63
IL-159,"Richland County",6.02,113,3.06,2.96
IL-161,"Rock Island County",2.1,101,0.64,1.46
IL-163,"St. Clair County",6.02,120,3.64,2.38
IL-165,"Saline County",6.2,111,2.58,3.62
IL-167,"Sangamon County",4.78,118,2.87,1.91
IL-169,"Schuyler County",2.98,106,1.3,1.68
IL-171,"Scott County",4.8,119,2.95,1.85
IL-173,"Shelby County",6.38,122,4.2,2.18
IL-175,"Stark County",2.89,109,1.23,1.66
IL-177,"Stephenson County",1.89,92,0.46,1.43
IL-179,"Tazewell County",3.2,110,1.32,1.88
IL-181,"Union County",6.54,116,2.97,3.57
IL-183,"Vermilion County",4.72,117,2.55,2.17
IL-185,"Wabash County",6.69,117,3.33,3.36
IL-187,"Warren County",2.27,96,0.64,1.63
IL-189,"Washington County",6.01,116,3.32,2.69
IL-191,"Wayne County",6.04,115,2.98,3.06
IL-193,"White County",6.11,115,2.61,3.5
IL-195,"Whiteside County",2.21,98,0.69,1.52
IL-197,"Will County",3.31,112,1.5,1.81
IL-199,"Williamson County",6.67,116,3.25,3.42
IL-201,"Winnebago County",2.18,99,0.73,1.45
IL-203,"Woodford County",3.12,109,1.28,1.84
