January 2020 Kentucky County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
KY-001,"Adair County",5.59,88,0.85,4.74
KY-003,"Allen County",5.18,87,0.38,4.8
KY-005,"Anderson County",3.99,66,-0.1,4.09
KY-007,"Ballard County",5.55,100,1.52,4.03
KY-009,"Barren County",5.26,82,0.47,4.79
KY-011,"Bath County",3.51,64,-0.47,3.98
KY-013,"Bell County",5.78,92,1.05,4.73
KY-015,"Boone County",3.96,88,0.56,3.4
KY-017,"Bourbon County",3.21,59,-0.7,3.91
KY-019,"Boyd County",3.4,67,-0.25,3.65
KY-021,"Boyle County",4.12,69,-0.21,4.33
KY-023,"Bracken County",3.58,75,-0.03,3.61
KY-025,"Breathitt County",3.46,59,-0.57,4.03
KY-027,"Breckinridge County",4.56,82,0.42,4.14
KY-029,"Bullitt County",4.14,81,0.24,3.9
KY-031,"Butler County",4.6,73,0.11,4.49
KY-033,"Caldwell County",4.78,85,0.36,4.42
KY-035,"Calloway County",4.82,82,0.24,4.58
KY-037,"Campbell County",3.85,87,0.47,3.38
KY-039,"Carlisle County",5.72,101,1.61,4.11
KY-041,"Carroll County",4.09,90,0.55,3.54
KY-043,"Carter County",3.21,67,-0.42,3.63
KY-045,"Casey County",5.13,85,0.38,4.75
KY-047,"Christian County",4.71,77,0.14,4.57
KY-049,"Clark County",3.6,66,-0.4,4
KY-051,"Clay County",4.86,82,0.53,4.33
KY-053,"Clinton County",6.64,98,1.48,5.16
KY-055,"Crittenden County",5.19,97,1.07,4.12
KY-057,"Cumberland County",6.12,94,1.14,4.98
KY-059,"Daviess County",4.41,85,0.48,3.93
KY-061,"Edmonson County",5.09,83,0.39,4.7
KY-063,"Elliott County",3.45,66,-0.23,3.68
KY-065,"Estill County",3.88,72,-0.13,4.01
KY-067,"Fayette County",3.68,66,-0.31,3.99
KY-069,"Fleming County",3.16,62,-0.65,3.81
KY-071,"Floyd County",3.5,66,-0.15,3.65
KY-073,"Franklin County",3.87,73,0.02,3.85
KY-075,"Fulton County",5.63,98,1.22,4.41
KY-077,"Gallatin County",3.73,79,0.22,3.51
KY-079,"Garrard County",4.11,74,-0.07,4.18
KY-081,"Grant County",3.47,73,-0.07,3.54
KY-083,"Graves County",5.44,96,0.98,4.46
KY-085,"Grayson County",4.76,79,0.23,4.53
KY-087,"Green County",4.96,82,0.46,4.5
KY-089,"Greenup County",3.03,62,-0.54,3.57
KY-091,"Hancock County",4.61,88,0.58,4.03
KY-093,"Hardin County",4.62,81,0.42,4.2
KY-095,"Harlan County",4.81,78,0.18,4.63
KY-097,"Harrison County",3.2,62,-0.49,3.69
KY-099,"Hart County",5.09,83,0.47,4.62
KY-101,"Henderson County",4.56,94,0.76,3.8
KY-103,"Henry County",4.03,82,0.35,3.68
KY-105,"Hickman County",5.67,98,1.32,4.35
KY-107,"Hopkins County",4.39,79,0.21,4.18
KY-109,"Jackson County",4.55,79,0.17,4.38
KY-111,"Jefferson County",3.88,76,0.13,3.75
KY-113,"Jessamine County",3.97,73,-0.08,4.05
KY-115,"Johnson County",3.35,63,-0.3,3.65
KY-117,"Kenton County",3.87,86,0.47,3.4
KY-119,"Knott County",3.5,60,-0.46,3.96
KY-121,"Knox County",5.58,93,1.06,4.52
KY-123,"Larue County",4.73,82,0.36,4.37
KY-125,"Laurel County",5.39,87,0.8,4.59
KY-127,"Lawrence County",3.51,67,-0.17,3.68
KY-129,"Lee County",3.81,71,-0.26,4.07
KY-131,"Leslie County",4.22,71,-0.04,4.26
KY-133,"Letcher County",3.59,63,-0.38,3.97
KY-135,"Lewis County",2.95,56,-0.73,3.68
KY-137,"Lincoln County",4.43,74,-0.08,4.51
KY-139,"Livingston County",5.41,97,1.17,4.24
KY-141,"Logan County",5.13,88,0.54,4.59
KY-143,"Lyon County",4.97,89,0.51,4.46
KY-145,"McCracken County",5.47,96,1.21,4.26
KY-147,"McCreary County",5.81,92,1.15,4.66
KY-149,"McLean County",4.5,87,0.48,4.02
KY-151,"Madison County",3.99,74,-0.08,4.07
KY-153,"Magoffin County",3.19,59,-0.57,3.76
KY-155,"Marion County",4.49,75,0.03,4.46
KY-157,"Marshall County",5.06,92,0.62,4.44
KY-159,"Martin County",3.78,71,0.04,3.74
KY-161,"Mason County",3.1,62,-0.54,3.64
KY-163,"Meade County",4.42,84,0.47,3.95
KY-165,"Menifee County",3.75,69,-0.25,4
KY-167,"Mercer County",4.05,71,-0.12,4.17
KY-169,"Metcalfe County",5.31,84,0.55,4.76
KY-171,"Monroe County",5.62,87,0.64,4.98
KY-173,"Montgomery County",3.53,62,-0.59,4.12
KY-175,"Morgan County",3.39,64,-0.38,3.77
KY-177,"Muhlenberg County",4.6,81,0.29,4.31
KY-179,"Nelson County",4.24,77,0.09,4.15
KY-181,"Nicholas County",3.09,54,-0.77,3.86
KY-183,"Ohio County",4.53,80,0.25,4.28
KY-185,"Oldham County",4.07,80,0.31,3.76
KY-187,"Owen County",3.71,77,0.08,3.63
KY-189,"Owsley County",4.09,71,-0.1,4.19
KY-191,"Pendleton County",3.5,74,-0.03,3.53
KY-193,"Perry County",3.73,62,-0.39,4.12
KY-195,"Pike County",3.95,81,0.34,3.61
KY-197,"Powell County",3.83,71,-0.23,4.06
KY-199,"Pulaski County",5.62,86,0.81,4.81
KY-201,"Robertson County",3.16,60,-0.53,3.69
KY-203,"Rockcastle County",4.83,77,0.2,4.63
KY-205,"Rowan County",3.58,68,-0.28,3.86
KY-207,"Russell County",6.19,95,1.3,4.89
KY-209,"Scott County",3.59,67,-0.23,3.82
KY-211,"Shelby County",3.98,78,0.08,3.9
KY-213,"Simpson County",5.55,90,0.92,4.63
