January 2020 Maine County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
ME-001,"Androscoggin County",3.01,50,-0.64,3.65
ME-003,"Aroostook County",3.04,86,0.27,2.77
ME-005,"Cumberland County",3.21,60,-0.46,3.67
ME-007,"Franklin County",3.3,75,0.05,3.25
ME-009,"Hancock County",3.51,42,-0.6,4.11
ME-011,"Kennebec County",2.76,43,-0.75,3.51
ME-013,"Knox County",3.63,50,-0.6,4.23
ME-015,"Lincoln County",3.23,47,-0.77,4
ME-017,"Oxford County",3.46,78,0.14,3.32
ME-019,"Penobscot County",2.7,38,-0.67,3.37
ME-021,"Piscataquis County",2.91,66,-0.13,3.04
ME-023,"Sagadahoc County",3.18,50,-0.7,3.88
ME-025,"Somerset County",2.88,68,-0.11,2.99
ME-027,"Waldo County",3.23,45,-0.64,3.87
ME-029,"Washington County",3.27,39,-0.81,4.08
ME-031,"York County",3.1,59,-0.47,3.57
