January 2020 Minnesota County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MN-001,"Aitkin County",0.79,84,0.02,0.77
MN-003,"Anoka County",0.55,45,-0.33,0.88
MN-005,"Becker County",0.78,81,0.02,0.76
MN-007,"Beltrami County",0.92,98,0.25,0.67
MN-009,"Benton County",0.98,96,0.21,0.77
MN-011,"Big Stone County",0.39,50,-0.27,0.66
MN-013,"Blue Earth County",1.2,106,0.4,0.8
MN-015,"Brown County",0.99,93,0.18,0.81
MN-017,"Carlton County",1.18,98,0.27,0.91
MN-019,"Carver County",0.56,54,-0.29,0.85
MN-021,"Cass County",0.71,76,-0.04,0.75
MN-023,"Chippewa County",0.78,84,0.05,0.73
MN-025,"Chisago County",0.71,61,-0.15,0.86
MN-027,"Clay County",0.63,77,0.01,0.62
MN-029,"Clearwater County",0.87,94,0.17,0.7
MN-031,"Cook County",1.57,92,0.29,1.28
MN-033,"Cottonwood County",0.92,100,0.27,0.65
MN-035,"Crow Wing County",0.72,83,0.03,0.69
MN-037,"Dakota County",0.74,66,-0.15,0.89
MN-039,"Dodge County",1.01,84,0.11,0.9
MN-041,"Douglas County",0.39,46,-0.38,0.77
MN-043,"Faribault County",1.14,99,0.35,0.79
MN-045,"Fillmore County",0.94,74,-0.05,0.99
MN-047,"Freeborn County",1.44,102,0.52,0.92
MN-049,"Goodhue County",1.01,83,0.1,0.91
MN-051,"Grant County",0.61,72,-0.1,0.71
MN-053,"Hennepin County",0.57,50,-0.32,0.89
MN-055,"Houston County",1.0,77,-0.0,1
MN-057,"Hubbard County",0.79,73,-0.0,0.79
MN-059,"Isanti County",0.83,81,-0.01,0.84
MN-061,"Itasca County",0.96,97,0.2,0.76
MN-063,"Jackson County",1.12,110,0.52,0.6
MN-065,"Kanabec County",0.91,86,0.08,0.83
MN-067,"Kandiyohi County",0.63,77,-0.08,0.71
MN-069,"Kittson County",0.5,49,-0.21,0.71
MN-071,"Koochiching County",1.38,108,0.5,0.88
MN-073,"Lac qui Parle County",0.47,59,-0.22,0.69
MN-075,"Lake County",1.32,96,0.22,1.1
MN-077,"Lake of the Woods County",0.87,90,0.14,0.73
MN-079,"Le Sueur County",0.94,87,0.11,0.83
MN-081,"Lincoln County",0.82,98,0.22,0.6
MN-083,"Lyon County",0.9,99,0.27,0.63
MN-085,"McLeod County",0.34,28,-0.46,0.8
MN-087,"Mahnomen County",0.75,85,0.05,0.7
MN-089,"Marshall County",0.56,68,-0.06,0.62
MN-091,"Martin County",1.25,110,0.55,0.7
MN-093,"Meeker County",0.4,41,-0.35,0.75
MN-095,"Mille Lacs County",0.84,83,0.05,0.79
MN-097,"Morrison County",0.86,93,0.14,0.72
MN-099,"Mower County",0.99,77,0.01,0.98
MN-101,"Murray County",0.83,95,0.22,0.61
MN-103,"Nicollet County",0.72,71,-0.14,0.86
MN-105,"Nobles County",0.88,93,0.24,0.64
MN-107,"Norman County",0.51,66,-0.09,0.6
MN-109,"Olmsted County",0.98,80,0.05,0.93
MN-111,"Otter Tail County",0.7,76,-0.01,0.71
MN-113,"Pennington County",0.58,74,-0.01,0.59
MN-115,"Pine County",0.96,82,0.03,0.93
MN-117,"Pipestone County",0.52,77,-0.01,0.53
MN-119,"Polk County",0.63,82,0.01,0.62
MN-121,"Pope County",0.55,63,-0.17,0.72
MN-123,"Ramsey County",0.67,56,-0.2,0.87
MN-125,"Red Lake County",0.58,73,-0.03,0.61
MN-127,"Redwood County",0.72,79,-0.0,0.72
MN-129,"Renville County",0.61,65,-0.14,0.75
MN-131,"Rice County",0.95,87,0.11,0.84
MN-133,"Rock County",0.72,86,0.13,0.59
MN-135,"Roseau County",0.74,76,0.02,0.72
MN-137,"St. Louis County",1.19,97,0.27,0.92
MN-139,"Scott County",0.69,66,-0.17,0.86
MN-141,"Sherburne County",0.81,78,-0.03,0.84
MN-143,"Sibley County",0.44,36,-0.39,0.83
MN-145,"Stearns County",0.79,84,0.04,0.75
MN-147,"Steele County",1.16,96,0.33,0.83
MN-149,"Stevens County",0.49,55,-0.2,0.69
MN-151,"Swift County",0.63,71,-0.08,0.71
MN-153,"Todd County",0.67,72,-0.07,0.74
MN-155,"Traverse County",0.61,78,-0.05,0.66
MN-157,"Wabasha County",1.13,88,0.17,0.96
MN-159,"Wadena County",0.68,68,-0.1,0.78
MN-161,"Waseca County",1.19,98,0.39,0.8
MN-163,"Washington County",0.63,50,-0.24,0.87
MN-165,"Watonwan County",1.52,116,0.79,0.73
MN-167,"Wilkin County",0.71,84,0.07,0.64
MN-169,"Winona County",1.0,81,0.04,0.96
MN-171,"Wright County",0.54,51,-0.3,0.84
MN-173,"Yellow Medicine County",0.87,92,0.18,0.69
