January 2020 Missouri County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MO-001,"Adair County",2.65,107,1.12,1.53
MO-003,"Andrew County",1.98,111,0.91,1.07
MO-005,"Atchison County",1.04,83,0.13,0.91
MO-007,"Audrain County",3.72,116,1.95,1.77
MO-009,"Barry County",5.81,122,3.51,2.3
MO-011,"Barton County",3.93,119,2.25,1.68
MO-013,"Bates County",3.6,116,2.01,1.59
MO-015,"Benton County",4.12,119,2.33,1.79
MO-017,"Bollinger County",6.22,116,2.79,3.43
MO-019,"Boone County",3.97,118,2.15,1.82
MO-021,"Buchanan County",2.16,113,1.08,1.08
MO-023,"Butler County",5.56,104,1.68,3.88
MO-025,"Caldwell County",2.52,114,1.22,1.3
MO-027,"Callaway County",4.93,121,3.12,1.81
MO-029,"Camden County",5.65,121,3.7,1.95
MO-031,"Cape Girardeau County",6.86,117,3.42,3.44
MO-033,"Carroll County",2.64,110,1.19,1.45
MO-035,"Carter County",6.63,116,3.36,3.27
MO-037,"Cass County",2.64,107,1.14,1.5
MO-039,"Cedar County",4.24,119,2.52,1.72
MO-041,"Chariton County",2.39,102,0.8,1.59
MO-043,"Christian County",4.79,116,2.52,2.27
MO-045,"Clark County",2.49,105,1.0,1.49
MO-047,"Clay County",2.19,111,0.9,1.29
MO-049,"Clinton County",2.24,112,1.0,1.24
MO-051,"Cole County",4.96,120,3.12,1.84
MO-053,"Cooper County",3.24,114,1.45,1.79
MO-055,"Crawford County",6.52,121,4.23,2.29
MO-057,"Dade County",4.89,121,3.13,1.76
MO-059,"Dallas County",6.75,124,4.77,1.98
MO-061,"Daviess County",2.43,112,1.18,1.25
MO-063,"DeKalb County",2.18,110,0.98,1.2
MO-065,"Dent County",6.11,122,3.7,2.41
MO-067,"Douglas County",5.81,121,3.25,2.56
MO-069,"Dunklin County",5.74,98,1.5,4.24
MO-071,"Franklin County",6.58,124,4.45,2.13
MO-073,"Gasconade County",6.68,123,4.68,2
MO-075,"Gentry County",2.06,112,0.98,1.08
MO-077,"Greene County",5.37,121,3.38,1.99
MO-079,"Grundy County",2.53,113,1.26,1.27
MO-081,"Harrison County",2.21,111,1.08,1.13
MO-083,"Henry County",3.34,116,1.68,1.66
MO-085,"Hickory County",5.13,120,3.3,1.83
MO-087,"Holt County",1.41,102,0.43,0.98
MO-089,"Howard County",3.14,110,1.31,1.83
MO-091,"Howell County",5.06,111,2.1,2.96
MO-093,"Iron County",6.62,118,3.74,2.88
MO-095,"Jackson County",2.29,104,0.88,1.41
MO-097,"Jasper County",3.83,115,2.01,1.82
MO-099,"Jefferson County",6.08,122,3.73,2.35
MO-101,"Johnson County",2.85,111,1.17,1.68
MO-103,"Knox County",2.41,99,0.82,1.59
MO-105,"Laclede County",6.56,123,4.42,2.14
MO-107,"Lafayette County",2.84,112,1.34,1.5
MO-109,"Lawrence County",5.29,122,3.32,1.97
MO-111,"Lewis County",2.58,102,0.92,1.66
MO-113,"Lincoln County",5.2,121,3.26,1.94
MO-115,"Linn County",2.87,114,1.42,1.45
MO-117,"Livingston County",2.97,117,1.63,1.34
MO-119,"McDonald County",5.52,122,3.34,2.18
MO-121,"Macon County",2.63,107,1.09,1.54
MO-123,"Madison County",5.97,115,2.78,3.19
MO-125,"Maries County",6.04,123,3.98,2.06
MO-127,"Marion County",2.66,102,0.99,1.67
MO-129,"Mercer County",1.94,104,0.75,1.19
MO-131,"Miller County",5.65,121,3.68,1.97
MO-133,"Mississippi County",5.84,104,1.81,4.03
MO-135,"Moniteau County",3.77,118,1.98,1.79
MO-137,"Monroe County",2.78,107,1.1,1.68
MO-139,"Montgomery County",5.32,121,3.41,1.91
MO-141,"Morgan County",4.07,119,2.24,1.83
MO-143,"New Madrid County",5.83,105,1.76,4.07
MO-145,"Newton County",4.73,121,2.76,1.97
MO-147,"Nodaway County",1.51,109,0.57,0.94
MO-149,"Oregon County",5.07,106,1.81,3.26
MO-151,"Osage County",6.12,123,4.22,1.9
MO-153,"Ozark County",5.47,118,2.81,2.66
MO-155,"Pemiscot County",5.17,91,0.92,4.25
MO-157,"Perry County",6.17,118,3.09,3.08
MO-159,"Pettis County",3.18,117,1.51,1.67
MO-161,"Phelps County",6.06,122,3.85,2.21
MO-163,"Pike County",3.51,114,1.66,1.85
MO-165,"Platte County",2.24,112,1.12,1.12
MO-167,"Polk County",5.82,123,3.96,1.86
MO-169,"Pulaski County",6.43,124,4.23,2.2
MO-171,"Putnam County",2.11,103,0.8,1.31
MO-173,"Ralls County",3.0,108,1.24,1.76
MO-175,"Randolph County",2.73,103,1.07,1.66
MO-177,"Ray County",2.34,108,0.98,1.36
MO-179,"Reynolds County",6.99,119,4.05,2.94
MO-181,"Ripley County",5.76,107,2.17,3.59
MO-183,"St. Charles County",6.42,124,4.38,2.04
MO-185,"St. Clair County",3.87,118,2.15,1.72
MO-186,"Ste. Genevieve County",5.6,119,2.91,2.69
MO-187,"St. Francois County",5.71,118,2.96,2.75
MO-189,"St. Louis County",6.49,122,4.35,2.14
MO-195,"Saline County",2.66,112,1.05,1.61
MO-197,"Schuyler County",2.53,106,1.11,1.42
MO-199,"Scotland County",2.42,103,0.97,1.45
MO-201,"Scott County",6.14,110,2.33,3.81
MO-203,"Shannon County",5.46,115,2.64,2.82
MO-205,"Shelby County",2.51,101,0.91,1.6
MO-207,"Stoddard County",5.53,105,1.64,3.89
MO-209,"Stone County",5.55,120,3.27,2.28
MO-211,"Sullivan County",2.34,105,0.95,1.39
MO-213,"Taney County",5.84,121,3.38,2.46
MO-215,"Texas County",5.84,120,3.32,2.52
MO-217,"Vernon County",4.3,120,2.65,1.65
MO-219,"Warren County",6.26,124,4.21,2.05
MO-221,"Washington County",6.39,123,3.94,2.45
MO-223,"Wayne County",6.2,111,2.7,3.5
MO-225,"Webster County",5.7,122,3.49,2.21
MO-227,"Worth County",1.89,112,0.92,0.97
MO-229,"Wright County",6.01,121,3.62,2.39
MO-510,"St. Louis City",6.29,122,4.09,2.2
