January 2020 Montana County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MT-001,"Beaverhead County",1.54,61,-0.25,1.79
MT-003,"Big Horn County",0.4,23,-0.42,0.82
MT-005,"Blaine County",0.59,78,0.01,0.58
MT-007,"Broadwater County",0.54,27,-0.4,0.94
MT-009,"Carbon County",0.51,24,-0.48,0.99
MT-011,"Carter County",0.18,18,-0.28,0.46
MT-013,"Cascade County",0.25,9,-0.57,0.82
MT-015,"Chouteau County",0.33,28,-0.27,0.6
MT-017,"Custer County",0.28,35,-0.2,0.48
MT-019,"Daniels County",0.32,51,-0.14,0.46
MT-021,"Dawson County",0.25,43,-0.13,0.38
MT-023,"Deer Lodge County",1.48,58,-0.41,1.89
MT-025,"Fallon County",0.28,43,-0.17,0.45
MT-027,"Fergus County",0.43,33,-0.27,0.7
MT-029,"Flathead County",5.31,93,0.6,4.71
MT-031,"Gallatin County",1.81,67,-0.1,1.91
MT-033,"Garfield County",0.4,69,-0.02,0.42
MT-035,"Glacier County",2.0,63,-0.33,2.33
MT-037,"Golden Valley County",0.14,8,-0.37,0.51
MT-039,"Granite County",1.78,49,-0.58,2.36
MT-041,"Hill County",0.38,58,-0.1,0.48
MT-043,"Jefferson County",0.77,40,-0.45,1.22
MT-045,"Judith Basin County",0.5,20,-0.53,1.03
MT-047,"Lake County",2.97,83,0.3,2.67
MT-049,"Lewis and Clark County",1.13,26,-0.99,2.12
MT-051,"Liberty County",0.29,37,-0.15,0.44
MT-053,"Lincoln County",5.25,95,0.96,4.29
MT-055,"McCone County",0.21,41,-0.17,0.38
MT-057,"Madison County",1.48,51,-0.28,1.76
MT-059,"Meagher County",0.94,35,-0.51,1.45
MT-061,"Mineral County",6.33,90,0.73,5.6
MT-063,"Missoula County",4.08,86,0.22,3.86
MT-065,"Musselshell County",0.23,27,-0.27,0.5
MT-067,"Park County",1.83,58,-0.3,2.13
MT-069,"Petroleum County",0.33,53,-0.11,0.44
MT-071,"Phillips County",0.33,56,-0.09,0.42
MT-073,"Pondera County",0.55,31,-0.4,0.95
MT-075,"Powder River County",0.41,53,-0.13,0.54
MT-077,"Powell County",2.61,68,-0.38,2.99
MT-079,"Prairie County",0.22,32,-0.18,0.4
MT-081,"Ravalli County",3.41,77,-0.0,3.41
MT-083,"Richland County",0.36,63,-0.03,0.39
MT-085,"Roosevelt County",0.33,60,-0.04,0.37
MT-087,"Rosebud County",0.39,46,-0.15,0.54
MT-089,"Sanders County",5.27,99,1.13,4.14
MT-091,"Sheridan County",0.31,55,-0.13,0.44
MT-093,"Silver Bow County",0.66,28,-0.53,1.19
MT-095,"Stillwater County",0.46,27,-0.44,0.9
MT-097,"Sweet Grass County",0.64,39,-0.35,0.99
MT-099,"Teton County",0.51,26,-0.64,1.15
MT-101,"Toole County",0.19,20,-0.26,0.45
MT-103,"Treasure County",0.37,41,-0.19,0.56
MT-105,"Valley County",0.28,47,-0.15,0.43
MT-107,"Wheatland County",0.25,16,-0.44,0.69
MT-109,"Wibaux County",0.27,44,-0.15,0.42
MT-111,"Yellowstone County",0.22,15,-0.37,0.59
