January 2020 Nebraska County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NE-001,"Adams County",1.11,121,0.61,0.5
NE-003,"Antelope County",0.63,81,0.05,0.58
NE-005,"Arthur County",0.21,49,-0.13,0.34
NE-007,"Banner County",0.15,23,-0.3,0.45
NE-009,"Blaine County",0.37,61,-0.12,0.49
NE-011,"Boone County",0.81,92,0.19,0.62
NE-013,"Box Butte County",0.11,15,-0.27,0.38
NE-015,"Boyd County",0.43,70,-0.06,0.49
NE-017,"Brown County",0.58,84,0.05,0.53
NE-019,"Buffalo County",0.78,109,0.31,0.47
NE-021,"Burt County",1.13,109,0.44,0.69
NE-023,"Butler County",1.3,119,0.66,0.64
NE-025,"Cass County",1.24,111,0.46,0.78
NE-027,"Cedar County",0.72,90,0.13,0.59
NE-029,"Chase County",0.2,50,-0.17,0.37
NE-031,"Cherry County",0.37,56,-0.1,0.47
NE-033,"Cheyenne County",0.13,29,-0.25,0.38
NE-035,"Clay County",1.14,119,0.6,0.54
NE-037,"Colfax County",1.58,121,0.94,0.64
NE-039,"Cuming County",1.01,99,0.34,0.67
NE-041,"Custer County",0.4,71,-0.09,0.49
NE-043,"Dakota County",0.75,92,0.16,0.59
NE-045,"Dawes County",0.29,37,-0.22,0.51
NE-047,"Dawson County",0.43,76,-0.04,0.47
NE-049,"Deuel County",0.12,29,-0.23,0.35
NE-051,"Dixon County",0.76,92,0.18,0.58
NE-053,"Dodge County",1.21,110,0.51,0.7
NE-055,"Douglas County",1.18,109,0.45,0.73
NE-057,"Dundy County",0.31,70,-0.06,0.37
NE-059,"Fillmore County",1.2,116,0.6,0.6
NE-061,"Franklin County",0.82,105,0.33,0.49
NE-063,"Frontier County",0.26,54,-0.14,0.4
NE-065,"Furnas County",0.51,88,0.1,0.41
NE-067,"Gage County",1.19,109,0.53,0.66
NE-069,"Garden County",0.15,36,-0.2,0.35
NE-071,"Garfield County",0.61,92,0.16,0.45
NE-073,"Gosper County",0.42,82,0.01,0.41
NE-075,"Grant County",0.3,54,-0.09,0.39
NE-077,"Greeley County",0.82,105,0.32,0.5
NE-079,"Hall County",1.04,117,0.55,0.49
NE-081,"Hamilton County",1.26,119,0.72,0.54
NE-083,"Harlan County",0.61,94,0.18,0.43
NE-085,"Hayes County",0.22,49,-0.18,0.4
NE-087,"Hitchcock County",0.27,62,-0.14,0.41
NE-089,"Holt County",0.35,56,-0.13,0.48
NE-091,"Hooker County",0.39,63,-0.05,0.44
NE-093,"Howard County",1.01,114,0.55,0.46
NE-095,"Jefferson County",1.1,110,0.48,0.62
NE-097,"Johnson County",1.29,105,0.51,0.78
NE-099,"Kearney County",0.89,111,0.42,0.47
NE-101,"Keith County",0.2,46,-0.16,0.36
NE-103,"Keya Paha County",0.65,92,0.16,0.49
NE-105,"Kimball County",0.07,17,-0.32,0.39
NE-107,"Knox County",0.57,84,0.03,0.54
NE-109,"Lancaster County",1.31,114,0.63,0.68
NE-111,"Lincoln County",0.22,43,-0.2,0.42
NE-113,"Logan County",0.33,61,-0.11,0.44
NE-115,"Loup County",0.52,84,0.06,0.46
NE-117,"McPherson County",0.29,59,-0.1,0.39
NE-119,"Madison County",0.84,93,0.2,0.64
NE-121,"Merrick County",1.28,120,0.75,0.53
NE-123,"Morrill County",0.16,30,-0.2,0.36
NE-125,"Nance County",1.04,105,0.49,0.55
NE-127,"Nemaha County",1.24,102,0.4,0.84
NE-129,"Nuckolls County",1.02,111,0.48,0.54
NE-131,"Otoe County",1.25,105,0.46,0.79
NE-133,"Pawnee County",1.14,102,0.39,0.75
NE-135,"Perkins County",0.22,50,-0.16,0.38
NE-137,"Phelps County",0.61,94,0.16,0.45
NE-139,"Pierce County",0.7,85,0.07,0.63
NE-141,"Platte County",1.33,118,0.74,0.59
NE-143,"Polk County",1.33,119,0.73,0.6
NE-145,"Red Willow County",0.4,85,0.01,0.39
NE-147,"Richardson County",1.04,92,0.17,0.87
NE-149,"Rock County",0.53,80,0.01,0.52
NE-151,"Saline County",1.19,114,0.58,0.61
NE-153,"Sarpy County",1.21,111,0.47,0.74
NE-155,"Saunders County",1.16,108,0.45,0.71
NE-157,"Scotts Bluff County",0.1,17,-0.24,0.34
NE-159,"Seward County",1.16,110,0.53,0.63
NE-161,"Sheridan County",0.33,51,-0.1,0.43
NE-163,"Sherman County",0.7,100,0.24,0.46
NE-165,"Sioux County",0.21,29,-0.2,0.41
NE-167,"Stanton County",0.98,98,0.31,0.67
NE-169,"Thayer County",1.47,122,0.88,0.59
NE-171,"Thomas County",0.38,66,-0.07,0.45
NE-173,"Thurston County",0.85,94,0.21,0.64
NE-175,"Valley County",0.66,96,0.18,0.48
NE-177,"Washington County",1.18,107,0.46,0.72
NE-179,"Wayne County",0.8,91,0.19,0.61
NE-181,"Webster County",1.05,112,0.53,0.52
NE-183,"Wheeler County",0.68,88,0.17,0.51
NE-185,"York County",1.22,116,0.63,0.59
