January 2020 New Jersey County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NJ-001,"Atlantic County",2.39,23,-1.25,3.64
NJ-003,"Bergen County",2.06,22,-1.42,3.48
NJ-005,"Burlington County",2.52,29,-0.99,3.51
NJ-007,"Camden County",2.65,36,-0.8,3.45
NJ-009,"Cape May County",2.59,30,-0.96,3.55
NJ-011,"Cumberland County",2.81,51,-0.65,3.46
NJ-013,"Essex County",2.16,22,-1.42,3.58
NJ-015,"Gloucester County",2.74,40,-0.72,3.46
NJ-017,"Hudson County",1.99,21,-1.49,3.48
NJ-019,"Hunterdon County",2.05,23,-1.4,3.45
NJ-021,"Mercer County",2.23,25,-1.18,3.41
NJ-023,"Middlesex County",1.99,17,-1.46,3.45
NJ-025,"Monmouth County",2.14,21,-1.4,3.54
NJ-027,"Morris County",2.05,20,-1.6,3.65
NJ-029,"Ocean County",2.24,23,-1.38,3.62
NJ-031,"Passaic County",1.84,15,-1.72,3.56
NJ-033,"Salem County",3.13,68,-0.25,3.38
NJ-035,"Somerset County",1.83,10,-1.64,3.47
NJ-037,"Sussex County",1.7,14,-1.56,3.26
NJ-039,"Union County",1.86,13,-1.67,3.53
NJ-041,"Warren County",2.24,27,-1.16,3.4
