January 2020 Arkansas County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AR-001,"Arkansas County",7.07,103,2.33,4.74
AR-003,"Ashley County",8.92,113,3.82,5.1
AR-005,"Baxter County",5.03,110,2.18,2.85
AR-007,"Benton County",5.53,119,3.06,2.47
AR-009,"Boone County",5.41,117,2.74,2.67
AR-011,"Bradley County",7.38,108,2.49,4.89
AR-013,"Calhoun County",7.59,110,2.83,4.76
AR-015,"Carroll County",5.97,121,3.37,2.6
AR-017,"Chicot County",9.11,113,3.95,5.16
AR-019,"Clark County",6.16,99,1.82,4.34
AR-021,"Clay County",5.8,102,1.69,4.11
AR-023,"Cleburne County",5.88,102,1.89,3.99
AR-025,"Cleveland County",7.3,109,2.53,4.77
AR-027,"Columbia County",7.62,111,3.0,4.62
AR-029,"Conway County",5.06,95,1.33,3.73
AR-031,"Craighead County",6.44,102,2.12,4.32
AR-033,"Crawford County",6.47,119,3.54,2.93
AR-035,"Crittenden County",6.69,102,2.07,4.62
AR-037,"Cross County",5.97,92,1.42,4.55
AR-039,"Dallas County",7.3,111,2.69,4.61
AR-041,"Desha County",6.21,95,1.37,4.84
AR-043,"Drew County",7.31,105,2.39,4.92
AR-045,"Faulkner County",5.52,98,1.44,4.08
AR-047,"Franklin County",7.07,120,4.0,3.07
AR-049,"Fulton County",5.18,111,1.98,3.2
AR-051,"Garland County",4.72,83,0.53,4.19
AR-053,"Grant County",6.8,103,2.22,4.58
AR-055,"Greene County",6.29,106,2.12,4.17
AR-057,"Hempstead County",5.97,102,1.8,4.17
AR-059,"Hot Spring County",5.2,85,0.8,4.4
AR-061,"Howard County",6.35,107,2.43,3.92
AR-063,"Independence County",6.84,112,2.83,4.01
AR-065,"Izard County",5.32,106,1.93,3.39
AR-067,"Jackson County",6.11,101,1.8,4.31
AR-069,"Jefferson County",6.9,99,2.22,4.68
AR-071,"Johnson County",6.94,117,3.6,3.34
AR-073,"Lafayette County",6.65,105,2.21,4.44
AR-075,"Lawrence County",6.32,108,2.34,3.98
AR-077,"Lee County",6.47,99,1.76,4.71
AR-079,"Lincoln County",6.82,102,2.06,4.76
AR-081,"Little River County",5.92,110,2.21,3.71
AR-083,"Logan County",5.7,110,2.45,3.25
AR-085,"Lonoke County",6.89,106,2.42,4.47
AR-087,"Madison County",6.23,119,3.34,2.89
AR-089,"Marion County",4.76,108,2.03,2.73
AR-091,"Miller County",5.7,103,1.54,4.16
AR-093,"Mississippi County",5.39,88,0.92,4.47
AR-095,"Monroe County",6.67,103,2.06,4.61
AR-097,"Montgomery County",5.32,97,1.39,3.93
AR-099,"Nevada County",6.29,100,1.91,4.38
AR-101,"Newton County",5.49,111,2.34,3.15
AR-103,"Ouachita County",7.26,111,2.69,4.57
AR-105,"Perry County",4.86,89,1.03,3.83
AR-107,"Phillips County",6.25,97,1.47,4.78
AR-109,"Pike County",6.51,107,2.39,4.12
AR-111,"Poinsett County",6.03,96,1.57,4.46
AR-113,"Polk County",6.52,111,2.76,3.76
AR-115,"Pope County",5.58,103,2.01,3.57
AR-117,"Prairie County",6.43,100,1.93,4.5
AR-119,"Pulaski County",6.4,104,2.05,4.35
AR-121,"Randolph County",5.85,104,2.01,3.84
AR-123,"St. Francis County",6.3,99,1.68,4.62
AR-125,"Saline County",5.7,96,1.32,4.38
AR-127,"Scott County",6.08,115,2.69,3.39
AR-129,"Searcy County",4.46,99,1.36,3.1
AR-131,"Sebastian County",6.07,117,3.13,2.94
AR-133,"Sevier County",6.02,106,2.34,3.68
AR-135,"Sharp County",5.82,108,2.14,3.68
AR-137,"Stone County",5.31,100,1.79,3.52
AR-139,"Union County",7.74,109,2.87,4.87
AR-141,"Van Buren County",4.77,95,1.06,3.71
AR-143,"Washington County",5.77,118,2.98,2.79
AR-145,"White County",6.16,101,1.79,4.37
AR-147,"Woodruff County",5.55,90,1.09,4.46
AR-149,"Yell County",4.54,93,1.0,3.54
