January 2020 New York County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NY-001,"Albany County",1.9,46,-0.56,2.46
NY-003,"Allegany County",2.36,70,-0.06,2.42
NY-005,"Bronx County",1.92,18,-1.52,3.44
NY-007,"Broome County",2.59,70,0.03,2.56
NY-009,"Cattaraugus County",3.21,75,0.1,3.11
NY-011,"Cayuga County",3.14,99,0.72,2.42
NY-013,"Chautauqua County",3.24,78,0.13,3.11
NY-015,"Chemung County",1.72,48,-0.29,2.01
NY-017,"Chenango County",2.92,78,0.12,2.8
NY-019,"Clinton County",3.01,101,0.75,2.26
NY-021,"Columbia County",1.74,25,-1.08,2.82
NY-023,"Cortland County",3.43,95,0.71,2.72
NY-025,"Delaware County",2.38,47,-0.53,2.91
NY-027,"Dutchess County",1.59,15,-1.57,3.16
NY-029,"Erie County",3.07,78,0.09,2.98
NY-031,"Essex County",3.73,97,0.72,3.01
NY-033,"Franklin County",3.89,116,1.21,2.68
NY-035,"Fulton County",2.64,43,-0.94,3.58
NY-037,"Genesee County",2.39,72,0.02,2.37
NY-039,"Greene County",1.91,32,-1.1,3.01
NY-041,"Hamilton County",3.97,75,0.28,3.69
NY-043,"Herkimer County",3.61,74,0.08,3.53
NY-045,"Jefferson County",4.36,111,1.27,3.09
NY-047,"Kings County",1.91,16,-1.55,3.46
NY-049,"Lewis County",4.13,91,0.5,3.63
NY-051,"Livingston County",1.55,43,-0.45,2
NY-053,"Madison County",2.93,81,0.16,2.77
NY-055,"Monroe County",2.56,84,0.32,2.24
NY-057,"Montgomery County",1.95,36,-0.72,2.67
NY-059,"Nassau County",1.83,13,-1.68,3.51
NY-061,"New York County",1.92,17,-1.53,3.45
NY-063,"Niagara County",2.42,77,0.08,2.34
NY-065,"Oneida County",3.13,59,-0.37,3.5
NY-067,"Onondaga County",3.09,90,0.45,2.64
NY-069,"Ontario County",1.8,56,-0.21,2.01
NY-071,"Orange County",1.86,21,-1.21,3.07
NY-073,"Orleans County",2.34,74,0.01,2.33
NY-075,"Oswego County",3.42,70,0.02,3.4
NY-077,"Otsego County",2.51,58,-0.28,2.79
NY-079,"Putnam County",1.84,17,-1.54,3.38
NY-081,"Queens County",1.91,16,-1.55,3.46
NY-083,"Rensselaer County",1.93,43,-0.69,2.62
NY-085,"Richmond County",1.9,16,-1.61,3.51
NY-087,"Rockland County",1.84,17,-1.59,3.43
NY-089,"St. Lawrence County",3.65,107,0.89,2.76
NY-091,"Saratoga County",2.11,34,-0.97,3.08
NY-093,"Schenectady County",1.84,39,-0.69,2.53
NY-095,"Schoharie County",1.83,37,-0.72,2.55
NY-097,"Schuyler County",1.92,71,0.03,1.89
NY-099,"Seneca County",2.32,86,0.29,2.03
NY-101,"Steuben County",1.73,50,-0.27,2
NY-103,"Suffolk County",1.9,12,-1.83,3.73
NY-105,"Sullivan County",2.22,30,-1.11,3.33
NY-107,"Tioga County",2.11,63,-0.12,2.23
NY-109,"Tompkins County",2.77,96,0.61,2.16
NY-111,"Ulster County",1.91,20,-1.61,3.52
NY-113,"Warren County",2.97,66,-0.3,3.27
NY-115,"Washington County",1.96,43,-0.74,2.7
NY-117,"Wayne County",2.55,80,0.18,2.37
NY-119,"Westchester County",1.91,15,-1.57,3.48
NY-121,"Wyoming County",2.68,73,0.06,2.62
NY-123,"Yates County",1.71,61,-0.15,1.86
