January 2020 Ohio County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
OH-001,"Adams County",3.1,64,-0.44,3.54
OH-003,"Allen County",4.13,112,1.8,2.33
OH-005,"Ashland County",3.46,99,0.78,2.68
OH-007,"Ashtabula County",3.14,86,0.37,2.77
OH-009,"Athens County",3.29,81,0.16,3.13
OH-011,"Auglaize County",4.07,110,1.63,2.44
OH-013,"Belmont County",3.83,91,0.69,3.14
OH-015,"Brown County",3.62,77,0.13,3.49
OH-017,"Butler County",3.98,94,0.79,3.19
OH-019,"Carroll County",3.8,99,0.98,2.82
OH-021,"Champaign County",3.78,101,1.02,2.76
OH-023,"Clark County",3.82,97,0.93,2.89
OH-025,"Clermont County",4.01,90,0.55,3.46
OH-027,"Clinton County",3.84,90,0.53,3.31
OH-029,"Columbiana County",3.27,87,0.55,2.72
OH-031,"Coshocton County",3.7,94,0.82,2.88
OH-033,"Crawford County",3.18,91,0.48,2.7
OH-035,"Cuyahoga County",2.88,89,0.49,2.39
OH-037,"Darke County",4.32,109,1.61,2.71
OH-039,"Defiance County",3.16,103,1.05,2.11
OH-041,"Delaware County",3.28,90,0.45,2.83
OH-043,"Erie County",3.24,99,0.91,2.33
OH-045,"Fairfield County",3.53,89,0.45,3.08
OH-047,"Fayette County",3.66,90,0.67,2.99
OH-049,"Franklin County",3.77,98,0.88,2.89
OH-051,"Fulton County",3.63,109,1.51,2.12
OH-053,"Gallia County",3.16,67,-0.25,3.41
OH-055,"Geauga County",3.43,93,0.75,2.68
OH-057,"Greene County",3.79,95,0.8,2.99
OH-059,"Guernsey County",3.94,99,1.0,2.94
OH-061,"Hamilton County",4.0,93,0.72,3.28
OH-063,"Hancock County",3.48,104,1.19,2.29
OH-065,"Hardin County",3.54,106,1.13,2.41
OH-067,"Harrison County",3.85,96,0.94,2.91
OH-069,"Henry County",3.39,105,1.23,2.16
OH-071,"Highland County",3.5,82,0.17,3.33
OH-073,"Hocking County",3.52,86,0.4,3.12
OH-075,"Holmes County",3.51,93,0.69,2.82
OH-077,"Huron County",3.26,99,0.79,2.47
OH-079,"Jackson County",2.81,56,-0.58,3.39
OH-081,"Jefferson County",3.53,92,0.67,2.86
OH-083,"Knox County",3.91,97,0.91,3
OH-085,"Lake County",2.97,77,0.36,2.61
OH-087,"Lawrence County",3.31,68,-0.28,3.59
OH-089,"Licking County",3.8,93,0.73,3.07
OH-091,"Logan County",3.96,110,1.4,2.56
OH-093,"Lorain County",3.36,102,1.05,2.31
OH-095,"Lucas County",2.92,102,0.93,1.99
OH-097,"Madison County",3.52,94,0.72,2.8
OH-099,"Mahoning County",3.08,87,0.46,2.62
OH-101,"Marion County",2.71,83,0.12,2.59
OH-103,"Medina County",3.17,99,0.74,2.43
OH-105,"Meigs County",3.34,80,0.1,3.24
OH-107,"Mercer County",3.93,107,1.47,2.46
OH-109,"Miami County",4.04,104,1.27,2.77
OH-111,"Monroe County",4.11,91,0.75,3.36
OH-113,"Montgomery County",3.95,100,0.98,2.97
OH-115,"Morgan County",3.73,93,0.75,2.98
OH-117,"Morrow County",3.43,93,0.51,2.92
OH-119,"Muskingum County",3.88,98,0.99,2.89
OH-121,"Noble County",3.81,93,0.71,3.1
OH-123,"Ottawa County",2.72,96,0.64,2.08
OH-125,"Paulding County",3.19,102,1.01,2.18
OH-127,"Perry County",3.83,94,0.85,2.98
OH-129,"Pickaway County",3.67,92,0.69,2.98
OH-131,"Pike County",2.86,61,-0.48,3.34
OH-133,"Portage County",3.28,93,0.73,2.55
OH-135,"Preble County",4.61,107,1.59,3.02
OH-137,"Putnam County",3.55,109,1.32,2.23
OH-139,"Richland County",3.47,95,0.69,2.78
OH-141,"Ross County",3.25,80,0.11,3.14
OH-143,"Sandusky County",3.08,101,0.92,2.16
OH-145,"Scioto County",2.96,58,-0.56,3.52
OH-147,"Seneca County",3.32,103,0.92,2.4
OH-149,"Shelby County",4.14,110,1.52,2.62
OH-151,"Stark County",3.29,92,0.6,2.69
OH-153,"Summit County",2.89,88,0.42,2.47
OH-155,"Trumbull County",3.19,91,0.53,2.66
OH-157,"Tuscarawas County",3.86,99,1.02,2.84
OH-159,"Union County",3.1,92,0.5,2.6
OH-161,"Van Wert County",3.67,106,1.37,2.3
OH-163,"Vinton County",3.08,76,-0.15,3.23
OH-165,"Warren County",4.04,92,0.76,3.28
OH-167,"Washington County",3.65,87,0.42,3.23
OH-169,"Wayne County",3.27,96,0.64,2.63
OH-171,"Williams County",3.45,107,1.37,2.08
OH-173,"Wood County",3.2,104,1.12,2.08
OH-175,"Wyandot County",3.0,92,0.51,2.49
