January 2020 Oklahoma County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
OK-001,"Adair County",5.64,119,3.12,2.52
OK-003,"Alfalfa County",1.89,113,1.11,0.78
OK-005,"Atoka County",6.53,122,4.15,2.38
OK-007,"Beaver County",1.74,122,1.26,0.48
OK-009,"Beckham County",1.07,98,0.38,0.69
OK-011,"Blaine County",1.75,110,0.86,0.89
OK-013,"Bryan County",5.76,121,3.5,2.26
OK-015,"Caddo County",2.82,122,1.78,1.04
OK-017,"Canadian County",3.25,123,2.22,1.03
OK-019,"Carter County",4.44,120,2.73,1.71
OK-021,"Cherokee County",5.65,120,3.35,2.3
OK-023,"Choctaw County",5.8,116,3.06,2.74
OK-025,"Cimarron County",0.44,84,0.1,0.34
OK-027,"Cleveland County",4.06,124,2.7,1.36
OK-029,"Coal County",6.68,122,4.6,2.08
OK-031,"Comanche County",3.34,123,2.23,1.11
OK-033,"Cotton County",3.55,123,2.35,1.2
OK-035,"Craig County",4.53,120,2.69,1.84
OK-037,"Creek County",4.88,123,3.37,1.51
OK-039,"Custer County",1.42,106,0.64,0.78
OK-041,"Delaware County",5.57,122,3.4,2.17
OK-043,"Dewey County",1.63,116,0.87,0.76
OK-045,"Ellis County",1.2,107,0.61,0.59
OK-047,"Garfield County",1.85,107,0.88,0.97
OK-049,"Garvin County",4.07,121,2.57,1.5
OK-051,"Grady County",3.8,123,2.6,1.2
OK-053,"Grant County",1.67,107,0.77,0.9
OK-055,"Greer County",1.1,92,0.35,0.75
OK-057,"Harmon County",1.09,95,0.39,0.7
OK-059,"Harper County",1.76,119,1.17,0.59
OK-061,"Haskell County",5.78,122,3.29,2.49
OK-063,"Hughes County",5.76,122,3.74,2.02
OK-065,"Jackson County",1.66,111,0.86,0.8
OK-067,"Jefferson County",3.84,120,2.42,1.42
OK-069,"Johnston County",6.18,123,4.25,1.93
OK-071,"Kay County",2.12,111,1.1,1.02
OK-073,"Kingfisher County",2.49,118,1.55,0.94
OK-075,"Kiowa County",1.91,113,1.01,0.9
OK-077,"Latimer County",6.02,120,3.32,2.7
OK-079,"Le Flore County",5.92,117,2.88,3.04
OK-081,"Lincoln County",4.83,124,3.43,1.4
OK-083,"Logan County",3.25,123,2.2,1.05
OK-085,"Love County",5.35,124,3.6,1.75
OK-087,"McClain County",4.01,122,2.66,1.35
OK-089,"McCurtain County",6.55,118,3.17,3.38
OK-091,"McIntosh County",5.71,122,3.57,2.14
OK-093,"Major County",1.92,115,1.1,0.82
OK-095,"Marshall County",5.8,124,3.84,1.96
OK-097,"Mayes County",5.22,122,3.2,2.02
OK-099,"Murray County",4.56,120,2.82,1.74
OK-101,"Muskogee County",5.41,122,3.25,2.16
OK-103,"Noble County",2.37,110,1.34,1.03
OK-105,"Nowata County",3.57,116,1.96,1.61
OK-107,"Okfuskee County",5.61,123,3.9,1.71
OK-109,"Oklahoma County",3.96,124,2.78,1.18
OK-111,"Okmulgee County",5.35,123,3.5,1.85
OK-113,"Osage County",3.0,117,1.75,1.25
OK-115,"Ottawa County",5.27,124,3.39,1.88
OK-117,"Pawnee County",2.88,114,1.68,1.2
OK-119,"Payne County",3.32,120,2.14,1.18
OK-121,"Pittsburg County",6.2,122,3.79,2.41
OK-123,"Pontotoc County",5.55,122,3.74,1.81
OK-125,"Pottawatomie County",4.66,123,3.16,1.5
OK-127,"Pushmataha County",5.86,117,2.91,2.95
OK-129,"Roger Mills County",1.1,103,0.45,0.65
OK-131,"Rogers County",4.68,123,2.93,1.75
OK-133,"Seminole County",4.91,123,3.21,1.7
OK-135,"Sequoyah County",5.92,120,3.32,2.6
OK-137,"Stephens County",4.18,123,2.8,1.38
OK-139,"Texas County",1.34,124,0.96,0.38
OK-141,"Tillman County",2.36,117,1.36,1
OK-143,"Tulsa County",4.79,123,3.17,1.62
OK-145,"Wagoner County",5.23,123,3.27,1.96
OK-147,"Washington County",3.38,118,1.93,1.45
OK-149,"Washita County",1.43,101,0.62,0.81
OK-151,"Woods County",1.84,117,1.16,0.68
OK-153,"Woodward County",1.78,118,1.12,0.66
