January 2020 Pennsylvania County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
PA-001,"Adams County",3.27,77,0.12,3.15
PA-003,"Allegheny County",3.39,87,0.52,2.87
PA-005,"Armstrong County",3.27,75,0.08,3.19
PA-007,"Beaver County",3.26,86,0.49,2.77
PA-009,"Bedford County",3.32,90,0.58,2.74
PA-011,"Berks County",3.37,72,0.03,3.34
PA-013,"Blair County",3.02,81,0.2,2.82
PA-015,"Bradford County",1.98,56,-0.25,2.23
PA-017,"Bucks County",2.42,31,-1.03,3.45
PA-019,"Butler County",3.38,82,0.41,2.97
PA-021,"Cambria County",3.83,87,0.47,3.36
PA-023,"Cameron County",2.29,44,-0.64,2.93
PA-025,"Carbon County",2.35,30,-1.15,3.5
PA-027,"Centre County",2.3,46,-0.6,2.9
PA-029,"Chester County",3.26,60,-0.29,3.55
PA-031,"Clarion County",3.51,84,0.3,3.21
PA-033,"Clearfield County",2.66,52,-0.45,3.11
PA-035,"Clinton County",2.03,40,-0.85,2.88
PA-037,"Columbia County",2.7,63,-0.24,2.94
PA-039,"Crawford County",3.53,88,0.43,3.1
PA-041,"Cumberland County",3.09,71,0.06,3.03
PA-043,"Dauphin County",3.14,72,-0.05,3.19
PA-045,"Delaware County",2.73,40,-0.76,3.49
PA-047,"Elk County",3.32,76,0.16,3.16
PA-049,"Erie County",3.76,93,0.62,3.14
PA-051,"Fayette County",4.09,88,0.62,3.47
PA-053,"Forest County",3.72,89,0.55,3.17
PA-055,"Franklin County",2.98,71,0.04,2.94
PA-057,"Fulton County",3.31,89,0.57,2.74
PA-059,"Greene County",3.69,90,0.49,3.2
PA-061,"Huntingdon County",2.8,71,0.0,2.8
PA-063,"Indiana County",3.73,81,0.32,3.41
PA-065,"Jefferson County",3.04,63,-0.21,3.25
PA-067,"Juniata County",2.7,59,-0.28,2.98
PA-069,"Lackawanna County",2.92,77,0.11,2.81
PA-071,"Lancaster County",3.54,88,0.4,3.14
PA-073,"Lawrence County",3.36,90,0.59,2.77
PA-075,"Lebanon County",3.37,77,0.13,3.24
PA-077,"Lehigh County",2.52,36,-0.89,3.41
PA-079,"Luzerne County",2.65,60,-0.27,2.92
PA-081,"Lycoming County",2.44,56,-0.51,2.95
PA-083,"McKean County",3.03,69,-0.09,3.12
PA-085,"Mercer County",3.3,83,0.3,3
PA-087,"Mifflin County",2.56,56,-0.36,2.92
PA-089,"Monroe County",2.74,44,-0.74,3.48
PA-091,"Montgomery County",2.62,36,-0.86,3.48
PA-093,"Montour County",2.85,69,-0.03,2.88
PA-095,"Northampton County",2.39,33,-1.03,3.42
PA-097,"Northumberland County",2.85,70,-0.06,2.91
PA-099,"Perry County",2.95,66,-0.17,3.12
PA-101,"Philadelphia County",2.63,39,-0.74,3.37
PA-103,"Pike County",2.11,28,-1.01,3.12
PA-105,"Potter County",2.23,51,-0.54,2.77
PA-107,"Schuylkill County",3.09,58,-0.32,3.41
PA-109,"Snyder County",2.85,64,-0.23,3.08
PA-111,"Somerset County",4.24,94,0.75,3.49
PA-113,"Sullivan County",2.28,44,-0.8,3.08
PA-115,"Susquehanna County",2.57,64,-0.14,2.71
PA-117,"Tioga County",1.85,49,-0.41,2.26
PA-119,"Union County",2.82,67,-0.15,2.97
PA-121,"Venango County",3.69,97,0.6,3.09
PA-123,"Warren County",3.67,92,0.61,3.06
PA-125,"Washington County",3.47,89,0.53,2.94
PA-127,"Wayne County",2.55,55,-0.44,2.99
PA-129,"Westmoreland County",4.01,93,0.79,3.22
PA-131,"Wyoming County",2.72,72,0.02,2.7
PA-133,"York County",3.23,79,0.13,3.1
