January 2020 South Carolina County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
SC-001,"Abbeville County",5.63,97,1.2,4.43
SC-003,"Aiken County",4.64,90,0.76,3.88
SC-005,"Allendale County",3.39,66,-0.25,3.64
SC-007,"Anderson County",5.99,105,1.5,4.49
SC-009,"Bamberg County",3.09,61,-0.44,3.53
SC-011,"Barnwell County",3.88,80,0.14,3.74
SC-013,"Beaufort County",1.92,39,-1.34,3.26
SC-015,"Berkeley County",1.74,28,-1.67,3.41
SC-017,"Calhoun County",4.39,94,0.85,3.54
SC-019,"Charleston County",1.58,26,-1.75,3.33
SC-021,"Cherokee County",4.58,81,0.3,4.28
SC-023,"Chester County",5.15,96,1.14,4.01
SC-025,"Chesterfield County",4.88,102,1.16,3.72
SC-027,"Clarendon County",2.72,53,-0.86,3.58
SC-029,"Colleton County",2.41,46,-0.9,3.31
SC-031,"Darlington County",4.66,101,1.11,3.55
SC-033,"Dillon County",4.0,91,0.65,3.35
SC-035,"Dorchester County",2.21,44,-1.11,3.32
SC-037,"Edgefield County",4.42,81,0.26,4.16
SC-039,"Fairfield County",4.46,88,0.55,3.91
SC-041,"Florence County",3.7,82,0.19,3.51
SC-043,"Georgetown County",2.11,35,-1.41,3.52
SC-045,"Greenville County",7.09,107,2.3,4.79
SC-047,"Greenwood County",6.12,106,1.83,4.29
SC-049,"Hampton County",2.76,48,-0.71,3.47
SC-051,"Horry County",2.68,53,-0.82,3.5
SC-053,"Jasper County",2.17,40,-1.21,3.38
SC-055,"Kershaw County",4.54,95,0.81,3.73
SC-057,"Lancaster County",4.95,97,1.09,3.86
SC-059,"Laurens County",5.81,103,1.48,4.33
SC-061,"Lee County",4.75,100,1.12,3.63
SC-063,"Lexington County",5.03,101,1.17,3.86
SC-065,"McCormick County",5.13,90,0.79,4.34
SC-067,"Marion County",3.18,74,-0.25,3.43
SC-069,"Marlboro County",4.56,101,1.05,3.51
SC-071,"Newberry County",5.5,100,1.42,4.08
SC-073,"Oconee County",8.14,108,2.64,5.5
SC-075,"Orangeburg County",3.39,70,-0.14,3.53
SC-077,"Pickens County",6.26,99,1.11,5.15
SC-079,"Richland County",5.2,105,1.5,3.7
SC-081,"Saluda County",4.6,84,0.45,4.15
SC-083,"Spartanburg County",6.19,106,1.75,4.44
SC-085,"Sumter County",4.4,94,0.82,3.58
SC-087,"Union County",5.27,91,1.02,4.25
SC-089,"Williamsburg County",2.26,42,-1.28,3.54
SC-091,"York County",4.81,89,0.73,4.08
