January 2020 South Dakota County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
SD-003,"Aurora County",0.48,76,-0.02,0.5
SD-005,"Beadle County",0.5,81,0.01,0.49
SD-007,"Bennett County",0.31,51,-0.12,0.43
SD-009,"Bon Homme County",0.59,88,0.09,0.5
SD-011,"Brookings County",0.66,86,0.13,0.53
SD-013,"Brown County",0.43,61,-0.11,0.54
SD-015,"Brule County",0.27,50,-0.19,0.46
SD-017,"Buffalo County",0.18,36,-0.28,0.46
SD-019,"Butte County",0.34,70,-0.06,0.4
SD-021,"Campbell County",0.37,72,-0.04,0.41
SD-023,"Charles Mix County",0.5,81,0.02,0.48
SD-025,"Clark County",0.66,85,0.09,0.57
SD-027,"Clay County",0.63,89,0.08,0.55
SD-029,"Codington County",0.82,96,0.21,0.61
SD-031,"Corson County",0.36,68,-0.07,0.43
SD-033,"Custer County",0.43,65,-0.04,0.47
SD-035,"Davison County",0.72,102,0.26,0.46
SD-037,"Day County",0.54,70,-0.07,0.61
SD-039,"Deuel County",0.76,91,0.14,0.62
SD-041,"Dewey County",0.36,70,-0.06,0.42
SD-043,"Douglas County",0.57,88,0.08,0.49
SD-045,"Edmunds County",0.29,50,-0.17,0.46
SD-047,"Fall River County",0.42,70,-0.02,0.44
SD-049,"Faulk County",0.37,73,-0.06,0.43
SD-051,"Grant County",0.5,62,-0.18,0.68
SD-053,"Gregory County",0.44,81,-0.02,0.46
SD-055,"Haakon County",0.36,65,-0.06,0.42
SD-057,"Hamlin County",0.83,101,0.27,0.56
SD-059,"Hand County",0.25,47,-0.25,0.5
SD-061,"Hanson County",0.62,89,0.16,0.46
SD-063,"Harding County",0.14,21,-0.26,0.4
SD-065,"Hughes County",0.15,29,-0.25,0.4
SD-067,"Hutchinson County",0.64,90,0.13,0.51
SD-069,"Hyde County",0.14,27,-0.3,0.44
SD-071,"Jackson County",0.27,49,-0.13,0.4
SD-073,"Jerauld County",0.56,86,0.03,0.53
SD-075,"Jones County",0.33,60,-0.09,0.42
SD-077,"Kingsbury County",0.64,89,0.11,0.53
SD-079,"Lake County",0.59,84,0.06,0.53
SD-081,"Lawrence County",0.92,66,-0.07,0.99
SD-083,"Lincoln County",0.68,85,0.12,0.56
SD-085,"Lyman County",0.2,35,-0.22,0.42
SD-087,"McCook County",0.65,89,0.14,0.51
SD-089,"McPherson County",0.35,52,-0.11,0.46
SD-091,"Marshall County",0.52,70,-0.06,0.58
SD-093,"Meade County",0.36,70,-0.08,0.44
SD-095,"Mellette County",0.35,66,-0.08,0.43
SD-097,"Miner County",0.56,89,0.09,0.47
SD-099,"Minnehaha County",0.69,91,0.14,0.55
SD-101,"Moody County",0.6,84,0.08,0.52
SD-102,"Oglala Lakota County",0.43,71,-0.03,0.46
SD-103,"Pennington County",0.39,61,-0.08,0.47
SD-105,"Perkins County",0.23,40,-0.2,0.43
SD-107,"Potter County",0.39,71,-0.02,0.41
SD-109,"Roberts County",0.63,73,-0.02,0.65
SD-111,"Sanborn County",0.62,93,0.15,0.47
SD-115,"Spink County",0.44,78,-0.04,0.48
SD-117,"Stanley County",0.28,55,-0.12,0.4
SD-119,"Sully County",0.31,68,-0.06,0.37
SD-121,"Todd County",0.35,63,-0.1,0.45
SD-123,"Tripp County",0.34,70,-0.1,0.44
SD-125,"Turner County",0.65,89,0.12,0.53
SD-127,"Union County",0.71,92,0.16,0.55
SD-129,"Walworth County",0.39,74,-0.05,0.44
SD-135,"Yankton County",0.59,86,0.08,0.51
SD-137,"Ziebach County",0.36,65,-0.08,0.44
