January 2020 California County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
CA-001,"Alameda County",1.54,33,-2.43,3.97
CA-003,"Alpine County",1.86,20,-4.74,6.6
CA-005,"Amador County",2.4,26,-4.3,6.7
CA-007,"Butte County",4.06,35,-4.67,8.73
CA-009,"Calaveras County",2.11,21,-4.55,6.66
CA-011,"Colusa County",1.6,27,-2.86,4.46
CA-013,"Contra Costa County",1.54,33,-2.55,4.09
CA-015,"Del Norte County",18.37,103,4.47,13.9
CA-017,"El Dorado County",3.5,33,-4.93,8.43
CA-019,"Fresno County",0.7,11,-3.05,3.75
CA-021,"Glenn County",1.72,29,-3.44,5.16
CA-023,"Humboldt County",11.7,72,0.04,11.66
CA-025,"Imperial County",0.02,12,-0.51,0.53
CA-027,"Inyo County",0.05,6,-0.98,1.03
CA-029,"Kern County",0.31,10,-1.45,1.76
CA-031,"Kings County",0.55,32,-0.98,1.53
CA-033,"Lake County",5.04,40,-4.01,9.05
CA-035,"Lassen County",2.27,56,-1.06,3.33
CA-037,"Los Angeles County",0.23,11,-3.06,3.29
CA-039,"Madera County",0.92,15,-3.52,4.44
CA-041,"Marin County",3.56,33,-4.23,7.79
CA-043,"Mariposa County",1.36,14,-5.01,6.37
CA-045,"Mendocino County",7.39,49,-3.08,10.47
CA-047,"Merced County",0.66,20,-1.6,2.26
CA-049,"Modoc County",3.53,97,0.83,2.7
CA-051,"Mono County",0.48,14,-2.16,2.64
CA-053,"Monterey County",1.24,23,-3.15,4.39
CA-055,"Napa County",2.71,32,-4.16,6.87
CA-057,"Nevada County",4.42,36,-5.19,9.61
CA-059,"Orange County",0.23,10,-2.63,2.86
CA-061,"Placer County",3.79,35,-4.92,8.71
CA-063,"Plumas County",3.55,36,-4.21,7.76
CA-065,"Riverside County",0.1,7,-1.44,1.54
CA-067,"Sacramento County",1.28,24,-2.62,3.9
CA-069,"San Benito County",1.11,26,-2.34,3.45
CA-071,"San Bernardino County",0.03,5,-1.14,1.17
CA-073,"San Diego County",0.36,10,-2.38,2.74
CA-075,"San Francisco County",2.45,35,-2.82,5.27
CA-077,"San Joaquin County",1.05,27,-1.88,2.93
CA-079,"San Luis Obispo County",0.61,13,-3.1,3.71
CA-081,"San Mateo County",2.4,33,-3.8,6.2
CA-083,"Santa Barbara County",0.63,16,-3.44,4.07
CA-085,"Santa Clara County",1.94,34,-2.9,4.84
CA-087,"Santa Cruz County",2.7,32,-4.49,7.19
CA-089,"Shasta County",5.45,50,-2.17,7.62
CA-091,"Sierra County",3.66,36,-4.91,8.57
CA-093,"Siskiyou County",6.37,68,-0.37,6.74
CA-095,"Solano County",1.41,26,-2.96,4.37
CA-097,"Sonoma County",3.92,30,-5.2,9.12
CA-099,"Stanislaus County",0.92,24,-1.84,2.76
CA-101,"Sutter County",1.45,28,-2.48,3.93
CA-103,"Tehama County",3.47,35,-3.39,6.86
CA-105,"Trinity County",7.66,47,-3.11,10.77
CA-107,"Tulare County",0.8,13,-3.32,4.12
CA-109,"Tuolumne County",1.91,17,-5.77,7.68
CA-111,"Ventura County",0.51,11,-3.93,4.44
CA-113,"Yolo County",1.45,26,-2.8,4.25
CA-115,"Yuba County",3.51,32,-3.92,7.43
