January 2020 Tennessee County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
TN-001,"Anderson County",7.9,113,2.99,4.91
TN-003,"Bedford County",6.58,103,1.58,5
TN-005,"Benton County",5.54,91,0.68,4.86
TN-007,"Bledsoe County",8.51,115,3.24,5.27
TN-009,"Blount County",7.85,113,2.88,4.97
TN-011,"Bradley County",6.83,105,1.74,5.09
TN-013,"Campbell County",6.69,105,1.89,4.8
TN-015,"Cannon County",6.81,102,1.66,5.15
TN-017,"Carroll County",5.65,91,0.7,4.95
TN-019,"Carter County",4.82,94,0.91,3.91
TN-021,"Cheatham County",5.43,88,0.68,4.75
TN-023,"Chester County",7.32,105,2.22,5.1
TN-025,"Claiborne County",6.0,97,1.23,4.77
TN-027,"Clay County",6.58,97,1.48,5.1
TN-029,"Cocke County",5.62,109,1.66,3.96
TN-031,"Coffee County",7.65,108,2.46,5.19
TN-033,"Crockett County",5.85,97,1.08,4.77
TN-035,"Cumberland County",7.29,106,2.23,5.06
TN-037,"Davidson County",5.29,88,0.64,4.65
TN-039,"Decatur County",7.59,108,2.48,5.11
TN-041,"DeKalb County",7.04,106,2.04,5
TN-043,"Dickson County",6.14,95,1.26,4.88
TN-045,"Dyer County",5.08,84,0.61,4.47
TN-047,"Fayette County",6.65,102,1.61,5.04
TN-049,"Fentress County",6.66,98,1.65,5.01
TN-051,"Franklin County",8.55,112,3.35,5.2
TN-053,"Gibson County",5.79,98,1.0,4.79
TN-055,"Giles County",8.19,109,3.04,5.15
TN-057,"Grainger County",6.27,107,1.81,4.46
TN-059,"Greene County",5.27,107,1.55,3.72
TN-061,"Grundy County",10.29,118,4.81,5.48
TN-063,"Hamblen County",6.01,107,1.91,4.1
TN-065,"Hamilton County",7.45,109,2.19,5.26
TN-067,"Hancock County",6.03,105,1.64,4.39
TN-069,"Hardeman County",7.18,103,2.05,5.13
TN-071,"Hardin County",8.66,112,3.41,5.25
TN-073,"Hawkins County",5.79,105,1.75,4.04
TN-075,"Haywood County",6.23,98,1.38,4.85
TN-077,"Henderson County",6.9,101,1.79,5.11
TN-079,"Henry County",4.91,81,0.11,4.8
TN-081,"Hickman County",6.97,102,1.92,5.05
TN-083,"Houston County",5.84,96,1.04,4.8
TN-085,"Humphreys County",6.22,97,1.31,4.91
TN-087,"Jackson County",6.86,99,1.69,5.17
TN-089,"Jefferson County",6.31,110,2.17,4.14
TN-091,"Johnson County",4.76,93,0.74,4.02
TN-093,"Knox County",7.93,117,3.31,4.62
TN-095,"Lake County",5.22,91,0.91,4.31
TN-097,"Lauderdale County",5.21,90,0.58,4.63
TN-099,"Lawrence County",8.73,113,3.45,5.28
TN-101,"Lewis County",7.62,107,2.46,5.16
TN-103,"Lincoln County",8.4,111,3.28,5.12
TN-105,"Loudon County",7.74,112,2.86,4.88
TN-107,"McMinn County",6.87,103,1.81,5.06
TN-109,"McNairy County",8.27,107,3.09,5.18
TN-111,"Macon County",5.76,90,0.71,5.05
TN-113,"Madison County",6.3,99,1.32,4.98
TN-115,"Marion County",9.24,115,3.9,5.34
TN-117,"Marshall County",6.96,103,1.94,5.02
TN-119,"Maury County",6.75,99,1.76,4.99
TN-121,"Meigs County",7.31,107,2.15,5.16
TN-123,"Monroe County",6.91,101,1.54,5.37
TN-125,"Montgomery County",5.13,87,0.42,4.71
TN-127,"Moore County",7.8,111,2.67,5.13
TN-129,"Morgan County",7.21,108,2.29,4.92
TN-131,"Obion County",5.54,93,1.02,4.52
TN-133,"Overton County",7.23,101,1.97,5.26
TN-135,"Perry County",7.39,105,2.28,5.11
TN-137,"Pickett County",6.79,100,1.67,5.12
TN-139,"Polk County",6.75,99,1.46,5.29
TN-141,"Putnam County",7.34,105,2.05,5.29
TN-143,"Rhea County",7.56,109,2.38,5.18
TN-145,"Roane County",7.79,114,2.87,4.92
TN-147,"Robertson County",5.87,95,1.15,4.72
TN-149,"Rutherford County",6.48,103,1.63,4.85
TN-151,"Scott County",6.46,101,1.56,4.9
TN-153,"Sequatchie County",9.32,116,3.84,5.48
TN-155,"Sevier County",7.04,111,2.21,4.83
TN-157,"Shelby County",6.15,101,1.38,4.77
TN-159,"Smith County",6.39,97,1.39,5
TN-161,"Stewart County",5.24,86,0.53,4.71
TN-163,"Sullivan County",4.52,97,0.83,3.69
TN-165,"Sumner County",5.78,93,1.02,4.76
TN-167,"Tipton County",5.92,97,1.19,4.73
TN-169,"Trousdale County",5.67,91,0.76,4.91
TN-171,"Unicoi County",5.3,101,1.25,4.05
TN-173,"Union County",6.77,108,2.08,4.69
TN-175,"Van Buren County",8.5,113,3.23,5.27
TN-177,"Warren County",7.84,108,2.67,5.17
TN-179,"Washington County",4.61,101,1.06,3.55
TN-181,"Wayne County",8.66,111,3.31,5.35
TN-183,"Weakley County",5.69,93,0.9,4.79
TN-185,"White County",7.38,106,2.18,5.2
TN-187,"Williamson County",5.87,93,0.99,4.88
TN-189,"Wilson County",5.97,95,1.1,4.87
