January 2020 Washington County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
WA-001,"Adams County",1.8,102,0.5,1.3
WA-003,"Asotin County",2.14,102,0.53,1.61
WA-005,"Benton County",1.14,73,0.05,1.09
WA-007,"Chelan County",9.57,117,3.61,5.96
WA-009,"Clallam County",24.34,124,11.08,13.26
WA-011,"Clark County",16.09,119,6.52,9.57
WA-013,"Columbia County",4.55,98,0.95,3.6
WA-015,"Cowlitz County",20.71,123,9.59,11.12
WA-017,"Douglas County",1.85,92,0.42,1.43
WA-019,"Ferry County",3.48,122,1.51,1.97
WA-021,"Franklin County",1.27,81,0.14,1.13
WA-023,"Garfield County",3.14,109,0.86,2.28
WA-025,"Grant County",1.16,88,0.17,0.99
WA-027,"Grays Harbor County",29.49,125,15.29,14.2
WA-029,"Island County",4.64,109,1.36,3.28
WA-031,"Jefferson County",28.46,123,12.4,16.06
WA-033,"King County",18.59,124,8.29,10.3
WA-035,"Kitsap County",11.71,123,5.19,6.52
WA-037,"Kittitas County",8.14,116,2.87,5.27
WA-039,"Klickitat County",4.74,97,1.03,3.71
WA-041,"Lewis County",18.48,121,7.85,10.63
WA-043,"Lincoln County",2.02,100,0.53,1.49
WA-045,"Mason County",27.99,124,14.04,13.95
WA-047,"Okanogan County",4.31,106,1.42,2.89
WA-049,"Pacific County",25.59,123,12.15,13.44
WA-051,"Pend Oreille County",8.41,124,4.17,4.24
WA-053,"Pierce County",15.35,121,6.35,9
WA-055,"San Juan County",5.72,113,1.82,3.9
WA-057,"Skagit County",19.49,122,8.7,10.79
WA-059,"Skamania County",25.12,120,10.68,14.44
WA-061,"Snohomish County",19.98,121,8.47,11.51
WA-063,"Spokane County",4.51,119,1.98,2.53
WA-065,"Stevens County",5.34,125,2.7,2.64
WA-067,"Thurston County",12.88,121,5.46,7.42
WA-069,"Wahkiakum County",21.7,121,9.12,12.58
WA-071,"Walla Walla County",2.16,91,0.34,1.82
WA-073,"Whatcom County",18.41,123,8.85,9.56
WA-075,"Whitman County",3.28,116,1.16,2.12
WA-077,"Yakima County",5.67,98,1.46,4.21
