January 2020 West Virginia County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
WV-001,"Barbour County",4.25,85,0.39,3.86
WV-003,"Berkeley County",3.29,96,0.59,2.7
WV-005,"Boone County",3.74,73,-0.09,3.83
WV-007,"Braxton County",3.83,77,0.07,3.76
WV-009,"Brooke County",3.51,91,0.54,2.97
WV-011,"Cabell County",3.5,69,-0.11,3.61
WV-013,"Calhoun County",3.78,75,0.07,3.71
WV-015,"Clay County",3.85,77,0.09,3.76
WV-017,"Doddridge County",3.95,77,0.21,3.74
WV-019,"Fayette County",3.51,67,-0.31,3.82
WV-021,"Gilmer County",3.44,57,-0.37,3.81
WV-023,"Grant County",3.19,87,0.32,2.87
WV-025,"Greenbrier County",3.43,62,-0.28,3.71
WV-027,"Hampshire County",3.03,89,0.44,2.59
WV-029,"Hancock County",3.41,87,0.63,2.78
WV-031,"Hardy County",2.88,78,0.18,2.7
WV-033,"Harrison County",3.89,77,0.24,3.65
WV-035,"Jackson County",3.76,85,0.27,3.49
WV-037,"Jefferson County",3.14,87,0.35,2.79
WV-039,"Kanawha County",3.83,79,0.11,3.72
WV-041,"Lewis County",3.84,66,-0.08,3.92
WV-043,"Lincoln County",3.65,70,-0.02,3.67
WV-045,"Logan County",3.63,61,-0.26,3.89
WV-047,"McDowell County",3.33,63,-0.24,3.57
WV-049,"Marion County",4.08,91,0.51,3.57
WV-051,"Marshall County",4.39,93,0.98,3.41
WV-053,"Mason County",3.46,76,0.07,3.39
WV-055,"Mercer County",2.37,41,-0.96,3.33
WV-057,"Mineral County",2.59,66,-0.09,2.68
WV-059,"Mingo County",3.78,70,0.04,3.74
WV-061,"Monongalia County",4.27,94,0.74,3.53
WV-063,"Monroe County",2.81,58,-0.42,3.23
WV-065,"Morgan County",3.72,106,1.08,2.64
WV-067,"Nicholas County",3.8,66,-0.12,3.92
WV-069,"Ohio County",3.54,89,0.44,3.1
WV-071,"Pendleton County",3.39,89,0.43,2.96
WV-073,"Pleasants County",3.79,84,0.31,3.48
WV-075,"Pocahontas County",3.82,58,-0.41,4.23
WV-077,"Preston County",4.66,86,0.5,4.16
WV-079,"Putnam County",3.69,75,0.1,3.59
WV-081,"Raleigh County",3.05,49,-0.78,3.83
WV-083,"Randolph County",4.34,64,-0.2,4.54
WV-085,"Ritchie County",3.76,74,0.08,3.68
WV-087,"Roane County",3.62,74,-0.02,3.64
WV-089,"Summers County",2.61,50,-0.73,3.34
WV-091,"Taylor County",4.17,91,0.53,3.64
WV-093,"Tucker County",4.95,96,0.71,4.24
WV-095,"Tyler County",4.05,86,0.51,3.54
WV-097,"Upshur County",4.3,76,0.08,4.22
WV-099,"Wayne County",3.7,71,-0.05,3.75
WV-101,"Webster County",4.28,63,-0.15,4.43
WV-103,"Wetzel County",4.44,94,0.8,3.64
WV-105,"Wirt County",3.74,80,0.19,3.55
WV-107,"Wood County",3.64,87,0.31,3.33
WV-109,"Wyoming County",3.62,64,-0.32,3.94
