January 2020 Georgia County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
GA-001,"Appling County",2.65,44,-1.07,3.72
GA-003,"Atkinson County",2.71,41,-1.24,3.95
GA-005,"Bacon County",2.33,37,-1.44,3.77
GA-007,"Baker County",2.96,39,-1.6,4.56
GA-009,"Baldwin County",4.89,85,0.6,4.29
GA-011,"Banks County",6.98,103,1.98,5
GA-013,"Barrow County",7.51,113,2.65,4.86
GA-015,"Bartow County",6.26,102,1.36,4.9
GA-017,"Ben Hill County",3.58,61,-0.55,4.13
GA-019,"Berrien County",3.03,41,-1.1,4.13
GA-021,"Bibb County",4.53,74,0.31,4.22
GA-023,"Bleckley County",4.29,72,-0.05,4.34
GA-025,"Brantley County",1.22,22,-2.16,3.38
GA-027,"Brooks County",2.65,36,-1.58,4.23
GA-029,"Bryan County",2.08,38,-1.32,3.4
GA-031,"Bulloch County",3.0,55,-0.64,3.64
GA-033,"Burke County",4.45,86,0.58,3.87
GA-035,"Butts County",7.92,119,3.36,4.56
GA-037,"Calhoun County",3.78,50,-0.94,4.72
GA-039,"Camden County",1.16,22,-2.02,3.18
GA-043,"Candler County",3.36,63,-0.4,3.76
GA-045,"Carroll County",8.53,118,3.4,5.13
GA-047,"Catoosa County",6.19,94,1.05,5.14
GA-049,"Charlton County",0.89,12,-2.39,3.28
GA-051,"Chatham County",1.79,35,-1.51,3.3
GA-053,"Chattahoochee County",7.47,115,2.91,4.56
GA-055,"Chattooga County",6.02,88,0.62,5.4
GA-057,"Cherokee County",6.68,103,1.53,5.15
GA-059,"Clarke County",7.56,115,2.82,4.74
GA-061,"Clay County",7.67,112,2.87,4.8
GA-063,"Clayton County",9.0,123,4.4,4.6
GA-065,"Clinch County",1.42,23,-2.23,3.65
GA-067,"Cobb County",8.05,115,3.22,4.83
GA-069,"Coffee County",2.93,42,-1.1,4.03
GA-071,"Colquitt County",3.13,40,-1.24,4.37
GA-073,"Columbia County",4.48,77,0.29,4.19
GA-075,"Cook County",3.04,45,-1.17,4.21
GA-077,"Coweta County",8.56,119,3.81,4.75
