February 2020 Alabama County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",10.85,123,5.58,5.27
AL-003,"Baldwin County",5.06,67,0.07,4.99
AL-005,"Barbour County",7.45,110,2.52,4.93
AL-007,"Bibb County",12.66,125,7.35,5.31
AL-009,"Blount County",11.63,124,6.41,5.22
AL-011,"Bullock County",7.91,112,2.8,5.11
AL-013,"Butler County",7.92,110,2.61,5.31
AL-015,"Calhoun County",11.82,125,6.64,5.18
AL-017,"Chambers County",11.23,124,5.96,5.27
AL-019,"Cherokee County",12.3,126,7.06,5.24
AL-021,"Chilton County",10.89,124,5.65,5.24
AL-023,"Choctaw County",9.87,120,4.46,5.41
AL-025,"Clarke County",8.25,111,2.88,5.37
AL-027,"Clay County",13.6,125,8.17,5.43
AL-029,"Cleburne County",11.18,124,5.97,5.21
AL-031,"Coffee County",6.62,95,1.47,5.15
AL-033,"Colbert County",12.7,124,7.83,4.87
AL-035,"Conecuh County",7.17,98,1.85,5.32
AL-037,"Coosa County",10.76,124,5.41,5.35
AL-039,"Covington County",7.48,109,2.25,5.23
AL-041,"Crenshaw County",7.27,105,2.03,5.24
AL-043,"Cullman County",12.65,125,7.42,5.23
AL-045,"Dale County",6.82,100,1.77,5.05
AL-047,"Dallas County",10.06,123,4.86,5.2
AL-049,"DeKalb County",12.32,126,7.09,5.23
AL-051,"Elmore County",9.96,122,4.66,5.3
AL-053,"Escambia County",6.18,83,0.87,5.31
AL-055,"Etowah County",13.07,125,7.81,5.26
AL-057,"Fayette County",13.12,126,7.87,5.25
AL-059,"Franklin County",14.18,126,9.18,5
AL-061,"Geneva County",8.13,112,2.97,5.16
AL-063,"Greene County",13.05,125,7.89,5.16
AL-065,"Hale County",12.48,125,7.26,5.22
AL-067,"Henry County",7.11,106,2.03,5.08
AL-069,"Houston County",6.78,100,1.77,5.01
AL-071,"Jackson County",13.12,126,8.06,5.06
AL-073,"Jefferson County",13.98,125,8.77,5.21
AL-075,"Lamar County",13.81,126,8.68,5.13
AL-077,"Lauderdale County",11.73,123,6.78,4.95
AL-079,"Lawrence County",12.17,125,7.27,4.9
AL-081,"Lee County",10.8,122,5.66,5.14
AL-083,"Limestone County",11.52,124,6.52,5
AL-085,"Lowndes County",9.3,120,4.16,5.14
AL-087,"Macon County",10.06,122,4.94,5.12
AL-089,"Madison County",12.0,124,7.0,5
AL-091,"Marengo County",10.07,120,4.84,5.23
AL-093,"Marion County",15.39,126,10.21,5.18
AL-095,"Marshall County",11.47,124,6.4,5.07
AL-097,"Mobile County",5.24,76,0.24,5
AL-099,"Monroe County",7.02,99,1.75,5.27
AL-101,"Montgomery County",9.02,115,3.9,5.12
AL-103,"Morgan County",11.23,123,6.22,5.01
AL-105,"Perry County",10.83,125,5.6,5.23
AL-107,"Pickens County",13.39,126,8.32,5.07
AL-109,"Pike County",6.4,97,1.19,5.21
AL-111,"Randolph County",11.1,123,5.75,5.35
AL-113,"Russell County",9.59,121,4.68,4.91
AL-115,"St. Clair County",12.81,125,7.49,5.32
AL-117,"Shelby County",12.76,125,7.55,5.21
AL-119,"Sumter County",11.24,123,5.97,5.27
AL-121,"Talladega County",13.62,125,8.41,5.21
AL-123,"Tallapoosa County",11.96,124,6.61,5.35
AL-125,"Tuscaloosa County",14.4,125,9.18,5.22
AL-127,"Walker County",13.71,125,8.41,5.3
AL-129,"Washington County",7.82,106,2.61,5.21
AL-131,"Wilcox County",8.78,116,3.5,5.28
AL-133,"Winston County",14.26,126,9.03,5.23
