February 2020 Illinois County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IL-001,"Adams County",1.25,49,-0.31,1.56
IL-003,"Alexander County",5.33,111,2.12,3.21
IL-005,"Bond County",2.45,76,0.31,2.14
IL-007,"Boone County",0.61,25,-0.66,1.27
IL-009,"Brown County",1.52,62,-0.1,1.62
IL-011,"Bureau County",0.82,31,-0.63,1.45
IL-013,"Calhoun County",1.78,63,-0.13,1.91
IL-015,"Carroll County",0.77,33,-0.48,1.25
IL-017,"Cass County",2.23,94,0.53,1.7
IL-019,"Champaign County",2.3,92,0.53,1.77
IL-021,"Christian County",2.59,97,0.73,1.86
IL-023,"Clark County",2.61,88,0.5,2.11
IL-025,"Clay County",3.09,93,0.77,2.32
IL-027,"Clinton County",2.48,73,0.22,2.26
IL-029,"Coles County",2.55,96,0.61,1.94
IL-031,"Cook County",0.78,26,-0.68,1.46
IL-033,"Crawford County",2.57,81,0.27,2.3
IL-035,"Cumberland County",2.7,94,0.64,2.06
IL-037,"DeKalb County",0.56,17,-0.8,1.36
IL-039,"De Witt County",2.51,103,0.81,1.7
IL-041,"Douglas County",2.32,87,0.46,1.86
IL-043,"DuPage County",0.74,26,-0.68,1.42
IL-045,"Edgar County",2.5,89,0.53,1.97
IL-047,"Edwards County",3.0,81,0.38,2.62
IL-049,"Effingham County",2.7,91,0.59,2.11
IL-051,"Fayette County",2.49,83,0.4,2.09
IL-053,"Ford County",2.08,87,0.4,1.68
IL-055,"Franklin County",3.81,98,1.09,2.72
IL-057,"Fulton County",1.25,51,-0.28,1.53
IL-059,"Gallatin County",4.13,97,0.99,3.14
IL-061,"Greene County",2.65,101,0.81,1.84
IL-063,"Grundy County",1.01,40,-0.46,1.47
IL-065,"Hamilton County",3.28,85,0.5,2.78
IL-067,"Hancock County",0.98,37,-0.47,1.45
IL-069,"Hardin County",5.5,108,2.13,3.37
IL-071,"Henderson County",0.56,19,-0.83,1.39
IL-073,"Henry County",0.61,19,-0.84,1.45
IL-075,"Iroquois County",1.88,83,0.2,1.68
IL-077,"Jackson County",3.55,97,0.83,2.72
IL-079,"Jasper County",3.03,94,0.8,2.23
IL-081,"Jefferson County",3.08,85,0.55,2.53
IL-083,"Jersey County",2.18,77,0.22,1.96
IL-085,"Jo Daviess County",0.96,51,-0.27,1.23
IL-087,"Johnson County",4.45,102,1.22,3.23
IL-089,"Kane County",0.65,23,-0.73,1.38
IL-091,"Kankakee County",1.67,74,0.01,1.66
IL-093,"Kendall County",0.79,27,-0.62,1.41
IL-095,"Knox County",0.94,34,-0.57,1.51
IL-097,"Lake County",0.51,15,-0.83,1.34
IL-099,"LaSalle County",0.91,33,-0.55,1.46
IL-101,"Lawrence County",3.45,94,0.95,2.5
IL-103,"Lee County",0.76,29,-0.61,1.37
IL-105,"Livingston County",1.67,77,0.13,1.54
IL-107,"Logan County",2.63,106,0.92,1.71
IL-109,"McDonough County",1.11,44,-0.35,1.46
IL-111,"McHenry County",0.58,20,-0.76,1.34
IL-113,"McLean County",1.96,87,0.33,1.63
IL-115,"Macon County",2.54,97,0.71,1.83
IL-117,"Macoupin County",2.3,86,0.37,1.93
IL-119,"Madison County",2.21,73,0.12,2.09
IL-121,"Marion County",2.76,80,0.44,2.32
IL-123,"Marshall County",1.12,49,-0.36,1.48
IL-125,"Mason County",1.86,81,0.27,1.59
IL-127,"Massac County",5.07,103,1.54,3.53
IL-129,"Menard County",2.58,105,0.87,1.71
IL-131,"Mercer County",0.49,17,-0.86,1.35
IL-133,"Monroe County",2.65,83,0.42,2.23
IL-135,"Montgomery County",2.59,92,0.62,1.97
IL-137,"Morgan County",2.58,100,0.79,1.79
IL-139,"Moultrie County",2.49,92,0.54,1.95
IL-141,"Ogle County",0.57,22,-0.7,1.27
IL-143,"Peoria County",1.42,65,-0.11,1.53
IL-145,"Perry County",3.12,87,0.59,2.53
IL-147,"Piatt County",2.31,90,0.53,1.78
IL-149,"Pike County",1.56,58,-0.18,1.74
IL-151,"Pope County",5.18,105,1.75,3.43
IL-153,"Pulaski County",4.79,103,1.49,3.3
IL-155,"Putnam County",0.91,36,-0.55,1.46
IL-157,"Randolph County",2.89,85,0.53,2.36
IL-159,"Richland County",3.19,91,0.77,2.42
IL-161,"Rock Island County",0.52,18,-0.88,1.4
IL-163,"St. Clair County",2.37,74,0.17,2.2
IL-165,"Saline County",4.53,104,1.47,3.06
IL-167,"Sangamon County",2.9,108,1.1,1.8
IL-169,"Schuyler County",1.42,58,-0.13,1.55
IL-171,"Scott County",2.5,100,0.74,1.76
IL-173,"Shelby County",2.54,93,0.51,2.03
IL-175,"Stark County",0.77,27,-0.74,1.51
IL-177,"Stephenson County",0.95,48,-0.25,1.2
IL-179,"Tazewell County",1.87,84,0.27,1.6
IL-181,"Union County",4.25,101,1.2,3.05
IL-183,"Vermilion County",2.43,95,0.62,1.81
IL-185,"Wabash County",3.3,87,0.63,2.67
IL-187,"Warren County",0.74,22,-0.7,1.44
IL-189,"Washington County",2.65,76,0.24,2.41
IL-191,"Wayne County",2.92,79,0.4,2.52
IL-193,"White County",3.08,80,0.2,2.88
IL-195,"Whiteside County",0.61,23,-0.74,1.35
IL-197,"Will County",1.26,48,-0.27,1.53
IL-199,"Williamson County",4.05,101,1.14,2.91
IL-201,"Winnebago County",0.73,32,-0.49,1.22
IL-203,"Woodford County",1.65,76,0.12,1.53
