February 2020 Indiana County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IN-001,"Adams County",2.57,94,0.74,1.83
IN-003,"Allen County",1.95,77,0.09,1.86
IN-005,"Bartholomew County",3.02,83,0.49,2.53
IN-007,"Benton County",1.89,81,0.13,1.76
IN-009,"Blackford County",3.21,109,1.24,1.97
IN-011,"Boone County",2.94,99,0.95,1.99
IN-013,"Brown County",2.98,83,0.44,2.54
IN-015,"Carroll County",2.03,76,0.13,1.9
IN-017,"Cass County",1.89,69,0.01,1.88
IN-019,"Clark County",3.78,92,0.73,3.05
IN-021,"Clay County",3.17,99,0.92,2.25
IN-023,"Clinton County",2.75,98,0.8,1.95
IN-025,"Crawford County",4.3,97,1.2,3.1
IN-027,"Daviess County",3.29,88,0.7,2.59
IN-029,"Dearborn County",3.16,85,0.54,2.62
IN-031,"Decatur County",3.0,82,0.45,2.55
IN-033,"DeKalb County",1.72,65,-0.09,1.81
IN-035,"Delaware County",2.95,104,0.89,2.06
IN-037,"Dubois County",4.23,99,1.36,2.87
IN-039,"Elkhart County",1.33,50,-0.35,1.68
IN-041,"Fayette County",2.95,90,0.63,2.32
IN-043,"Floyd County",3.98,94,0.81,3.17
IN-045,"Fountain County",2.43,90,0.5,1.93
IN-047,"Franklin County",2.77,79,0.33,2.44
IN-049,"Fulton County",1.64,60,-0.13,1.77
IN-051,"Gibson County",3.21,86,0.4,2.81
IN-053,"Grant County",2.85,102,0.94,1.91
IN-055,"Greene County",3.36,96,0.84,2.52
IN-057,"Hamilton County",3.51,115,1.53,1.98
IN-059,"Hancock County",3.74,112,1.63,2.11
IN-061,"Harrison County",4.22,95,1.02,3.2
IN-063,"Hendricks County",3.26,102,1.09,2.17
IN-065,"Henry County",3.47,108,1.28,2.19
IN-067,"Howard County",2.56,96,0.65,1.91
IN-069,"Huntington County",2.19,80,0.26,1.93
IN-071,"Jackson County",3.28,87,0.56,2.72
IN-073,"Jasper County",1.82,81,0.07,1.75
IN-075,"Jay County",3.07,109,1.08,1.99
IN-077,"Jefferson County",3.65,92,0.77,2.88
IN-079,"Jennings County",3.35,85,0.62,2.73
IN-081,"Johnson County",3.08,96,0.76,2.32
IN-083,"Knox County",3.24,90,0.73,2.51
IN-085,"Kosciusko County",1.5,56,-0.27,1.77
IN-087,"LaGrange County",1.4,52,-0.31,1.71
IN-089,"Lake County",1.64,75,0.02,1.62
IN-091,"LaPorte County",1.37,47,-0.37,1.74
IN-093,"Lawrence County",3.54,90,0.81,2.73
IN-095,"Madison County",3.57,113,1.58,1.99
IN-097,"Marion County",3.27,105,1.15,2.12
IN-099,"Marshall County",1.68,64,-0.06,1.74
IN-101,"Martin County",3.87,99,1.16,2.71
IN-103,"Miami County",2.05,83,0.21,1.84
IN-105,"Monroe County",3.0,81,0.41,2.59
IN-107,"Montgomery County",2.91,99,0.94,1.97
IN-109,"Morgan County",3.25,98,0.88,2.37
IN-111,"Newton County",1.92,84,0.19,1.73
IN-113,"Noble County",1.49,50,-0.33,1.82
IN-115,"Ohio County",3.59,90,0.84,2.75
IN-117,"Orange County",4.2,97,1.3,2.9
IN-119,"Owen County",3.27,96,0.83,2.44
IN-121,"Parke County",2.14,75,0.14,2
IN-123,"Perry County",4.49,102,1.26,3.23
IN-125,"Pike County",3.32,86,0.58,2.74
IN-127,"Porter County",1.48,62,-0.18,1.66
IN-129,"Posey County",3.66,91,0.63,3.03
IN-131,"Pulaski County",1.9,81,0.13,1.77
IN-133,"Putnam County",3.14,97,0.95,2.19
IN-135,"Randolph County",3.04,101,0.92,2.12
IN-137,"Ripley County",3.25,83,0.54,2.71
IN-139,"Rush County",3.11,100,0.8,2.31
IN-141,"St. Joseph County",1.57,58,-0.21,1.78
IN-143,"Scott County",3.6,93,0.75,2.85
IN-145,"Shelby County",3.11,97,0.79,2.32
IN-147,"Spencer County",4.38,101,1.31,3.07
IN-149,"Starke County",1.75,76,-0.02,1.77
IN-151,"Steuben County",1.5,51,-0.26,1.76
IN-153,"Sullivan County",2.83,87,0.54,2.29
IN-155,"Switzerland County",3.74,90,0.89,2.85
IN-157,"Tippecanoe County",2.34,90,0.44,1.9
IN-159,"Tipton County",3.37,113,1.47,1.9
IN-161,"Union County",2.93,89,0.59,2.34
IN-163,"Vanderburgh County",3.91,92,0.85,3.06
IN-165,"Vermillion County",2.39,88,0.44,1.95
IN-167,"Vigo County",2.68,93,0.55,2.13
IN-169,"Wabash County",2.09,84,0.25,1.84
IN-171,"Warren County",2.15,89,0.32,1.83
IN-173,"Warrick County",4.05,96,1.11,2.94
IN-175,"Washington County",3.77,93,0.81,2.96
IN-177,"Wayne County",3.03,98,0.81,2.22
IN-179,"Wells County",2.59,97,0.7,1.89
IN-181,"White County",1.9,77,0.12,1.78
IN-183,"Whitley County",1.63,54,-0.26,1.89
