February 2020 Iowa County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IA-001,"Adair County",0.16,6,-0.89,1.05
IA-003,"Adams County",0.09,3,-0.93,1.02
IA-005,"Allamakee County",0.98,65,-0.01,0.99
IA-007,"Appanoose County",0.38,10,-0.83,1.21
IA-009,"Audubon County",0.39,23,-0.66,1.05
IA-011,"Benton County",0.51,26,-0.54,1.05
IA-013,"Black Hawk County",0.48,28,-0.56,1.04
IA-015,"Boone County",0.51,37,-0.43,0.94
IA-017,"Bremer County",0.58,37,-0.44,1.02
IA-019,"Buchanan County",0.64,43,-0.37,1.01
IA-021,"Buena Vista County",0.35,26,-0.47,0.82
IA-023,"Butler County",0.62,39,-0.39,1.01
IA-025,"Calhoun County",0.64,46,-0.3,0.94
IA-027,"Carroll County",0.58,39,-0.38,0.96
IA-029,"Cass County",0.17,9,-0.79,0.96
IA-031,"Cedar County",0.42,17,-0.88,1.3
IA-033,"Cerro Gordo County",0.74,54,-0.15,0.89
IA-035,"Cherokee County",0.22,17,-0.6,0.82
IA-037,"Chickasaw County",0.63,43,-0.29,0.92
IA-039,"Clarke County",0.16,3,-0.96,1.12
IA-041,"Clay County",0.34,25,-0.53,0.87
IA-043,"Clayton County",0.77,48,-0.29,1.06
IA-045,"Clinton County",0.58,28,-0.69,1.27
IA-047,"Crawford County",0.41,29,-0.48,0.89
IA-049,"Dallas County",0.33,15,-0.72,1.05
IA-051,"Davis County",0.41,11,-0.82,1.23
IA-053,"Decatur County",0.21,7,-0.9,1.11
IA-055,"Delaware County",0.71,45,-0.32,1.03
IA-057,"Des Moines County",0.48,17,-0.85,1.33
IA-059,"Dickinson County",0.45,36,-0.37,0.82
IA-061,"Dubuque County",0.8,43,-0.33,1.13
IA-063,"Emmet County",0.58,43,-0.34,0.92
IA-065,"Fayette County",0.63,40,-0.43,1.06
IA-067,"Floyd County",0.76,52,-0.15,0.91
IA-069,"Franklin County",0.63,45,-0.31,0.94
IA-071,"Fremont County",0.03,1,-0.97,1
IA-073,"Greene County",0.58,38,-0.37,0.95
IA-075,"Grundy County",0.53,35,-0.52,1.05
IA-077,"Guthrie County",0.43,29,-0.64,1.07
IA-079,"Hamilton County",0.57,41,-0.34,0.91
IA-081,"Hancock County",0.77,61,-0.08,0.85
IA-083,"Hardin County",0.49,30,-0.51,1
IA-085,"Harrison County",0.15,7,-0.75,0.9
IA-087,"Henry County",0.38,13,-0.88,1.26
IA-089,"Howard County",0.69,49,-0.24,0.93
IA-091,"Humboldt County",0.66,54,-0.17,0.83
IA-093,"Ida County",0.28,21,-0.58,0.86
IA-095,"Iowa County",0.28,11,-0.84,1.12
IA-097,"Jackson County",0.85,43,-0.34,1.19
IA-099,"Jasper County",0.26,11,-0.81,1.07
IA-101,"Jefferson County",0.31,9,-0.91,1.22
IA-103,"Johnson County",0.36,16,-0.81,1.17
IA-105,"Jones County",0.59,31,-0.56,1.15
IA-107,"Keokuk County",0.22,7,-0.94,1.16
IA-109,"Kossuth County",0.64,48,-0.2,0.84
IA-111,"Lee County",0.6,21,-0.75,1.35
IA-113,"Linn County",0.48,30,-0.59,1.07
IA-115,"Louisa County",0.33,10,-0.89,1.22
IA-117,"Lucas County",0.2,3,-0.9,1.1
IA-119,"Lyon County",0.14,11,-0.64,0.78
IA-121,"Madison County",0.12,4,-0.98,1.1
IA-123,"Mahaska County",0.28,9,-0.84,1.12
IA-125,"Marion County",0.2,6,-0.87,1.07
IA-127,"Marshall County",0.47,28,-0.59,1.06
IA-129,"Mills County",0.04,2,-0.94,0.98
IA-131,"Mitchell County",0.9,66,-0.0,0.9
IA-133,"Monona County",0.18,10,-0.71,0.89
IA-135,"Monroe County",0.27,8,-0.87,1.14
IA-137,"Montgomery County",0.07,1,-0.93,1
IA-139,"Muscatine County",0.39,13,-0.88,1.27
IA-141,"O'Brien County",0.3,23,-0.49,0.79
IA-143,"Osceola County",0.31,24,-0.44,0.75
IA-145,"Page County",0.04,1,-1.0,1.04
IA-147,"Palo Alto County",0.49,32,-0.42,0.91
IA-149,"Plymouth County",0.19,12,-0.63,0.82
IA-151,"Pocahontas County",0.55,40,-0.28,0.83
IA-153,"Polk County",0.26,11,-0.78,1.04
IA-155,"Pottawattamie County",0.1,4,-0.84,0.94
IA-157,"Poweshiek County",0.31,12,-0.8,1.11
IA-159,"Ringgold County",0.16,6,-0.94,1.1
IA-161,"Sac County",0.5,36,-0.39,0.89
IA-163,"Scott County",0.47,16,-0.94,1.41
IA-165,"Shelby County",0.29,16,-0.65,0.94
IA-167,"Sioux County",0.13,10,-0.65,0.78
IA-169,"Story County",0.5,35,-0.46,0.96
IA-171,"Tama County",0.51,28,-0.6,1.11
IA-173,"Taylor County",0.09,2,-0.97,1.06
IA-175,"Union County",0.12,4,-0.98,1.1
IA-177,"Van Buren County",0.44,17,-0.78,1.22
IA-179,"Wapello County",0.31,9,-0.88,1.19
IA-181,"Warren County",0.15,5,-0.95,1.1
IA-183,"Washington County",0.26,6,-0.97,1.23
IA-185,"Wayne County",0.31,10,-0.86,1.17
IA-187,"Webster County",0.61,46,-0.28,0.89
IA-189,"Winnebago County",0.84,73,-0.03,0.87
IA-191,"Winneshiek County",0.77,54,-0.23,1
IA-193,"Woodbury County",0.22,13,-0.62,0.84
IA-195,"Worth County",0.93,77,0.03,0.9
IA-197,"Wright County",0.73,60,-0.14,0.87
