February 2020 Kansas County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
KS-001,"Allen County",2.35,104,0.9,1.45
KS-003,"Anderson County",1.99,97,0.65,1.34
KS-005,"Atchison County",0.61,37,-0.48,1.09
KS-007,"Barber County",1.46,97,0.54,0.92
KS-009,"Barton County",1.93,113,1.08,0.85
KS-011,"Bourbon County",2.76,106,1.09,1.67
KS-013,"Brown County",0.38,20,-0.69,1.07
KS-015,"Butler County",2.4,114,1.26,1.14
KS-017,"Chase County",2.07,113,1.02,1.05
KS-019,"Chautauqua County",2.67,113,1.27,1.4
KS-021,"Cherokee County",2.98,111,1.2,1.78
KS-023,"Cheyenne County",0.14,24,-0.34,0.48
KS-025,"Clark County",1.03,88,0.27,0.76
KS-027,"Clay County",0.35,24,-0.58,0.93
KS-029,"Cloud County",0.24,24,-0.64,0.88
KS-031,"Coffey County",1.59,91,0.36,1.23
KS-033,"Comanche County",1.77,108,0.89,0.88
KS-035,"Cowley County",1.99,105,0.77,1.22
KS-037,"Crawford County",3.27,115,1.56,1.71
KS-039,"Decatur County",0.57,74,-0.01,0.58
KS-041,"Dickinson County",1.04,74,0.09,0.95
KS-043,"Doniphan County",0.53,31,-0.61,1.14
KS-045,"Douglas County",1.01,59,-0.16,1.17
KS-047,"Edwards County",1.39,103,0.57,0.82
KS-049,"Elk County",2.27,108,0.96,1.31
KS-051,"Ellis County",1.32,103,0.58,0.74
KS-053,"Ellsworth County",1.76,111,0.85,0.91
KS-055,"Finney County",0.92,98,0.33,0.59
KS-057,"Ford County",1.07,93,0.34,0.73
KS-059,"Franklin County",1.51,81,0.25,1.26
KS-061,"Geary County",0.77,50,-0.24,1.01
KS-063,"Gove County",1.43,118,0.87,0.56
KS-065,"Graham County",0.83,86,0.15,0.68
KS-067,"Grant County",0.63,91,0.09,0.54
KS-069,"Gray County",0.97,95,0.34,0.63
KS-071,"Greeley County",1.03,115,0.58,0.45
KS-073,"Greenwood County",2.19,109,0.96,1.23
KS-075,"Hamilton County",0.61,94,0.16,0.45
KS-077,"Harper County",1.69,97,0.62,1.07
KS-079,"Harvey County",2.41,120,1.35,1.06
KS-081,"Haskell County",0.72,86,0.1,0.62
KS-083,"Hodgeman County",1.23,108,0.53,0.7
KS-085,"Jackson County",0.59,38,-0.42,1.01
KS-087,"Jefferson County",0.68,44,-0.39,1.07
KS-089,"Jewell County",0.09,14,-0.73,0.82
KS-091,"Johnson County",0.84,39,-0.42,1.26
KS-093,"Kearny County",0.84,99,0.31,0.53
KS-095,"Kingman County",1.93,107,0.92,1.01
KS-097,"Kiowa County",1.43,100,0.54,0.89
KS-099,"Labette County",3.18,114,1.56,1.62
KS-101,"Lane County",1.75,120,1.15,0.6
KS-103,"Leavenworth County",0.76,40,-0.38,1.14
KS-105,"Lincoln County",0.86,76,0.05,0.81
KS-107,"Linn County",2.09,95,0.59,1.5
KS-109,"Logan County",1.65,124,1.17,0.48
KS-111,"Lyon County",1.59,98,0.49,1.1
KS-113,"McPherson County",2.23,114,1.21,1.02
KS-115,"Marion County",2.08,117,1.04,1.04
KS-117,"Marshall County",0.14,11,-0.81,0.95
KS-119,"Meade County",0.69,79,0.01,0.68
KS-121,"Miami County",1.55,73,0.17,1.38
KS-123,"Mitchell County",0.2,24,-0.58,0.78
KS-125,"Montgomery County",3.16,114,1.68,1.48
KS-127,"Morris County",1.35,89,0.34,1.01
KS-129,"Morton County",0.57,89,0.09,0.48
KS-131,"Nemaha County",0.3,19,-0.72,1.02
KS-133,"Neosho County",2.96,113,1.4,1.56
KS-135,"Ness County",1.86,120,1.18,0.68
KS-137,"Norton County",0.65,76,0.03,0.62
KS-139,"Osage County",1.13,63,-0.01,1.14
KS-141,"Osborne County",0.56,53,-0.23,0.79
KS-143,"Ottawa County",0.58,51,-0.26,0.84
KS-145,"Pawnee County",1.5,108,0.71,0.79
KS-147,"Phillips County",0.55,62,-0.14,0.69
KS-149,"Pottawatomie County",0.49,32,-0.51,1
KS-151,"Pratt County",1.58,100,0.63,0.95
KS-153,"Rawlins County",0.29,46,-0.25,0.54
KS-155,"Reno County",2.28,115,1.29,0.99
KS-157,"Republic County",0.06,8,-0.84,0.9
KS-159,"Rice County",2.45,119,1.49,0.96
KS-161,"Riley County",0.44,29,-0.55,0.99
KS-163,"Rooks County",0.76,77,-0.01,0.77
KS-165,"Rush County",1.79,116,1.04,0.75
KS-167,"Russell County",1.12,94,0.31,0.81
KS-169,"Saline County",1.51,103,0.58,0.93
KS-171,"Scott County",1.48,119,0.92,0.56
KS-173,"Sedgwick County",2.06,110,1.0,1.06
KS-175,"Seward County",0.57,79,-0.05,0.62
KS-177,"Shawnee County",0.71,47,-0.35,1.06
KS-179,"Sheridan County",0.97,102,0.37,0.6
KS-181,"Sherman County",0.48,81,0.01,0.47
KS-183,"Smith County",0.23,26,-0.49,0.72
KS-185,"Stafford County",1.76,109,0.88,0.88
KS-187,"Stanton County",0.54,89,0.07,0.47
KS-189,"Stevens County",0.69,93,0.13,0.56
KS-191,"Sumner County",1.85,98,0.72,1.13
KS-193,"Thomas County",0.98,107,0.44,0.54
KS-195,"Trego County",1.39,110,0.73,0.66
KS-197,"Wabaunsee County",0.98,59,-0.07,1.05
KS-199,"Wallace County",0.94,109,0.49,0.45
KS-201,"Washington County",0.05,6,-0.88,0.93
KS-203,"Wichita County",1.32,117,0.81,0.51
KS-205,"Wilson County",2.59,114,1.18,1.41
KS-207,"Woodson County",2.18,106,0.86,1.32
KS-209,"Wyandotte County",0.64,27,-0.56,1.2
