February 2020 Arizona County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AZ-001,"Apache County",1.3,95,0.31,0.99
AZ-003,"Cochise County",1.1,85,0.15,0.95
AZ-005,"Coconino County",0.57,34,-0.67,1.24
AZ-007,"Gila County",2.36,86,0.26,2.1
AZ-009,"Graham County",1.49,86,0.23,1.26
AZ-011,"Greenlee County",1.75,93,0.5,1.25
AZ-012,"La Paz County",0.65,85,-0.07,0.72
AZ-013,"Maricopa County",1.56,104,0.57,0.99
AZ-015,"Mohave County",0.81,59,-0.4,1.21
AZ-017,"Navajo County",1.23,93,0.27,0.96
AZ-019,"Pima County",0.95,81,-0.02,0.97
AZ-021,"Pinal County",1.06,74,-0.13,1.19
AZ-023,"Santa Cruz County",1.37,84,0.12,1.25
AZ-025,"Yavapai County",1.28,65,-0.46,1.74
AZ-027,"Yuma County",1.1,107,0.54,0.56
