February 2020 Michigan County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MI-001,"Alcona County",1.0,38,-0.45,1.45
MI-003,"Alger County",1.26,38,-0.37,1.63
MI-005,"Allegan County",0.98,22,-0.67,1.65
MI-007,"Alpena County",1.15,47,-0.29,1.44
MI-009,"Antrim County",1.27,51,-0.18,1.45
MI-011,"Arenac County",0.96,40,-0.38,1.34
MI-013,"Baraga County",1.02,39,-0.47,1.49
MI-015,"Barry County",1.03,32,-0.56,1.59
MI-017,"Bay County",0.86,35,-0.52,1.38
MI-019,"Benzie County",0.84,18,-0.81,1.65
MI-021,"Berrien County",1.4,39,-0.36,1.76
MI-023,"Branch County",1.32,48,-0.33,1.65
MI-025,"Calhoun County",0.98,29,-0.7,1.68
MI-027,"Cass County",1.76,73,0.01,1.75
MI-029,"Charlevoix County",1.31,54,-0.09,1.4
MI-031,"Cheboygan County",1.05,48,-0.27,1.32
MI-033,"Chippewa County",1.62,63,-0.06,1.68
MI-035,"Clare County",0.98,37,-0.38,1.36
MI-037,"Clinton County",1.12,45,-0.37,1.49
MI-039,"Crawford County",1.28,59,-0.12,1.4
MI-041,"Delta County",0.83,30,-0.53,1.36
MI-043,"Dickinson County",0.53,21,-0.61,1.14
MI-045,"Eaton County",1.36,53,-0.17,1.53
MI-047,"Emmet County",1.16,54,-0.23,1.39
MI-049,"Genesee County",0.98,35,-0.48,1.46
MI-051,"Gladwin County",0.9,36,-0.4,1.3
MI-053,"Gogebic County",0.55,12,-0.73,1.28
MI-055,"Grand Traverse County",0.84,19,-0.67,1.51
MI-057,"Gratiot County",0.86,31,-0.59,1.45
MI-059,"Hillsdale County",1.33,46,-0.45,1.78
MI-061,"Houghton County",0.81,25,-0.59,1.4
MI-063,"Huron County",1.23,47,-0.36,1.59
MI-065,"Ingham County",1.34,58,-0.16,1.5
MI-067,"Ionia County",1.0,34,-0.52,1.52
MI-069,"Iosco County",0.99,38,-0.44,1.43
MI-071,"Iron County",0.48,19,-0.69,1.17
MI-073,"Isabella County",0.89,32,-0.52,1.41
MI-075,"Jackson County",1.12,40,-0.52,1.64
MI-077,"Kalamazoo County",0.92,18,-0.77,1.69
MI-079,"Kalkaska County",1.16,42,-0.29,1.45
MI-081,"Kent County",0.94,25,-0.66,1.6
MI-083,"Keweenaw County",0.91,32,-0.52,1.43
MI-085,"Lake County",1.01,27,-0.64,1.65
MI-087,"Lapeer County",0.98,35,-0.51,1.49
MI-089,"Leelanau County",0.96,28,-0.55,1.51
MI-091,"Lenawee County",1.12,39,-0.56,1.68
MI-093,"Livingston County",0.99,41,-0.53,1.52
MI-095,"Luce County",1.63,62,-0.12,1.75
MI-097,"Mackinac County",1.29,55,-0.24,1.53
MI-099,"Macomb County",0.98,32,-0.69,1.67
MI-101,"Manistee County",0.89,20,-0.77,1.66
MI-103,"Marquette County",0.94,27,-0.52,1.46
MI-105,"Mason County",0.92,24,-0.69,1.61
MI-107,"Mecosta County",0.97,31,-0.61,1.58
MI-109,"Menominee County",0.76,37,-0.42,1.18
MI-111,"Midland County",0.81,30,-0.58,1.39
MI-113,"Missaukee County",1.07,44,-0.32,1.39
MI-115,"Monroe County",1.02,31,-0.64,1.66
MI-117,"Montcalm County",0.83,25,-0.72,1.55
MI-119,"Montmorency County",0.99,41,-0.32,1.31
MI-121,"Muskegon County",0.86,23,-0.72,1.58
MI-123,"Newaygo County",0.95,23,-0.7,1.65
MI-125,"Oakland County",0.92,28,-0.65,1.57
MI-127,"Oceana County",0.9,22,-0.69,1.59
MI-129,"Ogemaw County",0.86,29,-0.5,1.36
MI-131,"Ontonagon County",0.66,13,-0.67,1.33
MI-133,"Osceola County",1.05,35,-0.46,1.51
MI-135,"Oscoda County",1.04,46,-0.33,1.37
MI-137,"Otsego County",1.18,54,-0.18,1.36
MI-139,"Ottawa County",0.88,21,-0.72,1.6
MI-141,"Presque Isle County",1.14,52,-0.25,1.39
MI-143,"Roscommon County",1.0,41,-0.35,1.35
MI-145,"Saginaw County",0.86,32,-0.57,1.43
MI-147,"St. Clair County",1.07,28,-0.64,1.71
MI-149,"St. Joseph County",1.63,71,-0.02,1.65
MI-151,"Sanilac County",1.13,41,-0.5,1.63
MI-153,"Schoolcraft County",1.17,38,-0.4,1.57
MI-155,"Shiawassee County",1.03,43,-0.42,1.45
MI-157,"Tuscola County",1.0,45,-0.42,1.42
MI-159,"Van Buren County",1.31,35,-0.43,1.74
MI-161,"Washtenaw County",0.93,34,-0.58,1.51
MI-163,"Wayne County",0.92,26,-0.75,1.67
MI-165,"Wexford County",0.99,28,-0.61,1.6
