February 2020 Minnesota County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MN-001,"Aitkin County",0.11,4,-0.57,0.68
MN-003,"Anoka County",0.32,21,-0.54,0.86
MN-005,"Becker County",0.16,12,-0.46,0.62
MN-007,"Beltrami County",0.09,4,-0.47,0.56
MN-009,"Benton County",0.14,12,-0.55,0.69
MN-011,"Big Stone County",0.11,8,-0.5,0.61
MN-013,"Blue Earth County",1.03,94,0.26,0.77
MN-015,"Brown County",1.02,94,0.22,0.8
MN-017,"Carlton County",0.12,3,-0.62,0.74
MN-019,"Carver County",0.52,37,-0.31,0.83
MN-021,"Cass County",0.13,8,-0.47,0.6
MN-023,"Chippewa County",0.33,31,-0.37,0.7
MN-025,"Chisago County",0.33,23,-0.48,0.81
MN-027,"Clay County",0.09,1,-0.47,0.56
MN-029,"Clearwater County",0.1,6,-0.48,0.58
MN-031,"Cook County",0.74,48,-0.3,1.04
MN-033,"Cottonwood County",0.86,90,0.15,0.71
MN-035,"Crow Wing County",0.05,4,-0.53,0.58
MN-037,"Dakota County",0.4,27,-0.42,0.82
MN-039,"Dodge County",0.96,85,0.17,0.79
MN-041,"Douglas County",0.05,1,-0.6,0.65
MN-043,"Faribault County",0.88,81,0.08,0.8
MN-045,"Fillmore County",0.66,42,-0.29,0.95
MN-047,"Freeborn County",1.08,92,0.21,0.87
MN-049,"Goodhue County",0.64,54,-0.12,0.76
MN-051,"Grant County",0.08,2,-0.55,0.63
MN-053,"Hennepin County",0.38,27,-0.52,0.9
MN-055,"Houston County",0.82,54,-0.17,0.99
MN-057,"Hubbard County",0.13,9,-0.51,0.64
MN-059,"Isanti County",0.26,19,-0.53,0.79
MN-061,"Itasca County",0.24,21,-0.38,0.62
MN-063,"Jackson County",0.59,55,-0.14,0.73
MN-065,"Kanabec County",0.16,9,-0.56,0.72
MN-067,"Kandiyohi County",0.32,35,-0.34,0.66
MN-069,"Kittson County",0.13,7,-0.46,0.59
MN-071,"Koochiching County",0.18,6,-0.55,0.73
MN-073,"Lac qui Parle County",0.24,21,-0.46,0.7
MN-075,"Lake County",0.49,34,-0.3,0.79
MN-077,"Lake of the Woods County",0.26,21,-0.36,0.62
MN-079,"Le Sueur County",0.97,89,0.23,0.74
MN-081,"Lincoln County",0.67,73,-0.02,0.69
MN-083,"Lyon County",0.73,82,0.04,0.69
MN-085,"McLeod County",0.59,51,-0.18,0.77
MN-087,"Mahnomen County",0.14,9,-0.43,0.57
MN-089,"Marshall County",0.1,5,-0.42,0.52
MN-091,"Martin County",0.77,72,-0.02,0.79
MN-093,"Meeker County",0.32,26,-0.39,0.71
MN-095,"Mille Lacs County",0.14,8,-0.56,0.7
MN-097,"Morrison County",0.08,6,-0.55,0.63
MN-099,"Mower County",0.77,58,-0.16,0.93
MN-101,"Murray County",0.57,67,-0.12,0.69
MN-103,"Nicollet County",0.96,89,0.15,0.81
MN-105,"Nobles County",0.4,34,-0.33,0.73
MN-107,"Norman County",0.1,6,-0.42,0.52
MN-109,"Olmsted County",0.97,76,0.13,0.84
MN-111,"Otter Tail County",0.07,1,-0.56,0.63
MN-113,"Pennington County",0.07,3,-0.44,0.51
MN-115,"Pine County",0.14,5,-0.62,0.76
MN-117,"Pipestone County",0.43,47,-0.25,0.68
MN-119,"Polk County",0.11,8,-0.41,0.52
MN-121,"Pope County",0.11,3,-0.51,0.62
MN-123,"Ramsey County",0.35,26,-0.52,0.87
MN-125,"Red Lake County",0.08,4,-0.43,0.51
MN-127,"Redwood County",0.72,78,-0.02,0.74
MN-129,"Renville County",0.63,63,-0.1,0.73
MN-131,"Rice County",0.91,81,0.15,0.76
MN-133,"Rock County",0.15,11,-0.59,0.74
MN-135,"Roseau County",0.19,13,-0.35,0.54
MN-137,"St. Louis County",0.32,19,-0.39,0.71
MN-139,"Scott County",0.66,53,-0.15,0.81
MN-141,"Sherburne County",0.23,16,-0.56,0.79
MN-143,"Sibley County",0.84,73,0.03,0.81
MN-145,"Stearns County",0.1,4,-0.55,0.65
MN-147,"Steele County",1.04,90,0.27,0.77
MN-149,"Stevens County",0.15,6,-0.45,0.6
MN-151,"Swift County",0.18,12,-0.46,0.64
MN-153,"Todd County",0.06,2,-0.55,0.61
MN-155,"Traverse County",0.07,3,-0.55,0.62
MN-157,"Wabasha County",0.74,59,-0.07,0.81
MN-159,"Wadena County",0.08,4,-0.57,0.65
MN-161,"Waseca County",1.0,91,0.24,0.76
MN-163,"Washington County",0.33,23,-0.52,0.85
MN-165,"Watonwan County",1.22,106,0.46,0.76
MN-167,"Wilkin County",0.05,1,-0.57,0.62
MN-169,"Winona County",0.84,58,-0.09,0.93
MN-171,"Wright County",0.34,25,-0.48,0.82
MN-173,"Yellow Medicine County",0.52,51,-0.19,0.71
