February 2020 Mississippi County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MS-001,"Adams County",6.41,90,1.39,5.02
MS-003,"Alcorn County",7.78,109,3.04,4.74
MS-005,"Amite County",5.84,76,0.55,5.29
MS-007,"Attala County",13.85,126,8.76,5.09
MS-009,"Benton County",7.28,105,2.63,4.65
MS-011,"Bolivar County",8.07,111,3.37,4.7
MS-013,"Calhoun County",10.3,122,5.45,4.85
MS-015,"Carroll County",13.75,125,8.85,4.9
MS-017,"Chickasaw County",12.04,126,7.07,4.97
MS-019,"Choctaw County",14.28,126,9.2,5.08
MS-021,"Claiborne County",9.38,117,4.15,5.23
MS-023,"Clarke County",9.47,117,4.01,5.46
MS-025,"Clay County",13.56,126,8.69,4.87
MS-027,"Coahoma County",6.85,106,2.28,4.57
MS-029,"Copiah County",9.45,118,4.36,5.09
MS-031,"Covington County",6.89,92,1.56,5.33
MS-033,"DeSoto County",5.9,95,1.47,4.43
MS-035,"Forrest County",5.05,69,-0.17,5.22
MS-037,"Franklin County",6.62,89,1.48,5.14
MS-039,"George County",5.65,85,0.56,5.09
MS-041,"Greene County",6.67,95,1.48,5.19
MS-043,"Grenada County",12.02,124,7.3,4.72
MS-045,"Hancock County",5.04,75,0.16,4.88
MS-047,"Harrison County",5.14,73,0.29,4.85
MS-049,"Hinds County",10.96,125,5.94,5.02
MS-051,"Holmes County",12.12,126,7.23,4.89
MS-053,"Humphreys County",10.28,121,5.45,4.83
MS-055,"Issaquena County",11.23,123,6.25,4.98
MS-057,"Itawamba County",13.55,126,8.56,4.99
MS-059,"Jackson County",4.92,67,0.07,4.85
MS-061,"Jasper County",8.98,115,3.57,5.41
MS-063,"Jefferson County",7.52,103,2.32,5.2
MS-065,"Jefferson Davis County",7.91,107,2.62,5.29
MS-067,"Jones County",6.81,92,1.38,5.43
MS-069,"Kemper County",10.87,123,5.67,5.2
MS-071,"Lafayette County",9.61,119,4.98,4.63
MS-073,"Lamar County",5.49,75,0.15,5.34
MS-075,"Lauderdale County",9.81,121,4.43,5.38
MS-077,"Lawrence County",8.33,109,3.23,5.1
MS-079,"Leake County",11.75,124,6.59,5.16
MS-081,"Lee County",11.55,123,6.69,4.86
MS-083,"Leflore County",11.24,124,6.55,4.69
MS-085,"Lincoln County",7.61,103,2.52,5.09
MS-087,"Lowndes County",12.15,126,7.21,4.94
MS-089,"Madison County",11.1,124,6.12,4.98
MS-091,"Marion County",7.53,95,2.02,5.51
MS-093,"Marshall County",7.16,108,2.59,4.57
MS-095,"Monroe County",15.28,126,10.16,5.12
MS-097,"Montgomery County",14.64,126,9.67,4.97
MS-099,"Neshoba County",11.99,124,6.73,5.26
MS-101,"Newton County",10.88,122,5.56,5.32
MS-103,"Noxubee County",12.56,126,7.55,5.01
MS-105,"Oktibbeha County",13.33,126,8.5,4.83
MS-107,"Panola County",8.07,110,3.41,4.66
MS-109,"Pearl River County",4.74,63,-0.4,5.14
MS-111,"Perry County",5.61,84,0.4,5.21
MS-113,"Pike County",6.82,91,1.38,5.44
MS-115,"Pontotoc County",10.54,123,5.78,4.76
MS-117,"Prentiss County",10.33,120,5.47,4.86
MS-119,"Quitman County",7.55,108,2.89,4.66
MS-121,"Rankin County",10.98,123,5.91,5.07
MS-123,"Scott County",11.27,123,6.13,5.14
MS-125,"Sharkey County",10.87,123,5.95,4.92
MS-127,"Simpson County",10.2,121,5.03,5.17
MS-129,"Smith County",9.53,117,4.24,5.29
MS-131,"Stone County",5.19,74,0.09,5.1
MS-133,"Sunflower County",9.5,117,4.77,4.73
MS-135,"Tallahatchie County",9.41,119,4.7,4.71
MS-137,"Tate County",6.63,101,2.07,4.56
MS-139,"Tippah County",7.98,112,3.27,4.71
MS-141,"Tishomingo County",11.11,122,6.24,4.87
MS-143,"Tunica County",6.35,100,1.9,4.45
MS-145,"Union County",10.0,122,5.3,4.7
MS-147,"Walthall County",7.49,97,1.97,5.52
MS-149,"Warren County",11.1,124,6.07,5.03
MS-151,"Washington County",10.03,120,5.21,4.82
MS-153,"Wayne County",8.4,109,2.96,5.44
MS-155,"Webster County",12.53,126,7.63,4.9
MS-157,"Wilkinson County",5.31,71,0.2,5.11
MS-159,"Winston County",13.0,125,7.81,5.19
MS-161,"Yalobusha County",10.36,121,5.57,4.79
MS-163,"Yazoo County",10.82,123,5.9,4.92
