February 2020 Missouri County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MO-001,"Adair County",0.63,26,-0.71,1.34
MO-003,"Andrew County",0.44,23,-0.74,1.18
MO-005,"Atchison County",0.08,3,-1.02,1.1
MO-007,"Audrain County",1.96,82,0.21,1.75
MO-009,"Barry County",3.16,100,0.83,2.33
MO-011,"Barton County",3.17,110,1.35,1.82
MO-013,"Bates County",2.32,95,0.65,1.67
MO-015,"Benton County",2.84,105,1.0,1.84
MO-017,"Bollinger County",4.97,112,2.07,2.9
MO-019,"Boone County",2.03,84,0.26,1.77
MO-021,"Buchanan County",0.65,36,-0.57,1.22
MO-023,"Butler County",5.2,106,1.91,3.29
MO-025,"Caldwell County",0.78,34,-0.5,1.28
MO-027,"Callaway County",2.31,91,0.52,1.79
MO-029,"Camden County",2.69,92,0.66,2.03
MO-031,"Cape Girardeau County",4.8,112,1.9,2.9
MO-033,"Carroll County",0.86,28,-0.63,1.49
MO-035,"Carter County",4.44,105,1.48,2.96
MO-037,"Cass County",1.35,58,-0.19,1.54
MO-039,"Cedar County",3.16,108,1.3,1.86
MO-041,"Chariton County",0.93,28,-0.63,1.56
MO-043,"Christian County",3.4,97,1.16,2.24
MO-045,"Clark County",0.66,22,-0.69,1.35
MO-047,"Clay County",0.43,14,-0.89,1.32
MO-049,"Clinton County",0.57,23,-0.72,1.29
MO-051,"Cole County",2.27,85,0.44,1.83
MO-053,"Cooper County",2.09,84,0.35,1.74
MO-055,"Crawford County",3.05,93,0.81,2.24
MO-057,"Dade County",3.2,106,1.3,1.9
MO-059,"Dallas County",3.05,98,1.03,2.02
MO-061,"Daviess County",0.6,29,-0.6,1.2
MO-063,"DeKalb County",0.63,34,-0.59,1.22
MO-065,"Dent County",3.33,93,0.91,2.42
MO-067,"Douglas County",4.05,102,1.57,2.48
MO-069,"Dunklin County",4.93,98,1.25,3.68
MO-071,"Franklin County",2.81,93,0.72,2.09
MO-073,"Gasconade County",2.82,98,0.84,1.98
MO-075,"Gentry County",0.31,15,-0.84,1.15
MO-077,"Greene County",3.09,99,1.07,2.02
MO-079,"Grundy County",0.48,19,-0.73,1.21
MO-081,"Harrison County",0.34,16,-0.81,1.15
MO-083,"Henry County",2.21,90,0.44,1.77
MO-085,"Hickory County",3.12,109,1.22,1.9
MO-087,"Holt County",0.27,12,-0.91,1.18
MO-089,"Howard County",1.66,66,-0.03,1.69
MO-091,"Howell County",4.87,107,1.96,2.91
MO-093,"Iron County",3.69,97,1.06,2.63
MO-095,"Jackson County",0.79,28,-0.61,1.4
MO-097,"Jasper County",2.69,96,0.74,1.95
MO-099,"Jefferson County",2.86,88,0.6,2.26
MO-101,"Johnson County",1.15,37,-0.51,1.66
MO-103,"Knox County",0.81,31,-0.63,1.44
MO-105,"Laclede County",3.03,98,0.87,2.16
MO-107,"Lafayette County",0.91,30,-0.66,1.57
MO-109,"Lawrence County",2.99,99,0.92,2.07
MO-111,"Lewis County",1.07,42,-0.43,1.5
MO-113,"Lincoln County",1.8,59,-0.14,1.94
MO-115,"Linn County",0.63,25,-0.77,1.4
MO-117,"Livingston County",0.67,30,-0.62,1.29
MO-119,"McDonald County",2.57,92,0.38,2.19
MO-121,"Macon County",0.79,27,-0.67,1.46
MO-123,"Madison County",4.2,107,1.47,2.73
MO-125,"Maries County",2.79,92,0.72,2.07
MO-127,"Marion County",1.22,48,-0.37,1.59
MO-129,"Mercer County",0.37,15,-0.83,1.2
MO-131,"Miller County",2.56,91,0.57,1.99
MO-133,"Mississippi County",6.23,115,2.68,3.55
MO-135,"Moniteau County",2.38,92,0.58,1.8
MO-137,"Monroe County",1.3,46,-0.35,1.65
MO-139,"Montgomery County",2.4,91,0.53,1.87
MO-141,"Morgan County",2.35,89,0.49,1.86
MO-143,"New Madrid County",5.37,105,1.72,3.65
MO-145,"Newton County",2.55,93,0.48,2.07
MO-147,"Nodaway County",0.13,3,-0.98,1.11
MO-149,"Oregon County",4.54,101,1.46,3.08
MO-151,"Osage County",2.64,94,0.75,1.89
MO-153,"Ozark County",4.49,105,1.89,2.6
MO-155,"Pemiscot County",5.05,100,1.33,3.72
MO-157,"Perry County",3.74,100,1.08,2.66
MO-159,"Pettis County",1.79,73,0.07,1.72
MO-161,"Phelps County",2.94,95,0.76,2.18
MO-163,"Pike County",1.66,60,-0.14,1.8
MO-165,"Platte County",0.59,30,-0.62,1.21
MO-167,"Polk County",3.23,108,1.29,1.94
MO-169,"Pulaski County",3.05,98,0.9,2.15
MO-171,"Putnam County",0.52,21,-0.73,1.25
MO-173,"Ralls County",1.56,57,-0.12,1.68
MO-175,"Randolph County",1.27,52,-0.35,1.62
MO-177,"Ray County",0.67,22,-0.75,1.42
MO-179,"Reynolds County",4.07,101,1.35,2.72
MO-181,"Ripley County",4.57,101,1.34,3.23
MO-183,"St. Charles County",2.59,85,0.55,2.04
MO-185,"St. Clair County",2.92,106,1.08,1.84
MO-186,"Ste. Genevieve County",3.09,90,0.66,2.43
MO-187,"St. Francois County",3.23,90,0.74,2.49
MO-189,"St. Louis County",2.52,82,0.41,2.11
MO-195,"Saline County",1.2,42,-0.44,1.64
MO-197,"Schuyler County",0.55,18,-0.73,1.28
MO-199,"Scotland County",0.55,19,-0.78,1.33
MO-201,"Scott County",5.99,114,2.72,3.27
MO-203,"Shannon County",4.49,110,1.73,2.76
MO-205,"Shelby County",1.04,38,-0.52,1.56
MO-207,"Stoddard County",5.65,111,2.28,3.37
MO-209,"Stone County",3.36,100,1.09,2.27
MO-211,"Sullivan County",0.54,22,-0.79,1.33
MO-213,"Taney County",3.83,102,1.37,2.46
MO-215,"Texas County",3.9,106,1.43,2.47
MO-217,"Vernon County",3.06,110,1.29,1.77
MO-219,"Warren County",2.54,87,0.48,2.06
MO-221,"Washington County",3.26,95,0.96,2.3
MO-223,"Wayne County",4.83,107,1.9,2.93
MO-225,"Webster County",3.21,98,1.04,2.17
MO-227,"Worth County",0.19,9,-0.89,1.08
MO-229,"Wright County",3.42,99,1.13,2.29
MO-510,"St. Louis City",2.27,74,0.14,2.13
