February 2020 New York County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NY-001,"Albany County",2.96,95,0.67,2.29
NY-003,"Allegany County",3.6,117,1.55,2.05
NY-005,"Bronx County",2.68,54,-0.45,3.13
NY-007,"Broome County",3.38,103,1.02,2.36
NY-009,"Cattaraugus County",3.75,109,1.21,2.54
NY-011,"Cayuga County",3.08,109,0.86,2.22
NY-013,"Chautauqua County",3.3,105,0.88,2.42
NY-015,"Chemung County",2.92,108,1.01,1.91
NY-017,"Chenango County",3.57,107,1.07,2.5
NY-019,"Clinton County",3.12,109,1.06,2.06
NY-021,"Columbia County",2.77,84,0.34,2.43
NY-023,"Cortland County",3.47,102,0.95,2.52
NY-025,"Delaware County",3.43,99,0.81,2.62
NY-027,"Dutchess County",2.42,57,-0.33,2.75
NY-029,"Erie County",2.82,90,0.46,2.36
NY-031,"Essex County",3.62,101,0.96,2.66
NY-033,"Franklin County",2.82,91,0.44,2.38
NY-035,"Fulton County",3.48,83,0.43,3.05
NY-037,"Genesee County",3.08,110,1.03,2.05
NY-039,"Greene County",3.11,82,0.34,2.77
NY-041,"Hamilton County",3.52,86,0.42,3.1
NY-043,"Herkimer County",2.91,60,-0.13,3.04
NY-045,"Jefferson County",2.33,54,-0.2,2.53
NY-047,"Kings County",2.86,57,-0.35,3.21
NY-049,"Lewis County",3.12,71,0.08,3.04
NY-051,"Livingston County",2.61,109,0.87,1.74
NY-053,"Madison County",3.21,100,0.75,2.46
NY-055,"Monroe County",2.73,105,0.72,2.01
NY-057,"Montgomery County",2.93,95,0.56,2.37
NY-059,"Nassau County",2.97,62,-0.25,3.22
NY-061,"New York County",2.69,52,-0.49,3.18
NY-063,"Niagara County",2.08,72,-0.01,2.09
NY-065,"Oneida County",2.84,57,-0.15,2.99
NY-067,"Onondaga County",2.95,97,0.52,2.43
NY-069,"Ontario County",2.59,106,0.77,1.82
NY-071,"Orange County",2.43,59,-0.38,2.81
NY-073,"Orleans County",2.73,101,0.67,2.06
NY-075,"Oswego County",2.84,58,-0.05,2.89
NY-077,"Otsego County",3.21,98,0.73,2.48
NY-079,"Putnam County",2.55,49,-0.5,3.05
NY-081,"Queens County",3.04,66,-0.16,3.2
NY-083,"Rensselaer County",2.99,100,0.73,2.26
NY-085,"Richmond County",2.72,56,-0.49,3.21
NY-087,"Rockland County",2.5,50,-0.58,3.08
NY-089,"St. Lawrence County",2.29,61,-0.17,2.46
NY-091,"Saratoga County",3.39,95,0.74,2.65
NY-093,"Schenectady County",2.95,97,0.67,2.28
NY-095,"Schoharie County",2.94,93,0.62,2.32
NY-097,"Schuyler County",2.8,107,1.0,1.8
NY-099,"Seneca County",2.88,110,0.99,1.89
NY-101,"Steuben County",3.04,111,1.15,1.89
NY-103,"Suffolk County",3.32,62,-0.13,3.45
NY-105,"Sullivan County",2.98,74,0.09,2.89
NY-107,"Tioga County",3.26,104,1.13,2.13
NY-109,"Tompkins County",2.98,102,0.93,2.05
NY-111,"Ulster County",3.11,75,-0.02,3.13
NY-113,"Warren County",3.53,97,0.75,2.78
NY-115,"Washington County",2.82,93,0.56,2.26
NY-117,"Wayne County",2.5,94,0.37,2.13
NY-119,"Westchester County",2.6,52,-0.46,3.06
NY-121,"Wyoming County",3.37,111,1.19,2.18
NY-123,"Yates County",2.83,113,1.09,1.74
