February 2020 Ohio County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
OH-001,"Adams County",4.67,109,1.66,3.01
OH-003,"Allen County",2.81,106,0.94,1.87
OH-005,"Ashland County",2.51,83,0.34,2.17
OH-007,"Ashtabula County",2.73,94,0.57,2.16
OH-009,"Athens County",4.18,107,1.47,2.71
OH-011,"Auglaize County",2.82,102,0.89,1.93
OH-013,"Belmont County",3.96,107,1.37,2.59
OH-015,"Brown County",4.56,106,1.62,2.94
OH-017,"Butler County",2.9,84,0.39,2.51
OH-019,"Carroll County",3.38,106,1.1,2.28
OH-021,"Champaign County",2.77,93,0.62,2.15
OH-023,"Clark County",2.77,87,0.51,2.26
OH-025,"Clermont County",3.87,96,1.01,2.86
OH-027,"Clinton County",3.31,88,0.56,2.75
OH-029,"Columbiana County",3.36,111,1.2,2.16
OH-031,"Coshocton County",2.9,90,0.58,2.32
OH-033,"Crawford County",2.43,86,0.32,2.11
OH-035,"Cuyahoga County",2.01,68,0.02,1.99
OH-037,"Darke County",2.96,96,0.84,2.12
OH-039,"Defiance County",1.53,56,-0.26,1.79
OH-041,"Delaware County",2.21,72,0.02,2.19
OH-043,"Erie County",1.96,70,0.07,1.89
OH-045,"Fairfield County",3.44,98,0.99,2.45
OH-047,"Fayette County",3.16,92,0.68,2.48
OH-049,"Franklin County",2.48,78,0.19,2.29
OH-051,"Fulton County",1.48,54,-0.39,1.87
OH-053,"Gallia County",4.29,106,1.42,2.87
OH-055,"Geauga County",2.71,95,0.59,2.12
OH-057,"Greene County",2.77,80,0.35,2.42
OH-059,"Guernsey County",3.47,105,1.13,2.34
OH-061,"Hamilton County",3.19,87,0.55,2.64
OH-063,"Hancock County",2.02,77,0.11,1.91
OH-065,"Hardin County",2.7,101,0.75,1.95
OH-067,"Harrison County",3.58,109,1.17,2.41
OH-069,"Henry County",1.7,60,-0.15,1.85
OH-071,"Highland County",4.17,102,1.37,2.8
OH-073,"Hocking County",3.86,103,1.25,2.61
OH-075,"Holmes County",2.8,91,0.51,2.29
OH-077,"Huron County",2.2,75,0.22,1.98
OH-079,"Jackson County",4.47,109,1.65,2.82
OH-081,"Jefferson County",3.46,108,1.07,2.39
OH-083,"Knox County",2.55,80,0.17,2.38
OH-085,"Lake County",2.54,89,0.52,2.02
OH-087,"Lawrence County",4.27,105,1.31,2.96
OH-089,"Licking County",2.84,86,0.46,2.38
OH-091,"Logan County",3.04,103,1.04,2
OH-093,"Lorain County",2.12,81,0.19,1.93
OH-095,"Lucas County",1.55,58,-0.18,1.73
OH-097,"Madison County",2.73,87,0.46,2.27
OH-099,"Mahoning County",2.84,97,0.73,2.11
OH-101,"Marion County",2.15,76,0.08,2.07
OH-103,"Medina County",2.03,70,-0.01,2.04
OH-105,"Meigs County",4.67,113,1.84,2.83
OH-107,"Mercer County",2.67,100,0.71,1.96
OH-109,"Miami County",2.79,94,0.64,2.15
OH-111,"Monroe County",4.29,109,1.5,2.79
OH-113,"Montgomery County",2.73,84,0.37,2.36
OH-115,"Morgan County",3.9,105,1.36,2.54
OH-117,"Morrow County",2.43,79,0.15,2.28
OH-119,"Muskingum County",3.43,102,1.07,2.36
OH-121,"Noble County",3.79,106,1.23,2.56
OH-123,"Ottawa County",1.68,60,-0.08,1.76
OH-125,"Paulding County",1.85,76,0.06,1.79
OH-127,"Perry County",3.9,109,1.43,2.47
OH-129,"Pickaway County",3.37,96,0.9,2.47
OH-131,"Pike County",4.29,107,1.53,2.76
OH-133,"Portage County",2.43,86,0.34,2.09
OH-135,"Preble County",3.15,94,0.81,2.34
OH-137,"Putnam County",2.09,82,0.25,1.84
OH-139,"Richland County",2.71,90,0.49,2.22
OH-141,"Ross County",3.85,101,1.23,2.62
OH-143,"Sandusky County",1.88,68,0.1,1.78
OH-145,"Scioto County",4.03,101,1.08,2.95
OH-147,"Seneca County",2.06,75,0.13,1.93
OH-149,"Shelby County",2.85,97,0.81,2.04
OH-151,"Stark County",2.42,82,0.25,2.17
OH-153,"Summit County",1.9,54,-0.17,2.07
OH-155,"Trumbull County",2.82,96,0.68,2.14
OH-157,"Tuscarawas County",3.14,102,0.87,2.27
OH-159,"Union County",2.49,84,0.41,2.08
OH-161,"Van Wert County",2.4,89,0.54,1.86
OH-163,"Vinton County",4.2,107,1.5,2.7
OH-165,"Warren County",2.91,79,0.26,2.65
OH-167,"Washington County",4.31,112,1.57,2.74
OH-169,"Wayne County",2.23,75,0.08,2.15
OH-171,"Williams County",1.44,51,-0.39,1.83
OH-173,"Wood County",1.75,69,0.01,1.74
OH-175,"Wyandot County",2.15,78,0.15,2
