February 2020 Oklahoma County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
OK-001,"Adair County",3.06,92,0.55,2.51
OK-003,"Alfalfa County",1.38,85,0.34,1.04
OK-005,"Atoka County",3.45,96,0.84,2.61
OK-007,"Beaver County",0.66,76,-0.07,0.73
OK-009,"Beckham County",0.75,71,-0.15,0.9
OK-011,"Blaine County",1.07,72,-0.03,1.1
OK-013,"Bryan County",3.4,95,0.72,2.68
OK-015,"Caddo County",0.97,61,-0.27,1.24
OK-017,"Canadian County",0.98,60,-0.25,1.23
OK-019,"Carter County",2.72,99,0.77,1.95
OK-021,"Cherokee County",3.01,98,0.68,2.33
OK-023,"Choctaw County",3.79,92,0.77,3.02
OK-025,"Cimarron County",0.35,64,-0.09,0.44
OK-027,"Cleveland County",1.35,67,-0.2,1.55
OK-029,"Coal County",3.46,102,1.17,2.29
OK-031,"Comanche County",0.99,60,-0.31,1.3
OK-033,"Cotton County",1.41,77,-0.0,1.41
OK-035,"Craig County",2.66,103,0.81,1.85
OK-037,"Creek County",1.35,61,-0.26,1.61
OK-039,"Custer County",1.15,86,0.15,1
OK-041,"Delaware County",2.48,89,0.35,2.13
OK-043,"Dewey County",0.92,71,-0.1,1.02
OK-045,"Ellis County",0.83,75,-0.08,0.91
OK-047,"Garfield County",1.17,75,-0.01,1.18
OK-049,"Garvin County",1.93,84,0.2,1.73
OK-051,"Grady County",1.3,68,-0.12,1.42
OK-053,"Grant County",1.37,84,0.23,1.14
OK-055,"Greer County",0.73,68,-0.22,0.95
OK-057,"Harmon County",0.72,68,-0.19,0.91
OK-059,"Harper County",0.96,85,0.07,0.89
OK-061,"Haskell County",3.29,97,0.73,2.56
OK-063,"Hughes County",2.88,96,0.78,2.1
OK-065,"Jackson County",0.71,58,-0.34,1.05
OK-067,"Jefferson County",2.37,96,0.69,1.68
OK-069,"Johnston County",3.35,104,1.08,2.27
OK-071,"Kay County",1.74,96,0.49,1.25
OK-073,"Kingfisher County",0.98,65,-0.18,1.16
OK-075,"Kiowa County",0.69,54,-0.4,1.09
OK-077,"Latimer County",3.38,90,0.59,2.79
OK-079,"Le Flore County",3.57,90,0.53,3.04
OK-081,"Lincoln County",1.34,70,-0.21,1.55
OK-083,"Logan County",0.93,53,-0.34,1.27
OK-085,"Love County",2.81,96,0.74,2.07
OK-087,"McClain County",1.62,78,0.07,1.55
OK-089,"McCurtain County",4.26,89,0.81,3.45
OK-091,"McIntosh County",2.99,97,0.81,2.18
OK-093,"Major County",1.0,72,-0.06,1.06
OK-095,"Marshall County",3.36,103,1.01,2.35
OK-097,"Mayes County",2.19,81,0.19,2
OK-099,"Murray County",2.15,81,0.18,1.97
OK-101,"Muskogee County",3.13,100,0.93,2.2
OK-103,"Noble County",1.18,65,-0.1,1.28
OK-105,"Nowata County",3.03,111,1.34,1.69
OK-107,"Okfuskee County",1.98,82,0.2,1.78
OK-109,"Oklahoma County",0.95,54,-0.42,1.37
OK-111,"Okmulgee County",1.96,77,0.1,1.86
OK-113,"Osage County",2.04,99,0.58,1.46
OK-115,"Ottawa County",2.85,104,0.9,1.95
OK-117,"Pawnee County",1.24,65,-0.19,1.43
OK-119,"Payne County",1.17,61,-0.22,1.39
OK-121,"Pittsburg County",2.97,90,0.5,2.47
OK-123,"Pontotoc County",2.73,96,0.7,2.03
OK-125,"Pottawatomie County",1.76,78,0.07,1.69
OK-127,"Pushmataha County",4.0,99,0.89,3.11
OK-129,"Roger Mills County",0.81,76,-0.14,0.95
OK-131,"Rogers County",1.84,76,0.04,1.8
OK-133,"Seminole County",2.35,94,0.53,1.82
OK-135,"Sequoyah County",3.19,89,0.55,2.64
OK-137,"Stephens County",2.0,89,0.42,1.58
OK-139,"Texas County",0.47,78,-0.06,0.53
OK-141,"Tillman County",0.82,57,-0.42,1.24
OK-143,"Tulsa County",1.47,67,-0.27,1.74
OK-145,"Wagoner County",2.19,84,0.14,2.05
OK-147,"Washington County",2.62,109,1.02,1.6
OK-149,"Washita County",0.95,72,-0.08,1.03
OK-151,"Woods County",1.1,80,0.12,0.98
OK-153,"Woodward County",0.63,53,-0.38,1.01
