February 2020 Pennsylvania County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
PA-001,"Adams County",2.33,56,-0.46,2.79
PA-003,"Allegheny County",3.64,111,1.27,2.37
PA-005,"Armstrong County",4.37,120,1.72,2.65
PA-007,"Beaver County",3.24,102,0.94,2.3
PA-009,"Bedford County",2.29,72,-0.06,2.35
PA-011,"Berks County",2.63,64,-0.2,2.83
PA-013,"Blair County",2.98,94,0.54,2.44
PA-015,"Bradford County",2.98,101,0.89,2.09
PA-017,"Bucks County",2.87,72,-0.04,2.91
PA-019,"Butler County",3.51,104,1.03,2.48
PA-021,"Cambria County",4.26,110,1.47,2.79
PA-023,"Cameron County",4.06,118,1.56,2.5
PA-025,"Carbon County",2.95,70,-0.16,3.11
PA-027,"Centre County",3.05,92,0.56,2.49
PA-029,"Chester County",2.86,65,-0.09,2.95
PA-031,"Clarion County",4.05,113,1.42,2.63
PA-033,"Clearfield County",4.0,112,1.34,2.66
PA-035,"Clinton County",3.39,105,0.94,2.45
PA-037,"Columbia County",2.74,76,0.17,2.57
PA-039,"Crawford County",3.25,99,0.81,2.44
PA-041,"Cumberland County",2.4,60,-0.32,2.72
PA-043,"Dauphin County",2.62,71,-0.08,2.7
PA-045,"Delaware County",2.65,53,-0.35,3
PA-047,"Elk County",4.58,119,1.97,2.61
PA-049,"Erie County",3.22,101,0.8,2.42
PA-051,"Fayette County",5.49,121,2.61,2.88
PA-053,"Forest County",4.03,112,1.43,2.6
PA-055,"Franklin County",2.17,59,-0.39,2.56
PA-057,"Fulton County",2.2,62,-0.22,2.42
PA-059,"Greene County",4.33,112,1.65,2.68
PA-061,"Huntingdon County",2.56,74,0.13,2.43
PA-063,"Indiana County",4.86,120,2.07,2.79
PA-065,"Jefferson County",4.27,114,1.55,2.72
PA-067,"Juniata County",3.0,86,0.4,2.6
PA-069,"Lackawanna County",3.09,87,0.49,2.6
PA-071,"Lancaster County",2.63,67,-0.07,2.7
PA-073,"Lawrence County",3.27,104,0.97,2.3
PA-075,"Lebanon County",2.31,52,-0.41,2.72
PA-077,"Lehigh County",2.84,72,-0.08,2.92
PA-079,"Luzerne County",2.81,83,0.17,2.64
PA-081,"Lycoming County",3.32,97,0.77,2.55
PA-083,"McKean County",4.24,115,1.66,2.58
PA-085,"Mercer County",3.11,91,0.73,2.38
PA-087,"Mifflin County",2.87,85,0.33,2.54
PA-089,"Monroe County",3.04,76,-0.05,3.09
PA-091,"Montgomery County",2.79,66,-0.13,2.92
PA-093,"Montour County",2.74,76,0.22,2.52
PA-095,"Northampton County",2.93,70,-0.07,3
PA-097,"Northumberland County",2.7,76,0.17,2.53
PA-099,"Perry County",2.76,76,0.08,2.68
PA-101,"Philadelphia County",2.61,53,-0.33,2.94
PA-103,"Pike County",2.42,57,-0.38,2.8
PA-105,"Potter County",3.85,113,1.46,2.39
PA-107,"Schuylkill County",2.75,65,-0.12,2.87
PA-109,"Snyder County",2.88,80,0.2,2.68
PA-111,"Somerset County",4.48,110,1.6,2.88
PA-113,"Sullivan County",3.19,88,0.52,2.67
PA-115,"Susquehanna County",3.46,102,1.02,2.44
PA-117,"Tioga County",3.45,114,1.39,2.06
PA-119,"Union County",2.86,80,0.24,2.62
PA-121,"Venango County",3.47,106,1.01,2.46
PA-123,"Warren County",3.99,116,1.51,2.48
PA-125,"Washington County",3.85,113,1.39,2.46
PA-127,"Wayne County",3.28,93,0.61,2.67
PA-129,"Westmoreland County",4.75,121,2.03,2.72
PA-131,"Wyoming County",3.05,93,0.59,2.46
PA-133,"York County",2.42,58,-0.28,2.7
