February 2020 South Carolina County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
SC-001,"Abbeville County",9.91,125,5.52,4.39
SC-003,"Aiken County",7.09,117,3.03,4.06
SC-005,"Allendale County",8.05,124,4.33,3.72
SC-007,"Anderson County",10.13,126,5.61,4.52
SC-009,"Bamberg County",6.86,119,3.11,3.75
SC-011,"Barnwell County",7.48,122,3.58,3.9
SC-013,"Beaufort County",6.18,116,2.81,3.37
SC-015,"Berkeley County",6.12,116,2.53,3.59
SC-017,"Calhoun County",6.44,115,2.63,3.81
SC-019,"Charleston County",5.56,109,2.06,3.5
SC-021,"Cherokee County",7.65,120,3.42,4.23
SC-023,"Chester County",6.73,117,2.8,3.93
SC-025,"Chesterfield County",6.2,116,2.43,3.77
SC-027,"Clarendon County",6.88,122,3.14,3.74
SC-029,"Colleton County",6.9,121,3.38,3.52
SC-031,"Darlington County",6.28,119,2.63,3.65
SC-033,"Dillon County",6.15,119,2.63,3.52
SC-035,"Dorchester County",6.26,118,2.68,3.58
SC-037,"Edgefield County",8.02,121,3.85,4.17
SC-039,"Fairfield County",7.0,119,3.14,3.86
SC-041,"Florence County",5.9,115,2.26,3.64
SC-043,"Georgetown County",6.14,115,2.46,3.68
SC-045,"Greenville County",10.74,126,6.0,4.74
SC-047,"Greenwood County",9.21,123,4.97,4.24
SC-049,"Hampton County",7.49,121,3.93,3.56
SC-051,"Horry County",6.1,116,2.4,3.7
SC-053,"Jasper County",6.4,119,2.98,3.42
SC-055,"Kershaw County",6.04,114,2.35,3.69
SC-057,"Lancaster County",6.32,117,2.57,3.75
SC-059,"Laurens County",8.39,121,4.11,4.28
SC-061,"Lee County",5.94,114,2.29,3.65
SC-063,"Lexington County",6.49,113,2.56,3.93
SC-065,"McCormick County",9.4,125,5.09,4.31
SC-067,"Marion County",6.52,121,2.91,3.61
SC-069,"Marlboro County",6.0,117,2.39,3.61
SC-071,"Newberry County",7.72,121,3.68,4.04
SC-073,"Oconee County",12.15,126,6.71,5.44
SC-075,"Orangeburg County",6.7,122,2.91,3.79
SC-077,"Pickens County",11.8,126,6.74,5.06
SC-079,"Richland County",5.9,111,2.14,3.76
SC-081,"Saluda County",7.51,120,3.39,4.12
SC-083,"Spartanburg County",8.49,121,4.12,4.37
SC-085,"Sumter County",6.02,114,2.32,3.7
SC-087,"Union County",7.27,118,3.09,4.18
SC-089,"Williamsburg County",5.98,116,2.34,3.64
SC-091,"York County",6.64,115,2.61,4.03
