February 2020 South Dakota County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
SD-003,"Aurora County",0.15,15,-0.45,0.6
SD-005,"Beadle County",0.65,86,0.1,0.55
SD-007,"Bennett County",0.58,87,0.1,0.48
SD-009,"Bon Homme County",0.09,6,-0.63,0.72
SD-011,"Brookings County",0.67,82,0.04,0.63
SD-013,"Brown County",0.13,11,-0.45,0.58
SD-015,"Brule County",0.12,15,-0.46,0.58
SD-017,"Buffalo County",0.23,31,-0.28,0.51
SD-019,"Butte County",0.71,109,0.29,0.42
SD-021,"Campbell County",0.19,21,-0.28,0.47
SD-023,"Charles Mix County",0.06,4,-0.6,0.66
SD-025,"Clark County",0.4,51,-0.18,0.58
SD-027,"Clay County",0.14,10,-0.69,0.83
SD-029,"Codington County",0.32,32,-0.27,0.59
SD-031,"Corson County",0.36,50,-0.15,0.51
SD-033,"Custer County",0.81,104,0.31,0.5
SD-035,"Davison County",0.27,35,-0.28,0.55
SD-037,"Day County",0.09,4,-0.51,0.6
SD-039,"Deuel County",0.44,42,-0.21,0.65
SD-041,"Dewey County",0.51,70,-0.01,0.52
SD-043,"Douglas County",0.12,12,-0.53,0.65
SD-045,"Edmunds County",0.17,18,-0.35,0.52
SD-047,"Fall River County",0.57,87,0.09,0.48
SD-049,"Faulk County",0.25,32,-0.28,0.53
SD-051,"Grant County",0.17,12,-0.5,0.67
SD-053,"Gregory County",0.04,3,-0.6,0.64
SD-055,"Haakon County",0.42,70,-0.08,0.5
SD-057,"Hamlin County",0.53,70,-0.06,0.59
SD-059,"Hand County",0.5,69,-0.02,0.52
SD-061,"Hanson County",0.24,25,-0.36,0.6
SD-063,"Harding County",0.57,102,0.17,0.4
SD-065,"Hughes County",0.33,54,-0.16,0.49
SD-067,"Hutchinson County",0.16,15,-0.57,0.73
SD-069,"Hyde County",0.33,50,-0.16,0.49
SD-071,"Jackson County",0.42,71,-0.04,0.46
SD-073,"Jerauld County",0.33,44,-0.26,0.59
SD-075,"Jones County",0.25,40,-0.23,0.48
SD-077,"Kingsbury County",0.62,77,0.04,0.58
SD-079,"Lake County",0.47,55,-0.14,0.61
SD-081,"Lawrence County",2.07,119,1.11,0.96
SD-083,"Lincoln County",0.14,10,-0.68,0.82
SD-085,"Lyman County",0.18,23,-0.33,0.51
SD-087,"McCook County",0.26,23,-0.45,0.71
SD-089,"McPherson County",0.19,22,-0.31,0.5
SD-091,"Marshall County",0.09,6,-0.49,0.58
SD-093,"Meade County",0.63,92,0.16,0.47
SD-095,"Mellette County",0.23,32,-0.27,0.5
SD-097,"Miner County",0.38,48,-0.19,0.57
SD-099,"Minnehaha County",0.23,23,-0.5,0.73
SD-101,"Moody County",0.53,65,-0.1,0.63
SD-102,"Oglala Lakota County",0.65,94,0.17,0.48
SD-103,"Pennington County",0.77,102,0.27,0.5
SD-105,"Perkins County",0.57,90,0.1,0.47
SD-107,"Potter County",0.29,37,-0.23,0.52
SD-109,"Roberts County",0.11,6,-0.51,0.62
SD-111,"Sanborn County",0.33,46,-0.2,0.53
SD-115,"Spink County",0.41,53,-0.15,0.56
SD-117,"Stanley County",0.4,60,-0.1,0.5
SD-119,"Sully County",0.33,52,-0.14,0.47
SD-121,"Todd County",0.43,60,-0.11,0.54
SD-123,"Tripp County",0.06,4,-0.52,0.58
SD-125,"Turner County",0.17,11,-0.66,0.83
SD-127,"Union County",0.15,9,-0.66,0.81
SD-129,"Walworth County",0.26,30,-0.26,0.52
SD-135,"Yankton County",0.12,9,-0.65,0.77
SD-137,"Ziebach County",0.62,84,0.12,0.5
