February 2020 Tennessee County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
TN-001,"Anderson County",11.91,124,7.26,4.65
TN-003,"Bedford County",10.5,121,5.82,4.68
TN-005,"Benton County",6.07,104,1.84,4.23
TN-007,"Bledsoe County",11.71,123,6.71,5
TN-009,"Blount County",12.19,125,7.36,4.83
TN-011,"Bradley County",12.62,126,7.68,4.94
TN-013,"Campbell County",11.39,125,6.89,4.5
TN-015,"Cannon County",10.57,122,5.94,4.63
TN-017,"Carroll County",6.22,106,1.96,4.26
TN-019,"Carter County",8.2,126,4.36,3.84
TN-021,"Cheatham County",7.01,112,2.86,4.15
TN-023,"Chester County",7.33,113,2.88,4.45
TN-025,"Claiborne County",10.41,124,6.02,4.39
TN-027,"Clay County",9.59,120,5.31,4.28
TN-029,"Cocke County",9.79,126,5.85,3.94
TN-031,"Coffee County",12.01,124,7.29,4.72
TN-033,"Crockett County",6.49,106,2.28,4.21
TN-035,"Cumberland County",11.77,124,6.98,4.79
TN-037,"Davidson County",7.35,114,3.17,4.18
TN-039,"Decatur County",7.6,112,3.17,4.43
TN-041,"DeKalb County",9.66,119,5.13,4.53
TN-043,"Dickson County",6.21,106,2.03,4.18
TN-045,"Dyer County",5.73,106,1.81,3.92
TN-047,"Fayette County",6.32,101,1.88,4.44
TN-049,"Fentress County",10.38,121,5.93,4.45
TN-051,"Franklin County",14.36,126,9.49,4.87
TN-053,"Gibson County",5.98,104,1.8,4.18
TN-055,"Giles County",10.54,120,5.55,4.99
TN-057,"Grainger County",9.91,125,5.65,4.26
TN-059,"Greene County",8.86,126,5.21,3.65
TN-061,"Grundy County",13.61,126,8.62,4.99
TN-063,"Hamblen County",9.49,125,5.47,4.02
TN-065,"Hamilton County",12.38,126,7.23,5.15
TN-067,"Hancock County",10.24,125,5.98,4.26
TN-069,"Hardeman County",6.55,105,2.06,4.49
TN-071,"Hardin County",9.0,118,4.48,4.52
TN-073,"Hawkins County",9.6,125,5.62,3.98
TN-075,"Haywood County",6.59,106,2.32,4.27
TN-077,"Henderson County",7.1,111,2.72,4.38
TN-079,"Henry County",5.79,106,1.61,4.18
TN-081,"Hickman County",7.23,110,2.82,4.41
TN-083,"Houston County",6.44,109,2.31,4.13
TN-085,"Humphreys County",6.06,104,1.83,4.23
TN-087,"Jackson County",10.95,123,6.56,4.39
TN-089,"Jefferson County",9.81,125,5.71,4.1
TN-091,"Johnson County",8.09,126,4.17,3.92
TN-093,"Knox County",11.34,125,6.84,4.5
TN-095,"Lake County",5.03,101,1.26,3.77
TN-097,"Lauderdale County",6.16,107,2.16,4
TN-099,"Lawrence County",10.68,120,5.73,4.95
TN-101,"Lewis County",9.12,120,4.5,4.62
TN-103,"Lincoln County",12.65,124,7.68,4.97
TN-105,"Loudon County",11.94,125,7.18,4.76
TN-107,"McMinn County",12.97,126,8.01,4.96
TN-109,"McNairy County",7.8,114,3.26,4.54
TN-111,"Macon County",8.54,116,4.21,4.33
TN-113,"Madison County",6.65,106,2.25,4.4
TN-115,"Marion County",13.75,126,8.62,5.13
TN-117,"Marshall County",9.85,119,5.06,4.79
TN-119,"Maury County",9.57,118,4.97,4.6
TN-121,"Meigs County",12.91,126,7.95,4.96
TN-123,"Monroe County",12.76,126,7.57,5.19
TN-125,"Montgomery County",6.17,106,2.11,4.06
TN-127,"Moore County",13.02,125,8.19,4.83
TN-129,"Morgan County",11.57,124,6.97,4.6
TN-131,"Obion County",5.63,108,1.69,3.94
TN-133,"Overton County",10.25,120,5.8,4.45
TN-135,"Perry County",7.29,110,2.81,4.48
TN-137,"Pickett County",9.61,121,5.32,4.29
TN-139,"Polk County",12.89,126,7.73,5.16
TN-141,"Putnam County",11.03,123,6.48,4.55
TN-143,"Rhea County",12.82,125,7.78,5.04
TN-145,"Roane County",12.14,125,7.48,4.66
TN-147,"Robertson County",6.74,111,2.59,4.15
TN-149,"Rutherford County",9.76,119,5.33,4.43
TN-151,"Scott County",11.22,124,6.72,4.5
TN-153,"Sequatchie County",12.65,125,7.56,5.09
TN-155,"Sevier County",11.57,126,6.88,4.69
TN-157,"Shelby County",6.18,101,1.9,4.28
TN-159,"Smith County",10.41,121,5.98,4.43
TN-161,"Stewart County",5.82,104,1.68,4.14
TN-163,"Sullivan County",8.19,125,4.57,3.62
TN-165,"Sumner County",7.26,112,3.02,4.24
TN-167,"Tipton County",6.27,106,2.15,4.12
TN-169,"Trousdale County",7.98,114,3.63,4.35
TN-171,"Unicoi County",9.34,126,5.41,3.93
TN-173,"Union County",10.67,124,6.24,4.43
TN-175,"Van Buren County",10.83,123,6.08,4.75
TN-177,"Warren County",11.35,124,6.71,4.64
TN-179,"Washington County",8.41,126,4.87,3.54
TN-181,"Wayne County",10.46,121,5.72,4.74
TN-183,"Weakley County",5.65,103,1.5,4.15
TN-185,"White County",10.56,121,5.96,4.6
TN-187,"Williamson County",7.37,111,3.02,4.35
TN-189,"Wilson County",8.51,116,4.14,4.37
