February 2020 Texas County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
TX-001,"Anderson County",7.21,124,3.96,3.25
TX-003,"Andrews County",0.67,89,0.14,0.53
TX-005,"Angelina County",3.05,53,-0.89,3.94
TX-007,"Aransas County",0.14,4,-1.92,2.06
TX-009,"Archer County",1.87,93,0.48,1.39
TX-011,"Armstrong County",0.8,89,0.15,0.65
TX-013,"Atascosa County",0.51,32,-1.13,1.64
TX-015,"Austin County",1.78,38,-1.19,2.97
TX-017,"Bailey County",0.51,76,0.03,0.48
TX-019,"Bandera County",1.76,72,0.03,1.73
TX-021,"Bastrop County",2.23,64,-0.28,2.51
TX-023,"Baylor County",1.57,87,0.34,1.23
TX-025,"Bee County",0.41,20,-1.41,1.82
TX-027,"Bell County",4.02,111,1.62,2.4
TX-029,"Bexar County",0.95,44,-0.98,1.93
TX-031,"Blanco County",2.75,91,0.65,2.1
TX-033,"Borden County",0.81,84,0.08,0.73
TX-035,"Bosque County",4.51,121,2.29,2.22
TX-037,"Bowie County",7.91,121,4.32,3.59
TX-039,"Brazoria County",0.99,18,-1.99,2.98
TX-041,"Brazos County",2.78,56,-0.28,3.06
TX-043,"Brewster County",0.58,92,0.15,0.43
TX-045,"Briscoe County",1.23,101,0.55,0.68
TX-047,"Brooks County",0.17,18,-1.06,1.23
TX-049,"Brown County",2.53,103,1.04,1.49
TX-051,"Burleson County",2.17,53,-0.64,2.81
TX-053,"Burnet County",3.02,101,0.89,2.13
TX-055,"Caldwell County",1.49,46,-0.88,2.37
TX-057,"Calhoun County",0.23,4,-2.17,2.4
TX-059,"Callahan County",2.87,116,1.62,1.25
TX-061,"Cameron County",0.12,14,-1.12,1.24
TX-063,"Camp County",7.72,122,4.31,3.41
TX-065,"Carson County",0.41,56,-0.25,0.66
TX-067,"Cass County",8.9,124,5.24,3.66
TX-069,"Castro County",0.56,79,0.04,0.52
TX-071,"Chambers County",2.1,37,-1.28,3.38
TX-073,"Cherokee County",7.11,122,3.53,3.58
TX-075,"Childress County",0.71,68,-0.15,0.86
TX-077,"Clay County",2.28,100,0.74,1.54
TX-079,"Cochran County",0.62,82,0.12,0.5
TX-081,"Coke County",2.35,111,1.3,1.05
TX-083,"Coleman County",2.36,106,1.04,1.32
TX-085,"Collin County",3.65,101,1.1,2.55
