February 2020 West Virginia County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
WV-001,"Barbour County",5.68,121,2.41,3.27
WV-003,"Berkeley County",2.35,73,0.06,2.29
WV-005,"Boone County",6.48,120,3.18,3.3
WV-007,"Braxton County",5.43,116,2.19,3.24
WV-009,"Brooke County",3.28,99,0.83,2.45
WV-011,"Cabell County",4.69,111,1.65,3.04
WV-013,"Calhoun County",3.96,93,0.73,3.23
WV-015,"Clay County",5.73,119,2.55,3.18
WV-017,"Doddridge County",5.23,115,2.07,3.16
WV-019,"Fayette County",6.62,125,3.37,3.25
WV-021,"Gilmer County",4.31,99,1.01,3.3
WV-023,"Grant County",3.34,102,0.94,2.4
WV-025,"Greenbrier County",5.82,120,2.59,3.23
WV-027,"Hampshire County",2.22,70,0.06,2.16
WV-029,"Hancock County",3.46,109,1.14,2.32
WV-031,"Hardy County",2.62,76,0.32,2.3
WV-033,"Harrison County",5.07,115,2.01,3.06
WV-035,"Jackson County",4.66,112,1.61,3.05
WV-037,"Jefferson County",2.5,74,0.15,2.35
WV-039,"Kanawha County",5.55,118,2.33,3.22
WV-041,"Lewis County",5.53,118,2.19,3.34
WV-043,"Lincoln County",5.8,117,2.59,3.21
WV-045,"Logan County",7.39,123,3.95,3.44
WV-047,"McDowell County",7.38,124,4.15,3.23
WV-049,"Marion County",5.01,116,2.06,2.95
WV-051,"Marshall County",4.57,114,1.78,2.79
WV-053,"Mason County",4.41,112,1.53,2.88
WV-055,"Mercer County",6.01,121,2.97,3.04
WV-057,"Mineral County",2.01,56,-0.22,2.23
WV-059,"Mingo County",7.43,121,3.99,3.44
WV-061,"Monongalia County",5.1,118,2.21,2.89
WV-063,"Monroe County",5.59,122,2.61,2.98
WV-065,"Morgan County",2.42,77,0.16,2.26
WV-067,"Nicholas County",6.28,122,2.96,3.32
WV-069,"Ohio County",3.67,101,1.11,2.56
WV-071,"Pendleton County",3.68,105,1.17,2.51
WV-073,"Pleasants County",4.54,111,1.58,2.96
WV-075,"Pocahontas County",5.61,116,2.04,3.57
WV-077,"Preston County",5.31,116,1.93,3.38
WV-079,"Putnam County",4.74,111,1.65,3.09
WV-081,"Raleigh County",7.16,124,3.84,3.32
WV-083,"Randolph County",6.39,117,2.49,3.9
WV-085,"Ritchie County",4.34,102,1.2,3.14
WV-087,"Roane County",4.35,106,1.2,3.15
WV-089,"Summers County",5.85,122,2.85,3
WV-091,"Taylor County",5.16,118,2.14,3.02
WV-093,"Tucker County",6.17,121,2.6,3.57
WV-095,"Tyler County",4.88,113,1.87,3.01
WV-097,"Upshur County",6.3,121,2.67,3.63
WV-099,"Wayne County",5.7,116,2.5,3.2
WV-101,"Webster County",6.99,123,3.2,3.79
WV-103,"Wetzel County",4.86,112,1.82,3.04
WV-105,"Wirt County",4.14,102,1.06,3.08
WV-107,"Wood County",4.61,113,1.67,2.94
WV-109,"Wyoming County",7.86,125,4.45,3.41
