February 2020 Colorado County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
CO-001,"Adams County",0.81,110,0.36,0.45
CO-003,"Alamosa County",0.28,38,-0.19,0.47
CO-005,"Arapahoe County",0.87,108,0.4,0.47
CO-007,"Archuleta County",0.77,15,-1.25,2.02
CO-009,"Baca County",0.56,91,0.1,0.46
CO-011,"Bent County",0.55,97,0.14,0.41
CO-013,"Boulder County",2.05,119,1.03,1.02
CO-014,"Broomfield County",1.16,119,0.68,0.48
CO-015,"Chaffee County",1.13,69,-0.05,1.18
CO-017,"Cheyenne County",0.4,86,0.04,0.36
CO-019,"Clear Creek County",3.65,123,1.93,1.72
CO-021,"Conejos County",0.49,9,-0.79,1.28
CO-023,"Costilla County",0.99,57,-0.25,1.24
CO-025,"Crowley County",0.5,111,0.23,0.27
CO-027,"Custer County",1.73,92,0.49,1.24
CO-029,"Delta County",0.57,10,-1.02,1.59
CO-031,"Denver County",1.05,120,0.58,0.47
CO-033,"Dolores County",0.51,7,-1.47,1.98
CO-035,"Douglas County",1.56,120,0.85,0.71
CO-037,"Eagle County",3.06,102,0.86,2.2
CO-039,"Elbert County",0.96,114,0.47,0.49
CO-041,"El Paso County",0.92,118,0.51,0.41
CO-043,"Fremont County",1.18,117,0.62,0.56
CO-045,"Garfield County",1.55,44,-0.51,2.06
CO-047,"Gilpin County",2.7,122,1.44,1.26
CO-049,"Grand County",3.35,117,1.47,1.88
CO-051,"Gunnison County",1.6,41,-0.63,2.23
CO-053,"Hinsdale County",1.66,29,-0.99,2.65
CO-055,"Huerfano County",1.09,87,0.15,0.94
CO-057,"Jackson County",3.15,110,1.11,2.04
CO-059,"Jefferson County",1.7,123,0.98,0.72
CO-061,"Kiowa County",0.51,98,0.17,0.34
CO-063,"Kit Carson County",0.23,46,-0.18,0.41
CO-065,"Lake County",3.16,103,1.05,2.11
CO-067,"La Plata County",0.65,13,-1.28,1.93
CO-069,"Larimer County",2.0,112,0.83,1.17
CO-071,"Las Animas County",0.6,75,-0.04,0.64
CO-073,"Lincoln County",0.34,80,0.01,0.33
CO-075,"Logan County",0.18,35,-0.2,0.38
CO-077,"Mesa County",0.51,15,-0.9,1.41
CO-079,"Mineral County",1.13,14,-1.63,2.76
CO-081,"Moffat County",1.26,88,0.2,1.06
CO-083,"Montezuma County",0.3,9,-1.15,1.45
CO-085,"Montrose County",0.28,5,-0.96,1.24
CO-087,"Morgan County",0.31,74,-0.02,0.33
CO-089,"Otero County",0.75,110,0.31,0.44
CO-091,"Ouray County",0.83,14,-0.95,1.78
CO-093,"Park County",1.76,119,0.86,0.9
CO-095,"Phillips County",0.23,45,-0.18,0.41
CO-097,"Pitkin County",3.07,75,0.1,2.97
CO-099,"Prowers County",0.45,85,0.02,0.43
CO-101,"Pueblo County",0.91,118,0.49,0.42
CO-103,"Rio Blanco County",1.59,72,0.06,1.53
CO-105,"Rio Grande County",0.38,16,-0.53,0.91
CO-107,"Routt County",3.49,115,1.13,2.36
CO-109,"Saguache County",0.83,43,-0.29,1.12
CO-111,"San Juan County",2.11,25,-1.83,3.94
CO-113,"San Miguel County",0.47,6,-1.01,1.48
CO-115,"Sedgwick County",0.23,40,-0.22,0.45
CO-117,"Summit County",4.02,117,1.73,2.29
CO-119,"Teller County",1.89,120,1.09,0.8
CO-121,"Washington County",0.17,30,-0.22,0.39
CO-123,"Weld County",0.4,82,0.07,0.33
CO-125,"Yuma County",0.13,21,-0.29,0.42
