February 2020 Georgia County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
GA-001,"Appling County",4.75,92,0.99,3.76
GA-003,"Atkinson County",5.81,105,1.8,4.01
GA-005,"Bacon County",4.5,81,0.61,3.89
GA-007,"Baker County",6.61,100,1.89,4.72
GA-009,"Baldwin County",10.68,125,6.17,4.51
GA-011,"Banks County",11.62,126,6.55,5.07
GA-013,"Barrow County",11.36,124,6.41,4.95
GA-015,"Bartow County",12.05,125,7.07,4.98
GA-017,"Ben Hill County",7.75,119,3.46,4.29
GA-019,"Berrien County",6.67,112,2.54,4.13
GA-021,"Bibb County",9.89,124,5.32,4.57
GA-023,"Bleckley County",10.28,124,5.77,4.51
GA-025,"Brantley County",4.25,86,0.67,3.58
GA-027,"Brooks County",6.0,100,1.73,4.27
GA-029,"Bryan County",5.51,109,2.08,3.43
GA-031,"Bulloch County",8.1,123,4.4,3.7
GA-033,"Burke County",9.31,125,5.31,4
GA-035,"Butts County",10.06,123,5.24,4.82
GA-037,"Calhoun County",7.9,112,2.96,4.94
GA-039,"Camden County",3.37,70,0.0,3.37
GA-043,"Candler County",7.9,121,4.09,3.81
GA-045,"Carroll County",11.19,125,5.95,5.24
GA-047,"Catoosa County",11.67,125,6.53,5.14
GA-049,"Charlton County",4.27,86,0.79,3.48
GA-051,"Chatham County",5.16,104,1.82,3.34
GA-053,"Chattahoochee County",9.43,122,4.62,4.81
GA-055,"Chattooga County",11.31,124,5.96,5.35
GA-057,"Cherokee County",12.14,125,7.0,5.14
GA-059,"Clarke County",11.55,125,6.66,4.89
GA-061,"Clay County",7.68,113,2.63,5.05
GA-063,"Clayton County",11.58,125,6.69,4.89
GA-065,"Clinch County",5.05,94,1.21,3.84
GA-067,"Cobb County",11.36,125,6.4,4.96
GA-069,"Coffee County",6.19,105,2.1,4.09
GA-071,"Colquitt County",6.17,101,1.84,4.33
GA-073,"Columbia County",8.18,121,3.91,4.27
GA-075,"Cook County",6.28,104,2.08,4.2
GA-077,"Coweta County",11.52,125,6.45,5.07
GA-079,"Crawford County",10.19,124,5.43,4.76
GA-081,"Crisp County",9.53,123,5.09,4.44
GA-083,"Dade County",11.99,126,6.93,5.06
GA-085,"Dawson County",12.88,125,7.27,5.61
GA-087,"Decatur County",6.42,99,1.83,4.59
GA-089,"DeKalb County",10.91,124,6.03,4.88
GA-091,"Dodge County",9.16,124,4.75,4.41
GA-093,"Dooly County",10.1,124,5.56,4.54
GA-095,"Dougherty County",7.97,115,3.31,4.66
GA-097,"Douglas County",11.33,125,6.2,5.13
GA-099,"Early County",6.62,97,1.64,4.98
