March 2020 Alabama County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",6.55,81,0.44,6.11
AL-003,"Baldwin County",0.9,4,-5.24,6.14
AL-005,"Barbour County",5.12,55,-0.69,5.81
AL-007,"Bibb County",7.87,98,1.53,6.34
AL-009,"Blount County",9.56,108,3.3,6.26
AL-011,"Bullock County",4.95,48,-1.19,6.14
AL-013,"Butler County",3.98,36,-2.33,6.31
AL-015,"Calhoun County",9.3,106,3.14,6.16
AL-017,"Chambers County",6.56,75,0.27,6.29
AL-019,"Cherokee County",7.4,92,1.3,6.1
AL-021,"Chilton County",8.09,95,1.84,6.25
AL-023,"Choctaw County",4.1,35,-2.23,6.33
AL-025,"Clarke County",2.58,14,-3.73,6.31
AL-027,"Clay County",8.97,105,2.49,6.48
AL-029,"Cleburne County",9.39,109,3.2,6.19
AL-031,"Coffee County",2.87,24,-3.14,6.01
AL-033,"Colbert County",9.51,112,3.51,6
AL-035,"Conecuh County",2.58,16,-3.82,6.4
AL-037,"Coosa County",7.79,93,1.49,6.3
AL-039,"Covington County",1.94,9,-4.25,6.19
AL-041,"Crenshaw County",4.44,44,-1.89,6.33
AL-043,"Cullman County",8.89,105,2.7,6.19
AL-045,"Dale County",3.61,38,-2.08,5.69
AL-047,"Dallas County",5.85,74,-0.26,6.11
AL-049,"DeKalb County",7.58,94,1.34,6.24
AL-051,"Elmore County",5.78,68,-0.42,6.2
AL-053,"Escambia County",1.78,9,-4.51,6.29
AL-055,"Etowah County",9.48,110,3.22,6.26
AL-057,"Fayette County",9.05,108,2.87,6.18
AL-059,"Franklin County",8.76,105,2.64,6.12
AL-061,"Geneva County",1.93,10,-3.79,5.72
AL-063,"Greene County",7.87,101,1.92,5.95
AL-065,"Hale County",7.26,91,1.06,6.2
AL-067,"Henry County",3.92,44,-1.71,5.63
AL-069,"Houston County",2.66,22,-2.87,5.53
AL-071,"Jackson County",8.59,106,2.47,6.12
AL-073,"Jefferson County",8.01,100,1.78,6.23
AL-075,"Lamar County",8.5,107,2.48,6.02
AL-077,"Lauderdale County",9.96,116,3.89,6.07
AL-079,"Lawrence County",8.93,109,3.06,5.87
AL-081,"Lee County",5.71,66,-0.56,6.27
AL-083,"Limestone County",10.15,118,4.16,5.99
AL-085,"Lowndes County",5.27,61,-0.8,6.07
AL-087,"Macon County",4.97,56,-1.24,6.21
AL-089,"Madison County",10.13,117,4.09,6.04
AL-091,"Marengo County",5.44,64,-0.78,6.22
AL-093,"Marion County",8.71,105,2.52,6.19
AL-095,"Marshall County",8.49,105,2.32,6.17
AL-097,"Mobile County",0.98,5,-5.35,6.33
AL-099,"Monroe County",2.66,14,-3.6,6.26
AL-101,"Montgomery County",5.11,57,-1.01,6.12
AL-103,"Morgan County",9.34,112,3.35,5.99
AL-105,"Perry County",6.67,81,0.45,6.22
AL-107,"Pickens County",8.02,107,2.17,5.85
AL-109,"Pike County",5.2,50,-1.09,6.29
AL-111,"Randolph County",7.65,93,1.3,6.35
AL-113,"Russell County",4.96,59,-0.77,5.73
AL-115,"St. Clair County",9.6,109,3.28,6.32
AL-117,"Shelby County",8.38,100,2.02,6.36
AL-119,"Sumter County",6.65,85,0.54,6.11
AL-121,"Talladega County",8.79,101,2.53,6.26
AL-123,"Tallapoosa County",6.31,71,-0.12,6.43
AL-125,"Tuscaloosa County",7.25,92,1.03,6.22
AL-127,"Walker County",8.52,101,2.29,6.23
AL-129,"Washington County",2.34,11,-4.1,6.44
AL-131,"Wilcox County",4.93,50,-1.23,6.16
AL-133,"Winston County",8.52,101,2.37,6.15
