March 2020 Illinois County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IL-001,"Adams County",3.65,91,0.87,2.78
IL-003,"Alexander County",7.35,109,2.83,4.52
IL-005,"Bond County",4.07,88,0.57,3.5
IL-007,"Boone County",4.19,118,1.93,2.26
IL-009,"Brown County",3.51,86,0.54,2.97
IL-011,"Bureau County",3.15,85,0.53,2.62
IL-013,"Calhoun County",3.69,85,0.48,3.21
IL-015,"Carroll County",4.04,114,1.81,2.23
IL-017,"Cass County",3.08,71,0.05,3.03
IL-019,"Champaign County",3.31,81,0.24,3.07
IL-021,"Christian County",3.6,87,0.53,3.07
IL-023,"Clark County",4.51,94,0.97,3.54
IL-025,"Clay County",5.78,107,2.12,3.66
IL-027,"Clinton County",4.21,88,0.66,3.55
IL-029,"Coles County",4.17,93,0.89,3.28
IL-031,"Cook County",3.14,88,0.58,2.56
IL-033,"Crawford County",5.9,106,2.16,3.74
IL-035,"Cumberland County",4.27,90,0.81,3.46
IL-037,"DeKalb County",3.95,111,1.51,2.44
IL-039,"De Witt County",3.28,76,0.2,3.08
IL-041,"Douglas County",4.11,97,0.93,3.18
IL-043,"DuPage County",3.4,95,0.9,2.5
IL-045,"Edgar County",4.3,93,0.92,3.38
IL-047,"Edwards County",7.73,115,3.7,4.03
IL-049,"Effingham County",4.56,94,1.04,3.52
IL-051,"Fayette County",4.22,90,0.81,3.41
IL-053,"Ford County",2.82,64,-0.07,2.89
IL-055,"Franklin County",6.16,103,2.07,4.09
IL-057,"Fulton County",2.43,57,-0.37,2.8
IL-059,"Gallatin County",6.46,103,2.0,4.46
IL-061,"Greene County",3.63,87,0.51,3.12
IL-063,"Grundy County",2.41,62,-0.23,2.64
IL-065,"Hamilton County",7.07,111,3.0,4.07
IL-067,"Hancock County",2.9,76,0.22,2.68
IL-069,"Hardin County",7.03,107,2.41,4.62
IL-071,"Henderson County",2.55,67,-0.05,2.6
IL-073,"Henry County",3.36,92,0.8,2.56
IL-075,"Iroquois County",2.47,55,-0.44,2.91
IL-077,"Jackson County",5.21,90,1.11,4.1
IL-079,"Jasper County",5.03,101,1.41,3.62
IL-081,"Jefferson County",6.35,110,2.45,3.9
IL-083,"Jersey County",3.27,76,0.02,3.25
IL-085,"Jo Daviess County",3.76,113,1.62,2.14
IL-087,"Johnson County",6.78,105,2.27,4.51
IL-089,"Kane County",3.64,103,1.21,2.43
IL-091,"Kankakee County",2.39,57,-0.42,2.81
IL-093,"Kendall County",2.76,82,0.29,2.47
IL-095,"Knox County",2.44,62,-0.24,2.68
IL-097,"Lake County",4.13,118,1.78,2.35
IL-099,"LaSalle County",2.65,75,0.13,2.52
IL-101,"Lawrence County",7.3,113,3.37,3.93
IL-103,"Lee County",4.38,116,1.92,2.46
IL-105,"Livingston County",2.56,65,-0.1,2.66
IL-107,"Logan County",2.9,70,-0.11,3.01
IL-109,"McDonough County",2.65,70,-0.09,2.74
IL-111,"McHenry County",4.17,117,1.8,2.37
IL-113,"McLean County",2.79,64,-0.11,2.9
IL-115,"Macon County",3.78,90,0.58,3.2
IL-117,"Macoupin County",3.55,84,0.29,3.26
IL-119,"Madison County",4.12,90,0.72,3.4
IL-121,"Marion County",4.94,98,1.27,3.67
IL-123,"Marshall County",2.79,71,0.14,2.65
IL-125,"Mason County",2.42,53,-0.46,2.88
IL-127,"Massac County",7.21,106,2.47,4.74
IL-129,"Menard County",2.42,51,-0.52,2.94
IL-131,"Mercer County",2.78,78,0.27,2.51
IL-133,"Monroe County",3.97,82,0.48,3.49
IL-135,"Montgomery County",3.53,84,0.28,3.25
IL-137,"Morgan County",3.66,88,0.64,3.02
IL-139,"Moultrie County",3.88,90,0.67,3.21
IL-141,"Ogle County",4.91,122,2.59,2.32
IL-143,"Peoria County",2.75,68,0.02,2.73
IL-145,"Perry County",5.39,98,1.55,3.84
IL-147,"Piatt County",3.34,81,0.2,3.14
IL-149,"Pike County",4.11,97,1.13,2.98
IL-151,"Pope County",7.29,108,2.65,4.64
IL-153,"Pulaski County",7.21,106,2.58,4.63
IL-155,"Putnam County",2.55,66,-0.04,2.59
IL-157,"Randolph County",4.63,86,1.01,3.62
IL-159,"Richland County",6.96,113,3.2,3.76
IL-161,"Rock Island County",4.02,108,1.52,2.5
IL-163,"St. Clair County",4.22,90,0.79,3.43
IL-165,"Saline County",6.83,108,2.52,4.31
IL-167,"Sangamon County",2.86,68,-0.17,3.03
IL-169,"Schuyler County",2.89,69,-0.03,2.92
IL-171,"Scott County",3.93,97,0.96,2.97
IL-173,"Shelby County",3.94,91,0.68,3.26
IL-175,"Stark County",2.67,66,-0.01,2.68
IL-177,"Stephenson County",3.86,114,1.69,2.17
IL-179,"Tazewell County",2.79,68,-0.08,2.87
IL-181,"Union County",6.32,105,1.95,4.37
IL-183,"Vermilion County",3.88,96,0.87,3.01
IL-185,"Wabash County",7.78,115,3.7,4.08
IL-187,"Warren County",2.36,65,-0.28,2.64
IL-189,"Washington County",4.89,95,1.23,3.66
IL-191,"Wayne County",7.24,114,3.36,3.88
IL-193,"White County",6.48,104,2.2,4.28
IL-195,"Whiteside County",4.5,116,2.05,2.45
IL-197,"Will County",2.68,69,0.01,2.67
IL-199,"Williamson County",6.07,103,1.84,4.23
IL-201,"Winnebago County",4.1,118,1.91,2.19
IL-203,"Woodford County",2.81,73,0.07,2.74
