March 2020 Indiana County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IN-001,"Adams County",3.57,85,0.52,3.05
IN-003,"Allen County",3.35,86,0.48,2.87
IN-005,"Bartholomew County",5.39,100,1.47,3.92
IN-007,"Benton County",2.89,64,-0.12,3.01
IN-009,"Blackford County",5.12,114,1.91,3.21
IN-011,"Boone County",4.25,94,0.93,3.32
IN-013,"Brown County",6.03,108,2.04,3.99
IN-015,"Carroll County",3.15,77,0.12,3.03
IN-017,"Cass County",3.1,74,0.11,2.99
IN-019,"Clark County",5.52,94,1.13,4.39
IN-021,"Clay County",4.74,97,1.1,3.64
IN-023,"Clinton County",3.67,82,0.47,3.2
IN-025,"Crawford County",6.36,103,1.78,4.58
IN-027,"Daviess County",6.43,110,2.38,4.05
IN-029,"Dearborn County",5.78,102,1.78,4
IN-031,"Decatur County",5.97,108,2.04,3.93
IN-033,"DeKalb County",3.48,99,0.72,2.76
IN-035,"Delaware County",5.25,110,1.9,3.35
IN-037,"Dubois County",6.58,106,2.21,4.37
IN-039,"Elkhart County",2.35,59,-0.22,2.57
IN-041,"Fayette County",6.71,117,3.0,3.71
IN-043,"Floyd County",5.29,84,0.74,4.55
IN-045,"Fountain County",3.64,85,0.54,3.1
IN-047,"Franklin County",6.3,112,2.44,3.86
IN-049,"Fulton County",2.92,67,0.07,2.85
IN-051,"Gibson County",7.42,113,3.2,4.22
IN-053,"Grant County",3.82,84,0.61,3.21
IN-055,"Greene County",6.34,109,2.35,3.99
IN-057,"Hamilton County",4.12,94,0.82,3.3
IN-059,"Hancock County",4.9,102,1.41,3.49
IN-061,"Harrison County",5.58,89,0.97,4.61
IN-063,"Hendricks County",4.2,91,0.73,3.47
IN-065,"Henry County",5.29,105,1.75,3.54
IN-067,"Howard County",3.37,78,0.25,3.12
IN-069,"Huntington County",3.11,74,-0.01,3.12
IN-071,"Jackson County",5.89,103,1.77,4.12
IN-073,"Jasper County",2.73,65,-0.15,2.88
IN-075,"Jay County",5.1,112,1.82,3.28
IN-077,"Jefferson County",6.42,105,2.14,4.28
IN-079,"Jennings County",6.09,106,1.96,4.13
IN-081,"Johnson County",5.73,107,1.99,3.74
IN-083,"Knox County",7.02,113,3.04,3.98
IN-085,"Kosciusko County",2.64,60,-0.1,2.74
IN-087,"LaGrange County",2.65,75,0.09,2.56
IN-089,"Lake County",2.49,63,-0.23,2.72
IN-091,"LaPorte County",2.29,50,-0.55,2.84
IN-093,"Lawrence County",6.65,108,2.41,4.24
IN-095,"Madison County",4.85,105,1.54,3.31
IN-097,"Marion County",4.2,91,0.69,3.51
IN-099,"Marshall County",2.61,58,-0.2,2.81
IN-101,"Martin County",6.73,110,2.55,4.18
IN-103,"Miami County",2.86,60,-0.17,3.03
IN-105,"Monroe County",6.48,109,2.39,4.09
IN-107,"Montgomery County",4.46,104,1.23,3.23
IN-109,"Morgan County",5.98,109,2.27,3.71
IN-111,"Newton County",2.39,54,-0.54,2.93
IN-113,"Noble County",2.69,70,0.03,2.66
IN-115,"Ohio County",5.87,101,1.72,4.15
IN-117,"Orange County",6.73,108,2.33,4.4
IN-119,"Owen County",6.01,108,2.13,3.88
IN-121,"Parke County",3.58,79,0.21,3.37
IN-123,"Perry County",6.06,96,1.41,4.65
IN-125,"Pike County",6.82,112,2.56,4.26
IN-127,"Porter County",2.41,56,-0.35,2.76
IN-129,"Posey County",6.44,101,1.93,4.51
IN-131,"Pulaski County",3.13,77,0.26,2.87
IN-133,"Putnam County",4.64,97,1.09,3.55
IN-135,"Randolph County",5.55,111,2.11,3.44
IN-137,"Ripley County",6.22,106,2.08,4.14
IN-139,"Rush County",6.14,112,2.43,3.71
IN-141,"St. Joseph County",2.37,51,-0.43,2.8
IN-143,"Scott County",6.18,105,2.0,4.18
IN-145,"Shelby County",5.89,111,2.18,3.71
IN-147,"Spencer County",6.51,102,1.97,4.54
IN-149,"Starke County",2.75,62,-0.12,2.87
IN-151,"Steuben County",3.18,91,0.5,2.68
IN-153,"Sullivan County",5.96,109,2.26,3.7
IN-155,"Switzerland County",6.12,105,1.87,4.25
IN-157,"Tippecanoe County",3.02,70,-0.04,3.06
IN-159,"Tipton County",3.85,86,0.69,3.16
IN-161,"Union County",6.48,116,2.83,3.65
IN-163,"Vanderburgh County",6.93,108,2.43,4.5
IN-165,"Vermillion County",3.85,86,0.6,3.25
IN-167,"Vigo County",4.52,95,0.97,3.55
IN-169,"Wabash County",2.83,64,-0.22,3.05
IN-171,"Warren County",3.33,78,0.33,3
IN-173,"Warrick County",7.03,108,2.58,4.45
IN-175,"Washington County",6.02,101,1.62,4.4
IN-177,"Wayne County",5.43,104,1.91,3.52
IN-179,"Wells County",3.64,85,0.55,3.09
IN-181,"White County",3.0,69,0.1,2.9
IN-183,"Whitley County",2.91,70,0.03,2.88
