March 2020 Iowa County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
IA-001,"Adair County",2.77,99,0.84,1.93
IA-003,"Adams County",2.79,96,0.87,1.92
IA-005,"Allamakee County",2.95,106,0.98,1.97
IA-007,"Appanoose County",3.15,96,0.84,2.31
IA-009,"Audubon County",2.21,87,0.33,1.88
IA-011,"Benton County",2.77,92,0.65,2.12
IA-013,"Black Hawk County",2.89,101,0.82,2.07
IA-015,"Boone County",2.51,95,0.71,1.8
IA-017,"Bremer County",3.31,113,1.26,2.05
IA-019,"Buchanan County",3.32,114,1.31,2.01
IA-021,"Buena Vista County",2.92,113,1.3,1.62
IA-023,"Butler County",3.48,112,1.43,2.05
IA-025,"Calhoun County",3.36,114,1.54,1.82
IA-027,"Carroll County",2.62,98,0.8,1.82
IA-029,"Cass County",2.27,85,0.41,1.86
IA-031,"Cedar County",3.54,103,1.11,2.43
IA-033,"Cerro Gordo County",2.62,103,0.86,1.76
IA-035,"Cherokee County",2.93,113,1.37,1.56
IA-037,"Chickasaw County",3.35,116,1.42,1.93
IA-039,"Clarke County",2.79,96,0.75,2.04
IA-041,"Clay County",2.51,106,0.9,1.61
IA-043,"Clayton County",3.85,120,1.8,2.05
IA-045,"Clinton County",3.71,107,1.28,2.43
IA-047,"Crawford County",2.83,109,1.17,1.66
IA-049,"Dallas County",2.83,102,0.94,1.89
IA-051,"Davis County",3.58,104,1.23,2.35
IA-053,"Decatur County",2.49,85,0.44,2.05
IA-055,"Delaware County",3.61,115,1.58,2.03
IA-057,"Des Moines County",2.57,71,0.02,2.55
IA-059,"Dickinson County",2.45,107,0.87,1.58
IA-061,"Dubuque County",3.12,104,0.98,2.14
IA-063,"Emmet County",2.26,95,0.57,1.69
IA-065,"Fayette County",3.42,113,1.38,2.04
IA-067,"Floyd County",3.36,118,1.45,1.91
IA-069,"Franklin County",2.94,106,1.01,1.93
IA-071,"Fremont County",1.9,72,-0.04,1.94
IA-073,"Greene County",2.75,98,0.87,1.88
IA-075,"Grundy County",3.05,104,0.97,2.08
IA-077,"Guthrie County",2.62,98,0.68,1.94
IA-079,"Hamilton County",2.92,104,1.12,1.8
IA-081,"Hancock County",2.67,107,1.02,1.65
IA-083,"Hardin County",2.91,106,0.94,1.97
IA-085,"Harrison County",2.57,100,0.88,1.69
IA-087,"Henry County",2.88,86,0.4,2.48
IA-089,"Howard County",2.91,107,0.95,1.96
IA-091,"Humboldt County",3.36,118,1.64,1.72
IA-093,"Ida County",3.08,115,1.45,1.63
IA-095,"Iowa County",3.3,105,1.12,2.18
IA-097,"Jackson County",3.62,109,1.35,2.27
IA-099,"Jasper County",3.06,103,1.01,2.05
IA-101,"Jefferson County",3.1,94,0.77,2.33
IA-103,"Johnson County",3.48,106,1.25,2.23
IA-105,"Jones County",2.85,96,0.64,2.21
IA-107,"Keokuk County",3.22,104,1.06,2.16
IA-109,"Kossuth County",2.64,109,1.02,1.62
IA-111,"Lee County",2.95,81,0.39,2.56
IA-113,"Linn County",2.89,98,0.78,2.11
IA-115,"Louisa County",2.97,88,0.58,2.39
IA-117,"Lucas County",2.78,95,0.68,2.1
IA-119,"Lyon County",2.24,102,0.76,1.48
IA-121,"Madison County",2.78,101,0.84,1.94
IA-123,"Mahaska County",3.18,102,0.99,2.19
IA-125,"Marion County",3.11,104,1.01,2.1
IA-127,"Marshall County",3.18,107,1.11,2.07
IA-129,"Mills County",2.05,83,0.23,1.82
IA-131,"Mitchell County",2.57,98,0.68,1.89
IA-133,"Monona County",3.19,111,1.5,1.69
IA-135,"Monroe County",2.94,100,0.73,2.21
IA-137,"Montgomery County",2.16,81,0.24,1.92
IA-139,"Muscatine County",3.27,95,0.87,2.4
IA-141,"O'Brien County",2.34,101,0.77,1.57
IA-143,"Osceola County",2.13,98,0.57,1.56
IA-145,"Page County",2.0,75,0.02,1.98
IA-147,"Palo Alto County",2.5,102,0.81,1.69
IA-149,"Plymouth County",2.64,108,1.15,1.49
IA-151,"Pocahontas County",3.09,115,1.4,1.69
IA-153,"Polk County",3.01,104,1.1,1.91
IA-155,"Pottawattamie County",2.07,85,0.31,1.76
IA-157,"Poweshiek County",2.98,99,0.79,2.19
IA-159,"Ringgold County",2.58,89,0.54,2.04
IA-161,"Sac County",2.94,112,1.24,1.7
IA-163,"Scott County",4.06,108,1.54,2.52
IA-165,"Shelby County",2.26,92,0.51,1.75
IA-167,"Sioux County",2.39,101,0.9,1.49
IA-169,"Story County",2.86,101,1.01,1.85
IA-171,"Tama County",2.89,92,0.69,2.2
IA-173,"Taylor County",2.53,84,0.5,2.03
IA-175,"Union County",2.68,92,0.7,1.98
IA-177,"Van Buren County",3.02,92,0.66,2.36
IA-179,"Wapello County",3.42,102,1.15,2.27
IA-181,"Warren County",2.89,101,0.88,2.01
IA-183,"Washington County",3.25,100,0.93,2.32
IA-185,"Wayne County",2.71,92,0.51,2.2
IA-187,"Webster County",3.43,115,1.56,1.87
IA-189,"Winnebago County",2.88,109,1.19,1.69
IA-191,"Winneshiek County",2.71,101,0.73,1.98
IA-193,"Woodbury County",3.11,118,1.54,1.57
IA-195,"Worth County",2.62,103,0.82,1.8
IA-197,"Wright County",2.98,109,1.2,1.78
