March 2020 Kentucky County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
KY-001,"Adair County",8.37,117,3.28,5.09
KY-003,"Allen County",8.42,116,3.26,5.16
KY-005,"Anderson County",5.38,83,0.75,4.63
KY-007,"Ballard County",7.6,111,2.92,4.68
KY-009,"Barren County",9.36,121,4.26,5.1
KY-011,"Bath County",4.43,60,-0.22,4.65
KY-013,"Bell County",8.84,115,3.59,5.25
KY-015,"Boone County",5.54,97,1.45,4.09
KY-017,"Bourbon County",4.82,73,0.28,4.54
KY-019,"Boyd County",4.24,73,0.15,4.09
KY-021,"Boyle County",7.0,113,2.24,4.76
KY-023,"Bracken County",4.25,68,-0.13,4.38
KY-025,"Breathitt County",7.89,119,3.33,4.56
KY-027,"Breckinridge County",5.31,82,0.57,4.74
KY-029,"Bullitt County",4.83,71,0.18,4.65
KY-031,"Butler County",8.63,120,3.82,4.81
KY-033,"Caldwell County",7.22,111,2.44,4.78
KY-035,"Calloway County",7.34,106,2.31,5.03
KY-037,"Campbell County",4.84,88,0.71,4.13
KY-039,"Carlisle County",7.77,112,3.08,4.69
KY-041,"Carroll County",6.28,106,1.95,4.33
KY-043,"Carter County",3.91,63,-0.22,4.13
KY-045,"Casey County",8.26,116,3.31,4.95
KY-047,"Christian County",7.36,109,2.38,4.98
KY-049,"Clark County",5.15,82,0.58,4.57
KY-051,"Clay County",8.67,119,3.83,4.84
KY-053,"Clinton County",8.64,114,3.27,5.37
KY-055,"Crittenden County",7.09,109,2.39,4.7
KY-057,"Cumberland County",8.65,116,3.3,5.35
KY-059,"Daviess County",6.29,100,1.7,4.59
KY-061,"Edmonson County",9.61,122,4.63,4.98
KY-063,"Elliott County",4.55,78,0.34,4.21
KY-065,"Estill County",6.17,105,1.65,4.52
KY-067,"Fayette County",5.27,84,0.77,4.5
KY-069,"Fleming County",4.07,57,-0.42,4.49
KY-071,"Floyd County",6.71,118,2.52,4.19
KY-073,"Franklin County",5.12,80,0.6,4.52
KY-075,"Fulton County",7.02,105,2.19,4.83
KY-077,"Gallatin County",5.99,105,1.74,4.25
KY-079,"Garrard County",7.07,114,2.44,4.63
KY-081,"Grant County",5.58,98,1.31,4.27
KY-083,"Graves County",7.34,107,2.41,4.93
KY-085,"Grayson County",7.75,115,2.94,4.81
KY-087,"Green County",7.45,114,2.48,4.97
KY-089,"Greenup County",3.7,61,-0.38,4.08
KY-091,"Hancock County",5.64,93,0.99,4.65
KY-093,"Hardin County",6.14,93,1.39,4.75
KY-095,"Harlan County",8.21,113,2.91,5.3
KY-097,"Harrison County",4.39,68,-0.01,4.4
KY-099,"Hart County",9.04,120,4.1,4.94
KY-101,"Henderson County",6.49,102,1.91,4.58
KY-103,"Henry County",5.63,92,1.12,4.51
KY-105,"Hickman County",7.44,109,2.68,4.76
KY-107,"Hopkins County",7.22,110,2.54,4.68
KY-109,"Jackson County",7.91,116,3.1,4.81
KY-111,"Jefferson County",4.94,79,0.39,4.55
KY-113,"Jessamine County",6.16,104,1.66,4.5
KY-115,"Johnson County",6.11,113,1.95,4.16
KY-117,"Kenton County",5.24,95,1.12,4.12
KY-119,"Knott County",7.54,118,3.08,4.46
KY-121,"Knox County",9.39,118,4.35,5.04
KY-123,"Larue County",6.55,103,1.69,4.86
KY-125,"Laurel County",9.33,120,4.38,4.95
KY-127,"Lawrence County",5.3,98,1.13,4.17
KY-129,"Lee County",7.14,113,2.53,4.61
KY-131,"Leslie County",8.08,117,3.27,4.81
KY-133,"Letcher County",7.12,116,2.56,4.56
KY-135,"Lewis County",3.77,59,-0.5,4.27
KY-137,"Lincoln County",7.64,116,2.83,4.81
KY-139,"Livingston County",7.28,108,2.54,4.74
KY-141,"Logan County",9.18,120,4.14,5.04
KY-143,"Lyon County",7.18,106,2.35,4.83
KY-145,"McCracken County",7.28,105,2.49,4.79
KY-147,"McCreary County",8.5,112,3.35,5.15
KY-149,"McLean County",6.7,107,2.08,4.62
KY-151,"Madison County",6.27,105,1.77,4.5
KY-153,"Magoffin County",7.15,118,2.86,4.29
KY-155,"Marion County",6.21,97,1.33,4.88
KY-157,"Marshall County",7.25,106,2.38,4.87
KY-159,"Martin County",6.03,110,1.7,4.33
KY-161,"Mason County",4.06,59,-0.33,4.39
KY-163,"Meade County",5.47,88,0.76,4.71
KY-165,"Menifee County",4.96,77,0.35,4.61
KY-167,"Mercer County",6.33,104,1.72,4.61
KY-169,"Metcalfe County",8.49,116,3.33,5.16
KY-171,"Monroe County",8.68,115,3.27,5.41
KY-173,"Montgomery County",4.87,70,0.12,4.75
KY-175,"Morgan County",5.69,98,1.33,4.36
KY-177,"Muhlenberg County",7.96,118,3.21,4.75
KY-179,"Nelson County",5.0,74,0.24,4.76
KY-181,"Nicholas County",4.47,66,-0.08,4.55
KY-183,"Ohio County",6.96,109,2.32,4.64
