March 2020 Maryland County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MD-001,"Allegany County",2.7,53,-0.62,3.32
MD-003,"Anne Arundel County",2.68,37,-1.06,3.74
MD-005,"Baltimore County",3.13,53,-0.58,3.71
MD-009,"Calvert County",2.5,26,-1.35,3.85
MD-011,"Caroline County",3.24,50,-0.69,3.93
MD-013,"Carroll County",3.03,50,-0.59,3.62
MD-015,"Cecil County",2.79,40,-1.06,3.85
MD-017,"Charles County",2.15,19,-1.52,3.67
MD-019,"Dorchester County",2.94,37,-1.01,3.95
MD-021,"Frederick County",2.79,43,-0.79,3.58
MD-023,"Garrett County",3.21,46,-0.89,4.1
MD-025,"Harford County",2.72,42,-1.08,3.8
MD-027,"Howard County",3.03,53,-0.58,3.61
MD-029,"Kent County",2.51,29,-1.31,3.82
MD-031,"Montgomery County",2.66,39,-0.86,3.52
MD-033,"Prince George's County",2.53,31,-1.16,3.69
MD-035,"Queen Anne's County",2.56,31,-1.28,3.84
MD-037,"St. Mary's County",2.51,29,-1.35,3.86
MD-039,"Somerset County",3.53,56,-0.55,4.08
MD-041,"Talbot County",2.61,31,-1.3,3.91
MD-043,"Washington County",2.71,44,-0.65,3.36
MD-045,"Wicomico County",3.4,50,-0.66,4.06
MD-047,"Worcester County",3.78,67,-0.33,4.11
MD-510,"Baltimore City",3.11,54,-0.61,3.72
MD-511,"",2.49,35,-1.1,3.59
