March 2020 Arizona County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AZ-001,"Apache County",1.34,90,0.22,1.12
AZ-003,"Cochise County",2.57,123,1.78,0.79
AZ-005,"Coconino County",2.2,108,0.89,1.31
AZ-007,"Gila County",3.24,104,1.14,2.1
AZ-009,"Graham County",1.82,104,0.64,1.18
AZ-011,"Greenlee County",1.89,108,0.71,1.18
AZ-012,"La Paz County",2.22,124,1.68,0.54
AZ-013,"Maricopa County",2.58,118,1.63,0.95
AZ-015,"Mohave County",3.75,125,2.63,1.12
AZ-017,"Navajo County",1.67,109,0.66,1.01
AZ-019,"Pima County",1.48,106,0.59,0.89
AZ-021,"Pinal County",1.64,99,0.48,1.16
AZ-023,"Santa Cruz County",2.26,113,1.19,1.07
AZ-025,"Yavapai County",4.35,120,2.72,1.63
AZ-027,"Yuma County",2.11,125,1.68,0.43
