March 2020 Michigan County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MI-001,"Alcona County",2.25,81,0.24,2.01
MI-003,"Alger County",3.3,118,1.38,1.92
MI-005,"Allegan County",3.1,98,0.67,2.43
MI-007,"Alpena County",2.49,95,0.56,1.93
MI-009,"Antrim County",2.82,108,0.99,1.83
MI-011,"Arenac County",1.92,69,0.01,1.91
MI-013,"Baraga County",2.75,108,0.89,1.86
MI-015,"Barry County",2.95,95,0.66,2.29
MI-017,"Bay County",2.13,79,0.2,1.93
MI-019,"Benzie County",3.24,114,1.35,1.89
MI-021,"Berrien County",2.71,68,0.02,2.69
MI-023,"Branch County",2.88,86,0.37,2.51
MI-025,"Calhoun County",2.76,83,0.33,2.43
MI-027,"Cass County",2.65,69,0.05,2.6
MI-029,"Charlevoix County",2.84,105,1.0,1.84
MI-031,"Cheboygan County",2.69,109,0.94,1.75
MI-033,"Chippewa County",3.1,113,1.05,2.05
MI-035,"Clare County",2.49,89,0.49,2
MI-037,"Clinton County",2.61,83,0.49,2.12
MI-039,"Crawford County",2.63,104,0.74,1.89
MI-041,"Delta County",3.43,118,1.55,1.88
MI-043,"Dickinson County",2.79,111,1.08,1.71
MI-045,"Eaton County",2.87,97,0.63,2.24
MI-047,"Emmet County",3.02,116,1.19,1.83
MI-049,"Genesee County",2.43,90,0.41,2.02
MI-051,"Gladwin County",2.04,67,0.1,1.94
MI-053,"Gogebic County",2.48,101,0.71,1.77
MI-055,"Grand Traverse County",2.74,109,0.95,1.79
MI-057,"Gratiot County",2.3,79,0.23,2.07
MI-059,"Hillsdale County",3.14,90,0.48,2.66
MI-061,"Houghton County",2.17,93,0.43,1.74
MI-063,"Huron County",2.14,79,0.15,1.99
MI-065,"Ingham County",3.06,106,0.88,2.18
MI-067,"Ionia County",3.12,105,0.91,2.21
MI-069,"Iosco County",1.99,66,-0.03,2.02
MI-071,"Iron County",2.65,106,0.97,1.68
MI-073,"Isabella County",2.44,85,0.39,2.05
MI-075,"Jackson County",3.52,109,1.23,2.29
MI-077,"Kalamazoo County",2.91,86,0.5,2.41
MI-079,"Kalkaska County",2.8,111,0.96,1.84
MI-081,"Kent County",3.19,106,0.86,2.33
MI-083,"Keweenaw County",2.74,112,0.99,1.75
MI-085,"Lake County",3.41,115,1.34,2.07
MI-087,"Lapeer County",2.28,84,0.26,2.02
MI-089,"Leelanau County",3.07,115,1.26,1.81
MI-091,"Lenawee County",3.27,100,0.82,2.45
MI-093,"Livingston County",3.07,107,0.91,2.16
MI-095,"Luce County",3.48,116,1.49,1.99
MI-097,"Mackinac County",3.44,118,1.46,1.98
MI-099,"Macomb County",2.75,93,0.54,2.21
MI-101,"Manistee County",3.57,118,1.63,1.94
MI-103,"Marquette County",3.0,114,1.07,1.93
MI-105,"Mason County",3.47,118,1.48,1.99
MI-107,"Mecosta County",2.98,98,0.85,2.13
MI-109,"Menominee County",3.3,117,1.52,1.78
MI-111,"Midland County",2.19,74,0.2,1.99
MI-113,"Missaukee County",2.73,106,0.82,1.91
MI-115,"Monroe County",3.55,108,1.22,2.33
MI-117,"Montcalm County",3.21,105,1.0,2.21
MI-119,"Montmorency County",2.27,93,0.52,1.75
MI-121,"Muskegon County",2.99,99,0.76,2.23
MI-123,"Newaygo County",3.03,99,0.81,2.22
MI-125,"Oakland County",3.0,104,0.84,2.16
MI-127,"Oceana County",2.96,100,0.86,2.1
MI-129,"Ogemaw County",2.12,71,0.16,1.96
MI-131,"Ontonagon County",2.22,93,0.49,1.73
MI-133,"Osceola County",2.93,102,0.89,2.04
MI-135,"Oscoda County",2.19,84,0.29,1.9
MI-137,"Otsego County",2.53,103,0.74,1.79
MI-139,"Ottawa County",3.12,97,0.78,2.34
MI-141,"Presque Isle County",2.52,104,0.7,1.82
MI-143,"Roscommon County",2.44,94,0.46,1.98
MI-145,"Saginaw County",2.37,89,0.36,2.01
MI-147,"St. Clair County",2.15,63,-0.01,2.16
MI-149,"St. Joseph County",2.79,81,0.32,2.47
MI-151,"Sanilac County",2.08,75,0.01,2.07
MI-153,"Schoolcraft County",3.8,121,1.86,1.94
MI-155,"Shiawassee County",2.59,93,0.52,2.07
MI-157,"Tuscola County",2.16,86,0.19,1.97
MI-159,"Van Buren County",3.03,90,0.5,2.53
MI-161,"Washtenaw County",3.66,115,1.53,2.13
MI-163,"Wayne County",3.44,108,1.18,2.26
MI-165,"Wexford County",3.07,112,1.12,1.95
