March 2020 Minnesota County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MN-001,"Aitkin County",1.31,74,0.03,1.28
MN-003,"Anoka County",1.99,93,0.5,1.49
MN-005,"Becker County",0.34,11,-0.68,1.02
MN-007,"Beltrami County",0.33,14,-0.6,0.93
MN-009,"Benton County",1.86,103,0.59,1.27
MN-011,"Big Stone County",0.36,15,-0.77,1.13
MN-013,"Blue Earth County",2.98,117,1.45,1.53
MN-015,"Brown County",2.12,100,0.56,1.56
MN-017,"Carlton County",1.68,88,0.29,1.39
MN-019,"Carver County",2.74,113,1.21,1.53
MN-021,"Cass County",0.4,14,-0.77,1.17
MN-023,"Chippewa County",1.13,62,-0.15,1.28
MN-025,"Chisago County",1.86,92,0.36,1.5
MN-027,"Clay County",0.16,5,-0.72,0.88
MN-029,"Clearwater County",0.29,12,-0.69,0.98
MN-031,"Cook County",2.03,92,0.34,1.69
MN-033,"Cottonwood County",2.37,104,0.87,1.5
MN-035,"Crow Wing County",0.73,36,-0.43,1.16
MN-037,"Dakota County",2.95,113,1.31,1.64
MN-039,"Dodge County",2.74,108,1.02,1.72
MN-041,"Douglas County",0.34,8,-0.85,1.19
MN-043,"Faribault County",2.97,114,1.4,1.57
MN-045,"Fillmore County",2.64,98,0.72,1.92
MN-047,"Freeborn County",2.97,111,1.25,1.72
MN-049,"Goodhue County",2.5,103,0.86,1.64
MN-051,"Grant County",0.15,4,-0.97,1.12
MN-053,"Hennepin County",2.33,105,0.78,1.55
MN-055,"Houston County",2.76,105,0.83,1.93
MN-057,"Hubbard County",0.24,6,-0.92,1.16
MN-059,"Isanti County",1.71,88,0.26,1.45
MN-061,"Itasca County",0.57,25,-0.51,1.08
MN-063,"Jackson County",2.31,104,0.77,1.54
MN-065,"Kanabec County",1.93,98,0.55,1.38
MN-067,"Kandiyohi County",1.18,62,-0.11,1.29
MN-069,"Kittson County",0.21,15,-0.64,0.85
MN-071,"Koochiching County",0.56,23,-0.51,1.07
MN-073,"Lac qui Parle County",1.09,62,-0.19,1.28
MN-075,"Lake County",1.42,66,-0.0,1.42
MN-077,"Lake of the Woods County",0.4,23,-0.54,0.94
MN-079,"Le Sueur County",3.78,124,2.26,1.52
MN-081,"Lincoln County",1.39,77,0.05,1.34
MN-083,"Lyon County",1.86,89,0.48,1.38
MN-085,"McLeod County",2.35,108,0.88,1.47
MN-087,"Mahnomen County",0.27,12,-0.7,0.97
MN-089,"Marshall County",0.21,13,-0.57,0.78
MN-091,"Martin County",2.29,103,0.7,1.59
MN-093,"Meeker County",1.57,86,0.19,1.38
MN-095,"Mille Lacs County",2.01,103,0.68,1.33
MN-097,"Morrison County",1.14,67,-0.06,1.2
MN-099,"Mower County",2.54,97,0.64,1.9
MN-101,"Murray County",1.92,93,0.48,1.44
MN-103,"Nicollet County",2.72,114,1.16,1.56
MN-105,"Nobles County",1.87,90,0.3,1.57
MN-107,"Norman County",0.17,9,-0.7,0.87
MN-109,"Olmsted County",2.52,98,0.75,1.77
MN-111,"Otter Tail County",0.21,4,-0.87,1.08
MN-113,"Pennington County",0.2,11,-0.56,0.76
MN-115,"Pine County",1.92,96,0.48,1.44
MN-117,"Pipestone County",1.16,66,-0.14,1.3
MN-119,"Polk County",0.26,12,-0.58,0.84
MN-121,"Pope County",0.53,22,-0.65,1.18
MN-123,"Ramsey County",2.62,109,1.05,1.57
MN-125,"Red Lake County",0.22,11,-0.59,0.81
MN-127,"Redwood County",1.93,94,0.53,1.4
MN-129,"Renville County",1.56,89,0.16,1.4
MN-131,"Rice County",4.12,126,2.52,1.6
MN-133,"Rock County",1.67,87,0.25,1.42
MN-135,"Roseau County",0.32,22,-0.56,0.88
MN-137,"St. Louis County",1.09,59,-0.11,1.2
MN-139,"Scott County",3.14,116,1.55,1.59
MN-141,"Sherburne County",1.55,88,0.18,1.37
MN-143,"Sibley County",2.68,114,1.13,1.55
MN-145,"Stearns County",1.22,67,-0.03,1.25
MN-147,"Steele County",3.5,122,1.88,1.62
MN-149,"Stevens County",0.32,11,-0.8,1.12
MN-151,"Swift County",0.81,37,-0.39,1.2
MN-153,"Todd County",0.61,29,-0.6,1.21
MN-155,"Traverse County",0.09,2,-1.01,1.1
MN-157,"Wabasha County",3.05,116,1.28,1.77
MN-159,"Wadena County",0.29,6,-0.92,1.21
MN-161,"Waseca County",3.72,125,2.16,1.56
MN-163,"Washington County",2.61,107,1.02,1.59
MN-165,"Watonwan County",2.34,100,0.78,1.56
MN-167,"Wilkin County",0.09,2,-0.9,0.99
MN-169,"Winona County",2.95,110,1.08,1.87
MN-171,"Wright County",1.88,94,0.44,1.44
MN-173,"Yellow Medicine County",1.44,81,0.09,1.35
