March 2020 Mississippi County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MS-001,"Adams County",4.87,54,-0.8,5.67
MS-003,"Alcorn County",11.48,123,5.62,5.86
MS-005,"Amite County",3.33,24,-2.71,6.04
MS-007,"Attala County",7.09,97,1.23,5.86
MS-009,"Benton County",10.81,120,4.96,5.85
MS-011,"Bolivar County",9.87,117,4.23,5.64
MS-013,"Calhoun County",8.26,105,2.18,6.08
MS-015,"Carroll County",7.33,102,1.37,5.96
MS-017,"Chickasaw County",7.2,94,1.23,5.97
MS-019,"Choctaw County",7.15,94,1.19,5.96
MS-021,"Claiborne County",4.95,60,-0.79,5.74
MS-023,"Clarke County",5.34,58,-1.03,6.37
MS-025,"Clay County",7.86,105,1.94,5.92
MS-027,"Coahoma County",8.68,109,3.07,5.61
MS-029,"Copiah County",5.14,65,-0.65,5.79
MS-031,"Covington County",3.29,24,-2.74,6.03
MS-033,"DeSoto County",10.71,120,5.22,5.49
MS-035,"Forrest County",2.19,12,-4.15,6.34
MS-037,"Franklin County",4.41,43,-1.46,5.87
MS-039,"George County",1.25,8,-5.13,6.38
MS-041,"Greene County",2.11,12,-4.38,6.49
MS-043,"Grenada County",8.37,106,2.35,6.02
MS-045,"Hancock County",0.7,5,-5.15,5.85
MS-047,"Harrison County",0.49,4,-5.48,5.97
MS-049,"Hinds County",5.23,61,-0.4,5.63
MS-051,"Holmes County",7.48,102,1.63,5.85
MS-053,"Humphreys County",8.01,113,2.27,5.74
MS-055,"Issaquena County",5.94,80,0.22,5.72
MS-057,"Itawamba County",7.43,95,1.33,6.1
MS-059,"Jackson County",0.75,4,-5.35,6.1
MS-061,"Jasper County",5.43,60,-0.9,6.33
MS-063,"Jefferson County",5.09,60,-0.67,5.76
MS-065,"Jefferson Davis County",3.1,16,-3.05,6.15
MS-067,"Jones County",3.82,28,-2.53,6.35
MS-069,"Kemper County",6.59,84,0.67,5.92
MS-071,"Lafayette County",8.08,102,2.09,5.99
MS-073,"Lamar County",2.01,10,-4.31,6.32
MS-075,"Lauderdale County",5.78,67,-0.39,6.17
MS-077,"Lawrence County",4.12,36,-2.03,6.15
MS-079,"Leake County",7.15,98,1.15,6
MS-081,"Lee County",6.89,86,0.85,6.04
MS-083,"Leflore County",9.0,114,3.18,5.82
MS-085,"Lincoln County",4.88,52,-1.15,6.03
MS-087,"Lowndes County",7.73,100,1.97,5.76
MS-089,"Madison County",6.69,92,0.87,5.82
MS-091,"Marion County",2.24,11,-4.03,6.27
MS-093,"Marshall County",10.15,119,4.33,5.82
MS-095,"Monroe County",7.78,100,1.73,6.05
MS-097,"Montgomery County",6.93,87,0.99,5.94
MS-099,"Neshoba County",7.62,100,1.56,6.06
MS-101,"Newton County",6.55,79,0.4,6.15
MS-103,"Noxubee County",7.54,108,1.88,5.66
MS-105,"Oktibbeha County",7.38,98,1.51,5.87
MS-107,"Panola County",8.9,110,2.97,5.93
MS-109,"Pearl River County",1.5,8,-4.67,6.17
MS-111,"Perry County",2.12,12,-4.28,6.4
MS-113,"Pike County",2.73,17,-3.36,6.09
MS-115,"Pontotoc County",7.01,91,0.96,6.05
MS-117,"Prentiss County",9.13,112,3.09,6.04
MS-119,"Quitman County",8.94,112,3.17,5.77
MS-121,"Rankin County",5.8,76,0.07,5.73
MS-123,"Scott County",6.52,84,0.54,5.98
MS-125,"Sharkey County",6.33,84,0.63,5.7
MS-127,"Simpson County",5.15,58,-0.77,5.92
MS-129,"Smith County",5.33,62,-0.73,6.06
MS-131,"Stone County",1.1,6,-5.15,6.25
MS-133,"Sunflower County",10.43,120,4.64,5.79
MS-135,"Tallahatchie County",9.24,114,3.32,5.92
MS-137,"Tate County",10.05,118,4.37,5.68
MS-139,"Tippah County",10.68,119,4.76,5.92
MS-141,"Tishomingo County",10.28,116,4.2,6.08
MS-143,"Tunica County",10.17,120,4.61,5.56
MS-145,"Union County",8.26,107,2.24,6.02
MS-147,"Walthall County",2.43,14,-3.8,6.23
MS-149,"Warren County",5.21,60,-0.55,5.76
MS-151,"Washington County",8.04,114,2.38,5.66
MS-153,"Wayne County",3.91,29,-2.66,6.57
MS-155,"Webster County",7.77,103,1.85,5.92
MS-157,"Wilkinson County",3.42,26,-2.32,5.74
MS-159,"Winston County",7.82,102,1.91,5.91
MS-161,"Yalobusha County",9.23,111,3.01,6.22
MS-163,"Yazoo County",6.7,90,0.91,5.79
