March 2020 Missouri County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MO-001,"Adair County",3.53,99,1.0,2.53
MO-003,"Andrew County",2.76,84,0.65,2.11
MO-005,"Atchison County",1.75,61,-0.33,2.08
MO-007,"Audrain County",4.63,112,1.74,2.89
MO-009,"Barry County",8.67,121,5.05,3.62
MO-011,"Barton County",6.19,120,3.16,3.03
MO-013,"Bates County",5.33,118,2.41,2.92
MO-015,"Benton County",5.19,113,2.14,3.05
MO-017,"Bollinger County",6.54,108,2.3,4.24
MO-019,"Boone County",5.64,118,2.75,2.89
MO-021,"Buchanan County",3.4,100,1.14,2.26
MO-023,"Butler County",7.1,108,2.57,4.53
MO-025,"Caldwell County",3.88,109,1.45,2.43
MO-027,"Callaway County",4.97,114,2.05,2.92
MO-029,"Camden County",4.38,99,1.17,3.21
MO-031,"Cape Girardeau County",6.34,103,2.12,4.22
MO-033,"Carroll County",4.66,116,2.02,2.64
MO-035,"Carter County",8.81,118,4.67,4.14
MO-037,"Cass County",4.9,115,2.0,2.9
MO-039,"Cedar County",5.92,118,2.82,3.1
MO-041,"Chariton County",5.46,122,2.71,2.75
MO-043,"Christian County",9.3,124,5.84,3.46
MO-045,"Clark County",3.59,98,1.09,2.5
MO-047,"Clay County",3.6,105,1.16,2.44
MO-049,"Clinton County",3.59,106,1.25,2.34
MO-051,"Cole County",4.66,109,1.76,2.9
MO-053,"Cooper County",5.29,119,2.43,2.86
MO-055,"Crawford County",5.11,106,1.68,3.43
MO-057,"Dade County",6.56,121,3.39,3.17
MO-059,"Dallas County",4.95,106,1.64,3.31
MO-061,"Daviess County",3.39,99,1.06,2.33
MO-063,"DeKalb County",3.24,95,0.97,2.27
MO-065,"Dent County",6.46,113,2.75,3.71
MO-067,"Douglas County",9.02,121,5.34,3.68
MO-069,"Dunklin County",6.62,98,1.88,4.74
MO-071,"Franklin County",3.89,84,0.61,3.28
MO-073,"Gasconade County",4.13,99,0.98,3.15
MO-075,"Gentry County",2.46,79,0.3,2.16
MO-077,"Greene County",7.74,121,4.36,3.38
MO-079,"Grundy County",3.29,94,0.93,2.36
MO-081,"Harrison County",2.59,83,0.39,2.2
MO-083,"Henry County",5.37,117,2.34,3.03
MO-085,"Hickory County",5.4,110,2.28,3.12
MO-087,"Holt County",2.12,71,0.1,2.02
MO-089,"Howard County",5.89,121,3.02,2.87
MO-091,"Howell County",8.83,121,4.87,3.96
MO-093,"Iron County",6.23,108,2.28,3.95
MO-095,"Jackson County",4.16,110,1.5,2.66
MO-097,"Jasper County",7.53,124,4.35,3.18
MO-099,"Jefferson County",3.84,76,0.33,3.51
