March 2020 Montana County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MT-001,"Beaverhead County",1.62,54,-0.24,1.86
MT-003,"Big Horn County",0.47,11,-0.57,1.04
MT-005,"Blaine County",0.65,76,-0.01,0.66
MT-007,"Broadwater County",0.79,34,-0.29,1.08
MT-009,"Carbon County",1.13,43,-0.22,1.35
MT-011,"Carter County",0.27,13,-0.45,0.72
MT-013,"Cascade County",0.73,35,-0.33,1.06
MT-015,"Chouteau County",0.55,52,-0.17,0.72
MT-017,"Custer County",0.22,12,-0.5,0.72
MT-019,"Daniels County",0.22,29,-0.33,0.55
MT-021,"Dawson County",0.42,48,-0.14,0.56
MT-023,"Deer Lodge County",1.2,15,-0.71,1.91
MT-025,"Fallon County",0.23,19,-0.4,0.63
MT-027,"Fergus County",0.65,50,-0.25,0.9
MT-029,"Flathead County",2.0,18,-1.12,3.12
MT-031,"Gallatin County",2.2,72,0.07,2.13
MT-033,"Garfield County",0.58,77,0.01,0.57
MT-035,"Glacier County",2.11,81,0.28,1.83
MT-037,"Golden Valley County",0.8,74,0.02,0.78
MT-039,"Granite County",0.87,4,-1.15,2.02
MT-041,"Hill County",0.51,71,-0.02,0.53
MT-043,"Jefferson County",0.88,24,-0.49,1.37
MT-045,"Judith Basin County",0.76,26,-0.51,1.27
MT-047,"Lake County",0.84,5,-1.15,1.99
MT-049,"Lewis and Clark County",1.5,52,-0.21,1.71
MT-051,"Liberty County",0.48,61,-0.05,0.53
MT-053,"Lincoln County",1.88,26,-1.02,2.9
MT-055,"McCone County",0.28,36,-0.23,0.51
MT-057,"Madison County",2.02,62,-0.06,2.08
MT-059,"Meagher County",0.93,22,-0.73,1.66
MT-061,"Mineral County",2.16,18,-1.58,3.74
MT-063,"Missoula County",1.3,13,-1.23,2.53
MT-065,"Musselshell County",0.63,53,-0.1,0.73
MT-067,"Park County",2.7,88,0.47,2.23
MT-069,"Petroleum County",0.5,53,-0.13,0.63
MT-071,"Phillips County",0.44,63,-0.07,0.51
MT-073,"Pondera County",1.02,63,0.03,0.99
MT-075,"Powder River County",0.36,15,-0.45,0.81
MT-077,"Powell County",1.64,33,-0.56,2.2
MT-079,"Prairie County",0.29,36,-0.27,0.56
MT-081,"Ravalli County",1.65,18,-0.9,2.55
MT-083,"Richland County",0.33,39,-0.2,0.53
MT-085,"Roosevelt County",0.15,17,-0.35,0.5
MT-087,"Rosebud County",0.49,32,-0.27,0.76
MT-089,"Sanders County",1.73,20,-1.19,2.92
MT-091,"Sheridan County",0.16,13,-0.4,0.56
MT-093,"Silver Bow County",0.9,25,-0.54,1.44
MT-095,"Stillwater County",1.71,95,0.38,1.33
MT-097,"Sweet Grass County",1.69,90,0.32,1.37
MT-099,"Teton County",1.06,63,-0.05,1.11
MT-101,"Toole County",0.67,81,0.1,0.57
MT-103,"Treasure County",0.7,63,-0.1,0.8
MT-105,"Valley County",0.28,37,-0.19,0.47
MT-107,"Wheatland County",0.75,45,-0.21,0.96
MT-109,"Wibaux County",0.48,52,-0.12,0.6
MT-111,"Yellowstone County",0.81,74,-0.01,0.82
