March 2020 Nebraska County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NE-001,"Adams County",2.2,96,0.7,1.5
NE-003,"Antelope County",2.81,111,1.36,1.45
NE-005,"Arthur County",1.61,104,0.69,0.92
NE-007,"Banner County",1.32,86,0.19,1.13
NE-009,"Blaine County",2.2,109,0.94,1.26
NE-011,"Boone County",2.91,113,1.46,1.45
NE-013,"Box Butte County",0.78,62,-0.11,0.89
NE-015,"Boyd County",1.98,103,0.6,1.38
NE-017,"Brown County",1.91,105,0.61,1.3
NE-019,"Buffalo County",2.12,101,0.76,1.36
NE-021,"Burt County",3.24,114,1.54,1.7
NE-023,"Butler County",2.48,106,0.89,1.59
NE-025,"Cass County",1.92,81,0.17,1.75
NE-027,"Cedar County",2.44,107,0.89,1.55
NE-029,"Chase County",1.37,96,0.33,1.04
NE-031,"Cherry County",1.68,107,0.53,1.15
NE-033,"Cheyenne County",1.71,105,0.63,1.08
NE-035,"Clay County",1.64,82,0.14,1.5
NE-037,"Colfax County",2.94,114,1.39,1.55
NE-039,"Cuming County",2.84,112,1.29,1.55
NE-041,"Custer County",2.53,115,1.32,1.21
NE-043,"Dakota County",3.21,117,1.69,1.52
NE-045,"Dawes County",0.97,58,-0.13,1.1
NE-047,"Dawson County",1.45,84,0.24,1.21
NE-049,"Deuel County",1.76,101,0.69,1.07
NE-051,"Dixon County",2.94,114,1.38,1.56
NE-053,"Dodge County",2.66,109,1.0,1.66
NE-055,"Douglas County",1.94,84,0.26,1.68
NE-057,"Dundy County",1.34,91,0.29,1.05
NE-059,"Fillmore County",1.78,84,0.19,1.59
NE-061,"Franklin County",1.59,85,0.17,1.42
NE-063,"Frontier County",1.77,99,0.61,1.16
NE-065,"Furnas County",1.53,86,0.31,1.22
NE-067,"Gage County",1.32,55,-0.42,1.74
NE-069,"Garden County",1.57,104,0.65,0.92
NE-071,"Garfield County",2.46,112,1.28,1.18
NE-073,"Gosper County",1.42,84,0.25,1.17
NE-075,"Grant County",1.86,112,0.9,0.96
NE-077,"Greeley County",2.51,110,1.2,1.31
NE-079,"Hall County",2.55,111,1.13,1.42
NE-081,"Hamilton County",2.44,107,0.95,1.49
NE-083,"Harlan County",1.32,80,0.03,1.29
NE-085,"Hayes County",1.62,95,0.46,1.16
NE-087,"Hitchcock County",1.71,95,0.53,1.18
NE-089,"Holt County",2.16,109,0.85,1.31
NE-091,"Hooker County",2.25,114,1.14,1.11
NE-093,"Howard County",2.5,110,1.21,1.29
NE-095,"Jefferson County",1.4,66,-0.26,1.66
NE-097,"Johnson County",1.52,60,-0.36,1.88
NE-099,"Kearney County",2.27,105,0.84,1.43
NE-101,"Keith County",1.32,90,0.3,1.02
NE-103,"Keya Paha County",2.07,108,0.79,1.28
NE-105,"Kimball County",1.56,101,0.52,1.04
NE-107,"Knox County",2.64,110,1.2,1.44
NE-109,"Lancaster County",1.72,74,0.04,1.68
NE-111,"Lincoln County",1.49,92,0.36,1.13
NE-113,"Logan County",1.74,100,0.52,1.22
NE-115,"Loup County",2.56,115,1.38,1.18
NE-117,"McPherson County",1.58,102,0.52,1.06
NE-119,"Madison County",2.73,108,1.16,1.57
NE-121,"Merrick County",2.83,111,1.39,1.44
NE-123,"Morrill County",1.24,94,0.37,0.87
NE-125,"Nance County",2.84,113,1.43,1.41
NE-127,"Nemaha County",1.67,63,-0.32,1.99
NE-129,"Nuckolls County",1.3,69,-0.25,1.55
NE-131,"Otoe County",1.83,76,-0.03,1.86
NE-133,"Pawnee County",1.68,59,-0.28,1.96
NE-135,"Perkins County",1.38,90,0.3,1.08
NE-137,"Phelps County",1.59,89,0.3,1.29
NE-139,"Pierce County",2.72,106,1.17,1.55
NE-141,"Platte County",2.96,113,1.46,1.5
NE-143,"Polk County",2.76,108,1.24,1.52
NE-145,"Red Willow County",1.87,101,0.7,1.17
NE-147,"Richardson County",1.66,57,-0.35,2.01
NE-149,"Rock County",2.31,114,1.02,1.29
NE-151,"Saline County",1.6,74,-0.01,1.61
NE-153,"Sarpy County",1.9,85,0.21,1.69
NE-155,"Saunders County",2.13,87,0.45,1.68
NE-157,"Scotts Bluff County",0.78,69,-0.07,0.85
NE-159,"Seward County",1.74,78,0.14,1.6
NE-161,"Sheridan County",1.22,86,0.26,0.96
NE-163,"Sherman County",2.28,107,0.98,1.3
NE-165,"Sioux County",0.63,44,-0.29,0.92
NE-167,"Stanton County",2.87,108,1.3,1.57
NE-169,"Thayer County",1.64,81,0.08,1.56
NE-171,"Thomas County",2.01,108,0.81,1.2
NE-173,"Thurston County",3.24,115,1.65,1.59
NE-175,"Valley County",2.5,110,1.24,1.26
NE-177,"Washington County",2.46,96,0.78,1.68
NE-179,"Wayne County",2.61,106,1.05,1.56
NE-181,"Webster County",1.34,70,-0.19,1.53
NE-183,"Wheeler County",2.43,111,1.12,1.31
NE-185,"York County",2.15,96,0.61,1.54
