March 2020 North Carolina County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NC-001,"Alamance County",2.21,16,-1.83,4.04
NC-003,"Alexander County",2.36,16,-2.06,4.42
NC-005,"Alleghany County",2.9,25,-1.77,4.67
NC-007,"Anson County",2.75,32,-1.27,4.02
NC-009,"Ashe County",3.94,47,-0.69,4.63
NC-011,"Avery County",3.93,37,-1.22,5.15
NC-013,"Beaufort County",3.4,52,-0.49,3.89
NC-015,"Bertie County",3.4,45,-0.52,3.92
NC-017,"Bladen County",3.09,46,-0.78,3.87
NC-019,"Brunswick County",4.8,90,0.86,3.94
NC-021,"Buncombe County",3.85,47,-0.84,4.69
NC-023,"Burke County",2.72,18,-2.04,4.76
NC-025,"Cabarrus County",1.88,9,-2.4,4.28
NC-027,"Caldwell County",2.89,21,-1.89,4.78
NC-029,"Camden County",4.44,90,0.59,3.85
NC-031,"Carteret County",3.42,55,-0.56,3.98
NC-033,"Caswell County",2.16,14,-1.77,3.93
NC-035,"Catawba County",2.63,23,-1.91,4.54
NC-037,"Chatham County",2.23,19,-1.77,4
NC-039,"Cherokee County",8.04,97,1.67,6.37
NC-041,"Chowan County",3.68,55,-0.28,3.96
NC-043,"Clay County",6.83,80,0.32,6.51
NC-045,"Cleveland County",2.96,26,-1.81,4.77
NC-047,"Columbus County",4.11,75,0.17,3.94
NC-049,"Craven County",3.28,47,-0.65,3.93
NC-051,"Cumberland County",2.7,33,-1.14,3.84
NC-053,"Currituck County",4.65,95,0.85,3.8
NC-055,"Dare County",4.76,97,0.92,3.84
NC-057,"Davidson County",2.23,15,-1.96,4.19
NC-059,"Davie County",2.39,20,-1.88,4.27
NC-061,"Duplin County",3.13,42,-0.86,3.99
NC-063,"Durham County",2.33,17,-1.62,3.95
NC-065,"Edgecombe County",3.36,49,-0.58,3.94
NC-067,"Forsyth County",2.63,28,-1.48,4.11
NC-069,"Franklin County",2.45,19,-1.58,4.03
NC-071,"Gaston County",3.55,43,-1.09,4.64
NC-073,"Gates County",3.54,55,-0.39,3.93
NC-075,"Graham County",7.39,86,0.8,6.59
NC-077,"Granville County",2.35,18,-1.64,3.99
NC-079,"Greene County",3.19,46,-0.74,3.93
NC-081,"Guilford County",2.44,22,-1.58,4.02
NC-083,"Halifax County",3.12,39,-0.75,3.87
NC-085,"Harnett County",2.32,25,-1.59,3.91
NC-087,"Haywood County",5.46,76,0.03,5.43
NC-089,"Henderson County",3.99,36,-1.67,5.66
NC-091,"Hertford County",3.22,40,-0.72,3.94
NC-093,"Hoke County",2.87,35,-0.98,3.85
NC-095,"Hyde County",4.1,76,0.13,3.97
NC-097,"Iredell County",2.53,20,-1.9,4.43
NC-099,"Jackson County",5.91,62,-0.58,6.49
NC-101,"Johnston County",2.74,33,-1.18,3.92
NC-103,"Jones County",3.33,50,-0.65,3.98
NC-105,"Lee County",2.1,19,-1.85,3.95
NC-107,"Lenoir County",3.03,42,-0.93,3.96
NC-109,"Lincoln County",2.81,23,-1.79,4.6
NC-111,"McDowell County",3.34,25,-1.88,5.22
NC-113,"Macon County",5.96,61,-0.69,6.65
NC-115,"Madison County",4.64,79,0.25,4.39
NC-117,"Martin County",3.3,47,-0.6,3.9
NC-119,"Mecklenburg County",2.93,33,-1.42,4.35
NC-121,"Mitchell County",3.94,51,-0.78,4.72
NC-123,"Montgomery County",2.58,28,-1.53,4.11
NC-125,"Moore County",2.22,20,-1.8,4.02
NC-127,"Nash County",3.15,40,-0.81,3.96
NC-129,"New Hanover County",4.69,84,0.7,3.99
NC-131,"Northampton County",3.06,38,-0.81,3.87
NC-133,"Onslow County",3.88,66,-0.14,4.02
NC-135,"Orange County",2.27,18,-1.74,4.01
NC-137,"Pamlico County",3.37,53,-0.52,3.89
NC-139,"Pasquotank County",4.38,87,0.5,3.88
NC-141,"Pender County",4.19,79,0.21,3.98
NC-143,"Perquimans County",4.05,72,0.12,3.93
NC-145,"Person County",2.39,23,-1.47,3.86
NC-147,"Pitt County",3.3,51,-0.58,3.88
NC-149,"Polk County",3.51,29,-2.04,5.55
NC-151,"Randolph County",2.55,25,-1.57,4.12
NC-153,"Richmond County",2.75,35,-1.24,3.99
NC-155,"Robeson County",3.18,53,-0.59,3.77
NC-157,"Rockingham County",2.19,16,-1.83,4.02
NC-159,"Rowan County",2.02,12,-2.29,4.31
NC-161,"Rutherford County",3.16,30,-1.83,4.99
NC-163,"Sampson County",2.72,33,-1.16,3.88
NC-165,"Scotland County",2.98,42,-0.85,3.83
NC-167,"Stanly County",2.62,31,-1.57,4.19
NC-169,"Stokes County",2.49,24,-1.69,4.18
NC-171,"Surry County",2.7,27,-1.62,4.32
NC-173,"Swain County",7.36,93,0.97,6.39
NC-175,"Transylvania County",4.65,31,-2.24,6.89
NC-177,"Tyrrell County",3.91,69,-0.01,3.92
NC-179,"Union County",3.04,46,-1.03,4.07
NC-181,"Vance County",2.26,15,-1.73,3.99
NC-183,"Wake County",2.44,23,-1.49,3.93
NC-185,"Warren County",2.35,15,-1.54,3.89
NC-187,"Washington County",3.38,49,-0.57,3.95
NC-189,"Watauga County",3.84,37,-1.09,4.93
NC-191,"Wayne County",2.93,37,-1.0,3.93
NC-193,"Wilkes County",2.55,19,-2.0,4.55
NC-195,"Wilson County",3.3,50,-0.64,3.94
NC-197,"Yadkin County",2.54,25,-1.68,4.22
NC-199,"Yancey County",3.67,36,-1.19,4.86
