March 2020 Ohio County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
OH-001,"Adams County",3.89,61,-0.33,4.22
OH-003,"Allen County",5.15,116,2.14,3.01
OH-005,"Ashland County",4.96,114,1.74,3.22
OH-007,"Ashtabula County",4.72,114,1.7,3.02
OH-009,"Athens County",3.92,71,0.11,3.81
OH-011,"Auglaize County",5.88,121,2.81,3.07
OH-013,"Belmont County",5.78,117,2.18,3.6
OH-015,"Brown County",4.26,71,-0.03,4.29
OH-017,"Butler County",5.9,112,2.08,3.82
OH-019,"Carroll County",6.82,124,3.53,3.29
OH-021,"Champaign County",5.84,116,2.57,3.27
OH-023,"Clark County",6.66,118,3.32,3.34
OH-025,"Clermont County",4.76,87,0.54,4.22
OH-027,"Clinton County",5.15,99,1.13,4.02
OH-029,"Columbiana County",6.36,123,3.15,3.21
OH-031,"Coshocton County",6.58,121,3.22,3.36
OH-033,"Crawford County",4.54,110,1.37,3.17
OH-035,"Cuyahoga County",4.87,119,2.11,2.76
OH-037,"Darke County",5.18,108,1.82,3.36
OH-039,"Defiance County",3.94,107,1.22,2.72
OH-041,"Delaware County",5.85,116,2.54,3.31
OH-043,"Erie County",4.37,115,1.6,2.77
OH-045,"Fairfield County",6.11,113,2.37,3.74
OH-047,"Fayette County",4.69,97,1.01,3.68
OH-049,"Franklin County",7.32,120,3.89,3.43
OH-051,"Fulton County",3.41,89,0.71,2.7
OH-053,"Gallia County",3.7,62,-0.25,3.95
OH-055,"Geauga County",4.84,117,1.84,3
OH-057,"Greene County",6.38,117,2.85,3.53
OH-059,"Guernsey County",5.84,117,2.48,3.36
OH-061,"Hamilton County",5.18,96,1.23,3.95
OH-063,"Hancock County",3.69,95,0.77,2.92
OH-065,"Hardin County",4.02,100,1.0,3.02
OH-067,"Harrison County",6.69,124,3.29,3.4
OH-069,"Henry County",3.69,96,0.92,2.77
OH-071,"Highland County",4.1,68,-0.03,4.13
OH-073,"Hocking County",4.18,80,0.29,3.89
OH-075,"Holmes County",5.67,117,2.32,3.35
OH-077,"Huron County",4.71,117,1.76,2.95
OH-079,"Jackson County",3.46,57,-0.51,3.97
OH-081,"Jefferson County",6.16,122,2.78,3.38
OH-083,"Knox County",6.23,117,2.68,3.55
OH-085,"Lake County",3.94,104,1.12,2.82
OH-087,"Lawrence County",3.97,66,-0.09,4.06
OH-089,"Licking County",7.71,121,4.11,3.6
OH-091,"Logan County",5.28,117,2.17,3.11
OH-093,"Lorain County",4.74,121,1.98,2.76
OH-095,"Lucas County",3.26,93,0.66,2.6
OH-097,"Madison County",5.82,115,2.49,3.33
OH-099,"Mahoning County",5.34,121,2.28,3.06
OH-101,"Marion County",4.14,98,1.0,3.14
OH-103,"Medina County",4.88,120,1.98,2.9
OH-105,"Meigs County",3.92,69,0.07,3.85
OH-107,"Mercer County",5.65,118,2.48,3.17
OH-109,"Miami County",5.04,108,1.72,3.32
OH-111,"Monroe County",4.89,101,1.13,3.76
OH-113,"Montgomery County",6.14,116,2.59,3.55
OH-115,"Morgan County",4.82,101,1.18,3.64
OH-117,"Morrow County",5.15,110,1.76,3.39
OH-119,"Muskingum County",6.02,116,2.55,3.47
OH-121,"Noble County",4.95,107,1.33,3.62
OH-123,"Ottawa County",3.32,96,0.67,2.65
OH-125,"Paulding County",3.73,99,0.92,2.81
OH-127,"Perry County",5.49,110,1.86,3.63
OH-129,"Pickaway County",5.18,106,1.48,3.7
OH-131,"Pike County",3.53,57,-0.47,4
OH-133,"Portage County",5.23,121,2.24,2.99
OH-135,"Preble County",6.25,113,2.65,3.6
OH-137,"Putnam County",3.79,99,0.91,2.88
OH-139,"Richland County",4.98,114,1.69,3.29
OH-141,"Ross County",3.93,73,0.01,3.92
OH-143,"Sandusky County",3.78,103,1.04,2.74
OH-145,"Scioto County",3.54,54,-0.57,4.11
OH-147,"Seneca County",4.09,105,1.14,2.95
OH-149,"Shelby County",5.6,116,2.44,3.16
OH-151,"Stark County",5.5,120,2.33,3.17
OH-153,"Summit County",4.86,118,1.92,2.94
OH-155,"Trumbull County",5.19,119,2.18,3.01
OH-157,"Tuscarawas County",6.73,123,3.43,3.3
OH-159,"Union County",5.03,112,1.87,3.16
OH-161,"Van Wert County",4.08,102,1.02,3.06
OH-163,"Vinton County",3.58,63,-0.33,3.91
OH-165,"Warren County",5.91,110,2.01,3.9
OH-167,"Washington County",4.13,81,0.43,3.7
OH-169,"Wayne County",5.09,116,1.97,3.12
OH-171,"Williams County",3.63,98,0.91,2.72
OH-173,"Wood County",3.37,91,0.62,2.75
OH-175,"Wyandot County",3.92,96,0.86,3.06
