March 2020 Oregon County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
OR-001,"Baker County",1.49,40,-0.58,2.07
OR-003,"Benton County",4.61,36,-2.06,6.67
OR-005,"Clackamas County",5.72,35,-2.35,8.07
OR-007,"Clatsop County",6.2,20,-3.59,9.79
OR-009,"Columbia County",3.86,29,-2.2,6.06
OR-011,"Coos County",5.05,26,-3.3,8.35
OR-013,"Crook County",1.15,60,-0.15,1.3
OR-015,"Curry County",5.59,21,-5.19,10.78
OR-017,"Deschutes County",1.95,53,-0.3,2.25
OR-019,"Douglas County",3.9,27,-2.0,5.9
OR-021,"Gilliam County",0.71,44,-0.23,0.94
OR-023,"Grant County",1.74,50,-0.33,2.07
OR-025,"Harney County",1.1,59,-0.13,1.23
OR-027,"Hood River County",4.21,33,-1.92,6.13
OR-029,"Jackson County",2.21,22,-1.74,3.95
OR-031,"Jefferson County",1.21,38,-0.39,1.6
OR-033,"Josephine County",2.87,17,-3.4,6.27
OR-035,"Klamath County",2.17,44,-0.62,2.79
OR-037,"Lake County",1.4,70,-0.02,1.42
OR-039,"Lane County",5.03,32,-2.13,7.16
OR-041,"Lincoln County",6.72,29,-3.69,10.41
OR-043,"Linn County",5.5,33,-2.13,7.63
OR-045,"Malheur County",1.06,61,-0.15,1.21
OR-047,"Marion County",5.02,36,-1.82,6.84
OR-049,"Morrow County",0.99,39,-0.36,1.35
OR-051,"Multnomah County",4.85,41,-1.76,6.61
OR-053,"Polk County",4.58,31,-2.97,7.55
OR-055,"Sherman County",0.9,53,-0.23,1.13
OR-057,"Tillamook County",7.28,30,-4.12,11.4
OR-059,"Umatilla County",1.49,32,-0.59,2.08
OR-061,"Union County",2.21,32,-0.78,2.99
OR-063,"Wallowa County",1.98,30,-0.74,2.72
OR-065,"Wasco County",1.23,31,-0.58,1.81
OR-067,"Washington County",3.55,29,-2.44,5.99
OR-069,"Wheeler County",1.28,57,-0.24,1.52
OR-071,"Yamhill County",3.73,23,-3.0,6.73
