March 2020 Pennsylvania County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
PA-001,"Adams County",3.2,50,-0.46,3.66
PA-003,"Allegheny County",5.41,116,1.99,3.42
PA-005,"Armstrong County",6.06,119,2.43,3.63
PA-007,"Beaver County",6.3,124,2.99,3.31
PA-009,"Bedford County",3.87,81,0.47,3.4
PA-011,"Berks County",3.96,76,0.35,3.61
PA-013,"Blair County",5.12,113,1.6,3.52
PA-015,"Bradford County",2.23,44,-0.58,2.81
PA-017,"Bucks County",3.74,63,-0.05,3.79
PA-019,"Butler County",5.97,120,2.54,3.43
PA-021,"Cambria County",5.2,109,1.35,3.85
PA-023,"Cameron County",4.12,95,0.73,3.39
PA-025,"Carbon County",3.4,49,-0.5,3.9
PA-027,"Centre County",4.79,106,1.28,3.51
PA-029,"Chester County",4.13,71,0.28,3.85
PA-031,"Clarion County",5.56,113,1.91,3.65
PA-033,"Clearfield County",5.09,107,1.37,3.72
PA-035,"Clinton County",3.82,83,0.46,3.36
PA-037,"Columbia County",3.1,58,-0.25,3.35
PA-039,"Crawford County",5.22,115,1.89,3.33
PA-041,"Cumberland County",3.57,65,0.01,3.56
PA-043,"Dauphin County",4.06,83,0.46,3.6
PA-045,"Delaware County",4.07,72,0.25,3.82
PA-047,"Elk County",5.13,111,1.55,3.58
PA-049,"Erie County",4.44,109,1.23,3.21
PA-051,"Fayette County",4.69,96,0.78,3.91
PA-053,"Forest County",5.21,110,1.64,3.57
PA-055,"Franklin County",3.23,55,-0.33,3.56
PA-057,"Fulton County",3.58,66,0.14,3.44
PA-059,"Greene County",4.09,79,0.37,3.72
PA-061,"Huntingdon County",5.0,115,1.54,3.46
PA-063,"Indiana County",5.99,117,2.16,3.83
PA-065,"Jefferson County",5.52,114,1.78,3.74
PA-067,"Juniata County",4.96,110,1.43,3.53
PA-069,"Lackawanna County",3.14,63,-0.08,3.22
PA-071,"Lancaster County",4.12,84,0.6,3.52
PA-073,"Lawrence County",6.23,125,3.0,3.23
PA-075,"Lebanon County",4.47,93,0.9,3.57
PA-077,"Lehigh County",3.41,57,-0.22,3.63
PA-079,"Luzerne County",3.05,51,-0.35,3.4
PA-081,"Lycoming County",3.34,66,0.03,3.31
PA-083,"McKean County",4.4,103,0.96,3.44
PA-085,"Mercer County",5.5,121,2.25,3.25
PA-087,"Mifflin County",5.2,115,1.7,3.5
PA-089,"Monroe County",3.22,49,-0.59,3.81
PA-091,"Montgomery County",3.97,68,0.23,3.74
PA-093,"Montour County",3.47,74,0.18,3.29
PA-095,"Northampton County",3.06,46,-0.62,3.68
PA-097,"Northumberland County",3.69,80,0.32,3.37
PA-099,"Perry County",4.14,82,0.52,3.62
PA-101,"Philadelphia County",4.15,75,0.38,3.77
PA-103,"Pike County",2.88,46,-0.61,3.49
PA-105,"Potter County",3.42,83,0.27,3.15
PA-107,"Schuylkill County",3.7,62,-0.11,3.81
PA-109,"Snyder County",4.47,96,0.87,3.6
PA-111,"Somerset County",4.66,88,0.72,3.94
PA-113,"Sullivan County",2.78,42,-0.7,3.48
PA-115,"Susquehanna County",2.65,46,-0.38,3.03
PA-117,"Tioga County",2.73,65,-0.06,2.79
PA-119,"Union County",4.05,88,0.54,3.51
PA-121,"Venango County",5.39,116,1.98,3.41
PA-123,"Warren County",4.52,107,1.12,3.4
PA-125,"Washington County",5.38,114,1.86,3.52
PA-127,"Wayne County",2.92,47,-0.39,3.31
PA-129,"Westmoreland County",6.07,118,2.31,3.76
PA-131,"Wyoming County",2.98,56,-0.21,3.19
PA-133,"York County",3.53,62,0.02,3.51
