March 2020 South Dakota County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
SD-003,"Aurora County",1.27,74,0.02,1.25
SD-005,"Beadle County",0.69,40,-0.44,1.13
SD-007,"Bennett County",0.87,57,-0.15,1.02
SD-009,"Bon Homme County",2.36,108,0.95,1.41
SD-011,"Brookings County",0.82,47,-0.36,1.18
SD-013,"Brown County",0.14,5,-0.9,1.04
SD-015,"Brule County",1.11,70,-0.03,1.14
SD-017,"Buffalo County",0.73,52,-0.29,1.02
SD-019,"Butte County",0.4,26,-0.44,0.84
SD-021,"Campbell County",0.1,5,-0.73,0.83
SD-023,"Charles Mix County",1.78,96,0.45,1.33
SD-025,"Clark County",0.51,26,-0.58,1.09
SD-027,"Clay County",2.78,113,1.32,1.46
SD-029,"Codington County",0.53,29,-0.63,1.16
SD-031,"Corson County",0.26,12,-0.69,0.95
SD-033,"Custer County",1.04,78,0.12,0.92
SD-035,"Davison County",1.34,79,0.14,1.2
SD-037,"Day County",0.1,3,-0.92,1.02
SD-039,"Deuel County",1.01,55,-0.26,1.27
SD-041,"Dewey County",0.52,32,-0.47,0.99
SD-043,"Douglas County",1.57,88,0.27,1.3
SD-045,"Edmunds County",0.14,7,-0.82,0.96
SD-047,"Fall River County",1.07,84,0.17,0.9
SD-049,"Faulk County",0.34,21,-0.63,0.97
SD-051,"Grant County",0.42,15,-0.87,1.29
SD-053,"Gregory County",1.62,92,0.31,1.31
SD-055,"Haakon County",0.63,42,-0.38,1.01
SD-057,"Hamlin County",0.81,45,-0.31,1.12
SD-059,"Hand County",0.54,36,-0.53,1.07
SD-061,"Hanson County",1.18,68,-0.04,1.22
SD-063,"Harding County",0.27,19,-0.44,0.71
SD-065,"Hughes County",0.63,43,-0.31,0.94
SD-067,"Hutchinson County",1.62,86,0.24,1.38
SD-069,"Hyde County",0.48,31,-0.47,0.95
SD-071,"Jackson County",0.94,70,-0.02,0.96
SD-073,"Jerauld County",0.81,47,-0.44,1.25
SD-075,"Jones County",0.85,65,-0.17,1.02
SD-077,"Kingsbury County",0.87,48,-0.27,1.14
SD-079,"Lake County",1.02,55,-0.23,1.25
SD-081,"Lawrence County",0.93,23,-0.63,1.56
SD-083,"Lincoln County",2.44,109,0.97,1.47
SD-085,"Lyman County",0.92,67,-0.1,1.02
SD-087,"McCook County",1.28,71,-0.04,1.32
SD-089,"McPherson County",0.13,6,-0.79,0.92
SD-091,"Marshall County",0.04,1,-0.9,0.94
SD-093,"Meade County",0.59,36,-0.41,1
SD-095,"Mellette County",1.05,75,-0.0,1.05
SD-097,"Miner County",0.99,57,-0.15,1.14
SD-099,"Minnehaha County",1.67,86,0.3,1.37
SD-101,"Moody County",0.87,42,-0.38,1.25
SD-102,"Oglala Lakota County",1.11,85,0.12,0.99
SD-103,"Pennington County",0.8,53,-0.2,1
SD-105,"Perkins County",0.38,25,-0.48,0.86
SD-107,"Potter County",0.32,18,-0.58,0.9
SD-109,"Roberts County",0.09,3,-1.07,1.16
SD-111,"Sanborn County",0.99,62,-0.19,1.18
SD-115,"Spink County",0.41,20,-0.63,1.04
SD-117,"Stanley County",0.66,43,-0.32,0.98
SD-119,"Sully County",0.57,45,-0.31,0.88
SD-121,"Todd County",1.39,91,0.26,1.13
SD-123,"Tripp County",1.33,88,0.18,1.15
SD-125,"Turner County",1.94,91,0.45,1.49
SD-127,"Union County",2.68,112,1.22,1.46
SD-129,"Walworth County",0.11,5,-0.81,0.92
SD-135,"Yankton County",2.38,109,0.96,1.42
SD-137,"Ziebach County",0.62,43,-0.38,1
